date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,142281000.0,-35800000.0,339570000.0,69395000.0,99907000.0,78260000.0,72615000.0,65505000.0,37212000.0,29220000.0,32115000.0,-186776000.0,33919000.0,36078000.0,26277000.0,13459000.0,4183000.0,-14896000.0,545000.0,2528000.0
,depreciationAndAmortization,28995000.0,31779000.0,33426000.0,25792000.0,23676000.0,17740000.0,13486000.0,13235000.0,10734000.0,10108000.0,11450000.0,11219000.0,14021000.0,13641000.0,13426000.0,12743000.0,5429000.0,5274000.0,3992000.0,0.0
,deferredIncomeTax,13852000.0,-40554000.0,-269086000.0,-5778000.0,46152000.0,28922000.0,19012000.0,25505000.0,13793000.0,9324000.0,11012000.0,-19955000.0,10096000.0,9662000.0,14976000.0,7197000.0,2414000.0,0.0,0.0,0.0
,stockBasedCompensation,7644000.0,7438000.0,8909000.0,8148000.0,9954000.0,6918000.0,5146000.0,3772000.0,3078000.0,3575000.0,2085000.0,2439000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,41814000.0,-6319000.0,7853000.0,30096000.0,39659000.0,9843000.0,25322000.0,-15607000.0,29738000.0,-3124000.0,-12839000.0,21853000.0,4626000.0,-7418000.0,-10518000.0,-9220000.0,-7808000.0,0.0,0.0,0.0
,accountsReceivables,-2849000.0,-2980000.0,-5043000.0,-18938000.0,1824000.0,1608000.0,9735000.0,-12882000.0,-15854000.0,4918000.0,6404000.0,8193000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,2930000.0,-10535000.0,-2482000.0,-10262000.0,-3005000.0,15360000.0,-2850000.0,-9342000.0,3710000.0,12443000.0,-3351000.0,2719000.0,477000.0,4292000.0,-7156000.0,5263000.0,-1194000.0,0.0,0.0,0.0
,accountsPayables,6210000.0,-3993000.0,-10028000.0,21447000.0,-11348000.0,-17637000.0,-4641000.0,24677000.0,5127000.0,1784000.0,-3127000.0,-2265000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,215773000.0,173959000.0,180278000.0,172425000.0,142329000.0,102670000.0,92827000.0,67505000.0,83112000.0,53374000.0,56498000.0,69337000.0,47484000.0,42858000.0,50276000.0,0.0,-1138000.0,0.0,0.0,0.0
,otherNonCashItems,12682000.0,6344000.0,8660000.0,9738000.0,-1496000.0,11900000.0,-5015000.0,15439000.0,2660000.0,29220000.0,2166000.0,0.0,1139000.0,655000.0,383000.0,0.0,514000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,217124000.0,189284000.0,210110000.0,147772000.0,174350000.0,156255000.0,111582000.0,137605000.0,67452000.0,86670000.0,59427000.0,66679000.0,44989000.0,71899000.0,53861000.0,51042000.0,6137000.0,12519000.0,3940000.0,1978000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-17320000.0,-10480000.0,-12532000.0,-2977000.0,-3568000.0,-6101000.0,-2764000.0,-10268000.0,-606000.0,-655000.0,-673000.0,-481000.0,-521000.0,-540000.0,-23174000.0,-365000.0,-108000.0,0.0,0.0,0.0
,acquisitionsNet,-3000000.0,66000000.0,0.0,-693000000.0,-227000000.0,-809000000.0,-55000000.0,21000000.0,-662000000.0,-275000000.0,8000000.0,-4000000.0,0.0,-31000000.0,-31000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,750000.0,0.0,970000.0,1419000.0,7237000.0,10000000.0,0.0,0.0,0.0,4122000.0,7993000.0,0.0,-16000.0,750000.0,0.0,0.0,0.0,-1744000.0,-4317000.0,0.0
,netCashUsedForInvestingActivites,-16570000.0,55432000.0,-11562000.0,-694595000.0,-222971000.0,-805258000.0,-57976000.0,11221000.0,-662206000.0,-275680000.0,7320000.0,-4672000.0,-537000.0,-31051000.0,-54163000.0,-425844000.0,-167450000.0,-2165000.0,-4412000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-568476000.0,-245000000.0,-489000000.0,-967500000.0,-486100000.0,-188500000.0,-490500000.0,-205000000.0,-267000000.0,-51917000.0,-350250000.0,-32888000.0,0.0,0.0,0.0,0.0,-107784000.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416832000.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-56721000.0,-49978000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10000.0,0.0,-4000.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-7558000.0,-2281000.0,-1575000.0,-11671000.0,-12097000.0,-16846000.0,-6560000.0,-1146000.0,-33555000.0,-353000.0,-6627000.0,-16000.0,-7000.0,0.0,-102000.0,-209059000.0,102803000.0,-14708000.0,5526000.0,36491000.0
,netCashUsedProvidedByFinancingActivities,-131431000.0,-249328000.0,-208955000.0,561857000.0,54036000.0,643265000.0,-41153000.0,-152117000.0,600434000.0,161247000.0,-60831000.0,-32904000.0,-52132000.0,-35290000.0,3168000.0,376743000.0,163344000.0,-14708000.0,5526000.0,36491000.0
