date,,2020-12-31_FY,2019-12-31_FY,2018-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,26085019.0,37280137.0,63795522.0
,depreciationAndAmortization,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0
,changeInWorkingCapital,6674921.0,-18243750.0,-40804059.0
,accountsReceivables,0.0,0.0,0.0
,inventory,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0
,otherNonCashItems,374468467.0,18353065.0,-654107063.0
,netCashProvidedByOperatingActivites,407228407.0,37389452.0,-631115600.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-150000000.0,0.0
,commonStockIssued,0.0,85322.0,379594350.0
,commonStockRepurchased,-6542215.0,-3163298.0,-200995884.0
,dividendsPaid,-64613794.0,-65123432.0,-44246677.0
,otherFinancingActivites,-219796600.0,213411749.0,498557818.0
,netCashUsedProvidedByFinancingActivities,-290952609.0,-4789659.0,632909607.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-135.0,158.0,-4939.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,116275663.0,32599951.0,1789068.0
,cashAtEndOfPeriod,167782620.0,51506957.0,3861905.0
,cashAtBeginningOfPeriod,51506957.0,18907006.0,2072837.0
,operatingCashFlow,407228407.0,37389452.0,-631115600.0
,capitalExpenditure,0.0,0.0,0.0
,freeCashFlow,407228407.0,37389452.0,-631115600.0
