Date,2018-12-31,2018-12,2017-12,2016-12,2015-12,2014-12
Depreciation & Amortization,0.0,,,,,
Stock-based compensation,0.0,,,,,
Operating Cash Flow,-609021.0,-1000000.0,000000.0,000000.0,000000.0,000000.0
Capital Expenditure,0.0,,,,,
Acquisitions and disposals,0.0,,,,,
Investment purchases and sales,-57500000.0,-58000000,0,0,0,0
Investing Cash flow,-57500000.0,-58000000.0,000000.0,000000.0,000000.0,000000.0
Issuance (repayment) of debt,-130000.0,,,,,
Issuance (buybacks) of shares,58500100.0,,,,,
Dividend payments,0.0,,,,,
Financing Cash Flow,58088293.0,58000000.0,000000.0,000000.0,000000.0,000000.0
Effect of forex changes on cash,0.0,,,,,
Net cash flow / Change in cash,-20728.0,-0000000.0,000000.0,000000.0,000000.0,000000.0
Free Cash Flow,-609021.0,-1000000.0,000000.0,000000.0,000000.0,000000.0
Net Cash/Marketcap,,,,,,
