date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-12-31_FY,2011-12-31_FY,2011-06-30_FY
,revenue,2196000.0,3091000.0,4603000.0,4230000.0,1483000.0,571000.0,379000.0,220000.0,1197000.0,970000.0,0.0
,costOfRevenue,328000.0,482000.0,1030000.0,956000.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0
,grossProfit,1868000.0,2609000.0,3573000.0,3274000.0,0.0,0.0,379000.0,220000.0,1197000.0,850000.0,0.0
,grossProfitRatio,0.85063752276867,0.844063409899709,0.77623289159244,0.773995271867612,0.0,0.0,1.0,1.0,1.0,0.876288659793814,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,5284000.0,14752000.0,17956000.0,19545000.0,18008000.0,12921000.0,7974000.0,1450000.0,3436000.0,1420000.0,0.0
,GeneralAndAdministrativeExpenses,17150000.0,15131000.0,20888000.0,22304000.0,22118000.0,17947000.0,13054000.0,2790000.0,7080000.0,1730000.0,120094.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,1535000.0,0.0,-12000.0,0.0,0.0,0.0,0.0,0.0,-9000.0,0.0,0.0
,operatingExpenses,23343000.0,29883000.0,38844000.0,41849000.0,40126000.0,30868000.0,21028000.0,4240000.0,10516000.0,3150000.0,120094.0
,costAndExpenses,23671000.0,30365000.0,39874000.0,42805000.0,40126000.0,30868000.0,21028000.0,4240000.0,10516000.0,3270000.0,120094.0
,interestExpense,0.0,0.0,0.0,0.0,0.0,1000.0,13000.0,-12100000.0,1088000.0,-2070000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,909000.0,980000.0,1267000.0,1149000.0,815000.0,472000.0,387000.0,80000.0,195000.0,70000.0,2277.0
,EBITDA,-20566000.0,-26294000.0,-34004000.0,-37426000.0,-37828000.0,-29825000.0,-20262000.0,-3950000.0,-9124000.0,-2240000.0,-117817.0
,EBITDARatio,-9.36520947176685,-8.50663215787771,-7.38735607212687,-8.84775413711584,-25.5077545515846,-52.2329246935201,-53.4617414248021,-17.9545454545455,-7.62238930659983,-2.30927835051546,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-21475000.0,-27274000.0,-35271000.0,-38575000.0,-38643000.0,-30297000.0,-20649000.0,-4030000.0,-9319000.0,-2310000.0,-120094.0
,operatingIncomeRatio,-9.77914389799636,-8.82368165642187,-7.66261134043015,-9.1193853427896,-26.0573162508429,-53.0595446584939,-54.4828496042216,-18.3181818181818,-7.78529657477026,-2.38144329896907,0.0
