date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,revenue,540522000.0,411381000.0,366561000.0,286827000.0,200581000.0,249900000.0,223146000.0,105613000.0,87493000.0,66185000.0,64345000.0,79344000.0,89767000.0,66867000.0,46166000.0,25651000.0,7022000.0,1790000.0,22000.0
,costOfRevenue,191553000.0,145499000.0,138275000.0,141153000.0,120138000.0,107737000.0,85759000.0,37044000.0,12723000.0,18367000.0,21532000.0,35512000.0,40184000.0,20582000.0,15845000.0,12827000.0,0.0,258000.0,0.0
,grossProfit,348969000.0,265882000.0,228286000.0,145674000.0,80443000.0,142163000.0,137387000.0,68569000.0,74770000.0,47818000.0,42813000.0,43832000.0,49583000.0,46285000.0,30321000.0,12824000.0,0.0,1532000.0,22000.0
,grossProfitRatio,0.645614794587454,0.646315702475321,0.622777655015127,0.507881057222646,0.401049949895553,0.568879551820728,0.615682109470929,0.649247725185346,0.854582652326472,0.722489990179044,0.665366384334447,0.552429925388183,0.552352200697361,0.692194954162741,0.656782047394186,0.499941522747651,0.0,0.855865921787709,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,119718000.0,95127000.0,94934000.0,92420000.0,81879000.0,72856000.0,64284000.0,46877000.0,54275000.0,39073000.0,25180000.0,25975000.0,32140000.0,22425000.0,15993000.0,14557000.0,0.0,3352000.0,0.0
,GeneralAndAdministrativeExpenses,31491000.0,23216000.0,31667000.0,34425000.0,30225000.0,26092000.0,25019000.0,15550000.0,14744000.0,14002000.0,13108000.0,16271000.0,20971000.0,30122000.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,177245000.0,140298000.0,113860000.0,104356000.0,48050000.0,48240000.0,45076000.0,26120000.0,20893000.0,14607000.0,12140000.0,14402000.0,26066000.0,0.0,0.0,0.0,0.0,697000.0,0.0
,otherExpenses,0.0,0.0,0.0,-6859000.0,-5749000.0,-792000.0,-1502000.0,-6000.0,-368000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
