date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,revenue,98000.0,107000.0,36000.0,7000.0,0.0
,costOfRevenue,496000.0,136000.0,54000.0,3000.0,0.0
,grossProfit,-398000.0,-29000.0,-18000.0,4000.0,0.0
,grossProfitRatio,-4.06122448979592,-0.271028037383178,-0.5,0.571428571428571,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,5555000.0,9013000.0,6048000.0,4266000.0,3079000.0
,GeneralAndAdministrativeExpenses,9562000.0,9497000.0,8547000.0,6287000.0,1860000.0
,SellingAndMarketingExpenses,3532000.0,4897000.0,4312000.0,2415000.0,1034000.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,18649000.0,23407000.0,18869000.0,12968000.0,0.0
,costAndExpenses,19145000.0,23543000.0,18923000.0,12971000.0,6007000.0
,interestExpense,464000.0,0.0,0.0,6000.0,86000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,377000.0,223000.0,152000.0,65000.0,34000.0
,EBITDA,-18670000.0,-23213000.0,-18735000.0,-12899000.0,-7868000.0
,EBITDARatio,-190.510204081633,-216.943925233645,-520.416666666667,-1842.71428571429,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-19047000.0,-23436000.0,-18887000.0,-12964000.0,-6007000.0
,operatingIncomeRatio,-194.357142857143,-219.028037383178,-524.638888888889,-1852.0,0.0
,totalOtherIncomeExpensesNet,210000.0,-350000.0,3370000.0,236000.0,1966000.0
,incomeBeforeTax,-19257000.0,-23086000.0,-22257000.0,-13200000.0,-7973000.0
,incomeBeforeTaxRatio,-196.5,-215.757009345794,-618.25,-1885.71428571429,0.0
,incomeTaxExpense,0.0,0.0,0.0,0.0,50000.0
,netIncome,-19257000.0,-23086000.0,-22257000.0,-13200000.0,-8023000.0
,netIncomeRatio,-196.5,-215.757009345794,-618.25,-1885.71428571429,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.6,-0.92,-1.47,-0.808676,-6.8
,EPSDiluted,-0.6,-0.92,-1.47,-0.808676,-6.8
,weightedAverageShsOut,32095000.0,25133190.0,15137144.0,16322972.0,1179311.0
,weightedAverageShsOutDil,32095000.0,25133190.0,15137144.0,16322972.0,12070950.0
