Date,2018-02,2017-02,2016-02,2015-02,2014-02
Revenue,14157000000.0,12480000000.0,17529000000.0,17820000000.0,17155000000.0
Revenue Growth,,,,,
Cost of Revenue,12706000000.0,10693000000.0,14945000000.0,15242000000.0,14623000000.0
Gross Profit,1451000000.0,1787000000.0,2584000000.0,2578000000.0,2532000000.0
R&D Expenses,,,,,
SG&A Expense,1258000000.0,1589000000.0,2124000000.0,2154000000.0,2114000000.0
Operating Expenses,1258000000.0,1589000000.0,2124000000.0,2154000000.0,2114000000.0
Operating Income,193000000.0,198000000.0,460000000.0,424000000.0,418000000.0
Interest Expense,123000000.0,181000000.0,000000.0,244000000.0,407000000.0
Earnings before Tax,,,,,
Income Tax Expense,28000000.0,-20000000.0,85000000.0,58000000.0,5000000.0
Net Income - Non-Controlling int,,,,,
Net Income - Discontinued ops,,,,,
Net Income,45000000.0,650000000.0,178000000.0,192000000.0,182000000.0
Preferred Dividends,,,,,
Net Income Com,45000000.0,650000000.0,178000000.0,192000000.0,182000000.0
EPS,1.18,17.15,4.76,5.18,4.97
EPS Diluted,1.18,17.01,4.62,5.11,4.90
Weighted Average Shs Out,38000000.0,38000000.0,38000000.0,37000000.0,36000000.0
Weighted Average Shs Out (Dil),38000000.0,38000000.0,38000000.0,38000000.0,37000000.0
Dividend per Share,,,,,
Gross Margin,0.10249346612983,0.1431891025641,0.14741285869131,0.14466891133558,0.14759545322064
EBITDA Margin,0.028042664406301,0.031650641025641,0.041987563466256,0.04006734006734,0.041970271058001
EBIT Margin,0.013844741117468,0.064983974358974,0.015003708140795,0.027721661054994,0.03462547362285
Profit Margin,0.0031786395422759,0.052083333333333,0.010154600947002,0.010774410774411,0.010609151850772
Free Cash Flow margin,,,,,
EBITDA,397000000.0,395000000.0,736000000.0,714000000.0,720000000.0
EBIT,196000000,811000000,263000000,494000000,594000000
Consolidated Income,45000000.0,650000000.0,178000000.0,192000000.0,182000000.0
Earnings Before Tax Margin,0,0,0,0,0
Net Profit Margin,0.0031786395422759,0.052083333333333,0.010154600947002,0.010774410774411,0.010609151850772
