date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,221580000.0,195484000.0,202576000.0,126744000.0,192125000.0,181505000.0,131721000.0,112031000.0,88767000.0,78886000.0,62019000.0,-64918000.0,16029000.0,22266000.0,15014000.0,-3142000.0,19837000.0,28270000.0
,depreciationAndAmortization,44372000.0,38707000.0,19078000.0,19848000.0,19071000.0,17280000.0,16957000.0,10655000.0,8712000.0,7944000.0,5711000.0,2795000.0,6142000.0,6181000.0,4324000.0,9451000.0,2304000.0,2516000.0
,deferredIncomeTax,-34190000.0,45624000.0,15513000.0,100008000.0,11640000.0,-3180000.0,-9786000.0,-20818000.0,-10739000.0,0.0,0.0,-65275000.0,-1602000.0,-13938000.0,-9735000.0,-69000.0,-1979000.0,-5101000.0
,stockBasedCompensation,19072000.0,25484000.0,24545000.0,27071000.0,27632000.0,14921000.0,18702000.0,6433000.0,5913000.0,10694000.0,11279000.0,12979000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-103849000.0,-533223000.0,-22968678000.0,19920228000.0,-19920228000.0,15196000000.0,38588000.0,-18775000.0,57548000.0,988000.0,16977000.0,7351000.0,-8579000.0,-10390000.0,12138000.0,-13233000.0,2394000.0,1883000.0
,accountsReceivables,891000.0,-1812000.0,-4646000.0,-6886000.0,-7406000.0,-3296000.0,-7100000.0,1496000.0,-2499000.0,478000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2913000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,-23501901000.0,-22968678000.0,0.0,-19920228000.0,0.0,-15196000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,9794000.0,-28634000.0,-4172000.0,31165000.0,-31233000.0,346449000.0,41187000.0,21818000.0,6791000.0,0.0,-2497000.0,-2910000.0,11006000.0,8618000.0,18515000.0,-4640000.0,13005000.0,-10161000.0
,netCashProvidedByOperatingActivites,224297000.0,160654000.0,275575000.0,302410000.0,227136000.0,533134000.0,277388000.0,176094000.0,224779000.0,200492000.0,163472000.0,39080000.0,23678000.0,16159000.0,39957000.0,41033000.0,58251000.0,51505000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-19841000.0,-17459000.0,-14305000.0,-20235000.0,-21088000.0,-25550000.0,-31655000.0,-24544000.0,-25407000.0,-10550000.0,-10393000.0,-9055000.0,0.0,0.0,0.0,0.0,-6406000.0,-5843000.0
,acquisitionsNet,0.0,0.0,-340000000.0,0.0,0.0,0.0,29000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1408066000.0,-1272897000.0,-1236962000.0,-1150754000.0,-1039537000.0,-56242000.0,-20835000.0,-9729000.0,-16421000.0,-616617000.0,-347107000.0,-276233000.0,-23118000.0,-69058000.0,-410361000.0,-346239000.0,-2647748000.0,-3551928000.0
,salesMaturitiesOfInvestments,1299461000.0,1143428000.0,1317934000.0,762463000.0,743539000.0,43464000.0,29601000.0,44955000.0,17387000.0,461788000.0,455537000.0,471910000.0,402349000.0,609991000.0,832169000.0,1597170000.0,2495998000.0,3789209000.0
,otherInvestingActivites,116843000.0,-487000.0,-73529000.0,16381000.0,-58566000.0,-20745000.0,32759000.0,-18785000.0,-19588000.0,-92610000.0,-14167000.0,0.0,-1082453000.0,-631606000.0,-967279000.0,-885455000.0,0.0,-287238000.0
,netCashUsedForInvestingActivites,1323290000.0,-247474000.0,-1553763000.0,-1687298000.0,-2297946000.0,-2585122000.0,-2936744000.0,-1261322000.0,-841408000.0,-1243773000.0,-668826000.0,-855471000.0,-707040000.0,-92694000.0,-546721000.0,360073000.0,-158156000.0,-55800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2574074000.0,-2000.0,0.0,0.0,0.0,0.0,-508150000.0,0.0,0.0,-250000000.0,-250000000.0,-25000000.0,-210000000.0,-585000000.0,-972541000.0,0.0,-255169000.0,-582407000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,2149893000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-23920000.0,-475946000.0,-258175000.0,-59090000.0,-363410000.0,-382922000.0,-13523000.0,-1531000.0,-902000.0,-32489000.0,-24458000.0,-4479000.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-119675000.0,-122163000.0,-113186000.0,-101550000.0,-82291000.0,-87395000.0,-42555000.0,-22404000.0,-5595000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-9601000.0,-8172000.0,25583000.0,-1543000.0,-2870000.0,41813000.0,-60485000.0,15709000.0,7832000.0,8457000.0,5302000.0,0.0,-131233000.0,2334000.0,4520000.0,3730000.0,-45920000.0,294378000.0
,netCashUsedProvidedByFinancingActivities,-1552070000.0,64844000.0,856685000.0,1839104000.0,2086084000.0,1969931000.0,2639628000.0,1180764000.0,681643000.0,1057196000.0,507972000.0,1111325000.0,670603000.0,61521000.0,465259000.0,-357430000.0,-44287000.0,110457000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
