Date,2018-02-03,2018-01,2017-01-28,2017-01,2016-01-30,2016-01,2015-01-31,2015-01,2014-02-01,2014-01,2013-02-02,2012-01-28
Cash and cash equivalents,38628000.0,39000000.0,66425000.0,66000000.0,63790000.0,64000000.0,83502000.0,84000000.0,64326000.0,64000000.0,51218000.0,44283000.0
Short-term investments,0.0,000000.0,4781000.0,5000000.0,4805000.0,5000000.0,6347000.0,6000000.0,7791000.0,8000000.0,17455000.0,42134000.0
Cash and short-term investments,38628000.0,000000.0,71206000.0,5000000.0,68595000.0,5000000.0,89849000.0,6000000.0,72117000.0,8000000.0,68673000.0,86417000.0
Receivables,9715000.0,10000000.0,35860000.0,36000000.0,30362000.0,30000000.0,26415000.0,26000000.0,27647000.0,28000000.0,21648000.0,21180000.0
Inventories,3038000.0,3000000.0,18147000.0,18000000.0,26709000.0,27000000.0,20445000.0,20000000.0,20403000.0,20000000.0,24929000.0,22037000.0
Total current assets,80045000.0,16000000.0,133533000.0,68000000.0,140651000.0,76000000.0,149233000.0,56000000.0,134155000.0,82000000.0,136465000.0,143469000.0
Property Plant & Equipment Net,4339000.0,4000000.0,18523000.0,19000000.0,14086000.0,14000000.0,21594000.0,22000000.0,27089000.0,27000000.0,17106000.0,35913000.0
Goodwill and Intangible Assets,2551000.0,3000000,41338000.0,42000000,48118000.0,48000000,24642000.0,25000000,29780000.0,30000000,36573000.0,29352000.0
Long-term investments,0.0,000000.0,2000000.0,2000000.0,3527000.0,6000000.0,4249000.0,8000000.0,15505000.0,19000000.0,14253000.0,6443000.0
Tax assets,3451000.0,000000.0,625000.0,1000000.0,911000.0,1000000.0,3319000.0,1000000.0,4144000.0,0000000.0,5868000.0,16595000.0
Total non-current assets,16052000.0,19000000.0,68241000.0,22000000.0,76018000.0,16000000.0,56100000.0,11000000.0,81620000.0,15000000.0,84366000.0,153755000.0
Total assets,96097000.0,96000000.0,201774000.0,202000000.0,216669000.0,217000000.0,205333000.0,205000000.0,215775000.0,216000000.0,220831000.0,297224000.0
Payables,9333000.0,9000000.0,14230000.0,14000000.0,26181000.0,26000000.0,21207000.0,21000000.0,16184000.0,16000000.0,11046000.0,8438000.0
Short-term debt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total current liabilities,37055000.0,37000000.0,35964000.0,36000000.0,48173000.0,48000000.0,50907000.0,51000000.0,42285000.0,42000000.0,39837000.0,32519000.0
Long-term debt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total debt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Deferred revenue,400000.0,000000.0,350000.0,0000000.0,407000.0,0000000.0,372000.0,0000000.0,3001000.0,3000000.0,3099000.0,0.0
Tax Liabilities,1468000.0,0000000.0,2094000.0,0000000.0,2305000.0,0000000.0,5326000.0,1000000.0,7968000.0,1000000.0,4508000.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,3198000.0,19000000.0,6512000.0,22000000.0,4340000.0,16000000.0,3563000.0,11000000.0,8034000.0,15000000.0,1253000.0,16230000.0
Total liabilities,55977000.0,56000000.0,58228000.0,58000000.0,63864000.0,64000000.0,62043000.0,62000000.0,57384000.0,57000000.0,58813000.0,48749000.0
Other comprehensive income,377962000,0000000.0,424832000,-2000000.0,415473000,-2000000.0,405352000,-1000000.0,396990000,1000000.0,389129000,374305000
Retained earnings (deficit),-337860000.0,-338000000.0,-279108000.0,-279000000.0,-260793000.0,-261000000.0,-260951000.0,-261000000.0,-239250000.0,-239000000.0,-228201000.0,-126433000.0
Total shareholders equity,40120000.0,40000000.0,143546000.0,144000000.0,152805000.0,153000000.0,143290000.0,143000000.0,158391000.0,158000000.0,162018000.0,248475000.0
Investments,0.0,000000.0,6781000.0,2000000.0,8332000.0,6000000.0,10596000.0,8000000.0,23296000.0,19000000.0,31708000.0,48577000.0
Net Debt,-38628000.0,-39000000,-66425000.0,-66000000,-63790000.0,-64000000,-83502000.0,-84000000,-64326000.0,-64000000,-51218000.0,-44283000.0
Other Assets,0.0,31000000,0.0,9000000,0.0,10000000,0.0,6000000,0.0,13000000,0.0,0.0
Other Liabilities,15724000.0,37000000,15752000.0,30000000,11351000.0,22000000,7573000.0,17000000,7065000.0,20000000,17723000.0,0.0
