date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,revenue,21864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147000.0,7584000.0,14803000.0,144245000.0,2615000.0,743000.0,0.0,0.0,173000.0,1304000.0,0.0,0.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,21864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7584000.0,14803000.0,144245000.0,0.0,0.0,0.0,0.0,0.0,1304000.0,0.0,0.0
,grossProfitRatio,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,184809000.0,72324000.0,25389000.0,24390000.0,15933483.0,54218000.0,68205000.0,71860000.0,49412000.0,41464000.0,40252000.0,51054000.0,81581000.0,52025000.0,50503000.0,59901000.0,38136000.0,24337000.0,7292000.0,277000.0
,GeneralAndAdministrativeExpenses,21864000.0,22648000.0,15293000.0,7672000.0,9290158.0,13392000.0,15746000.0,15699000.0,11676000.0,11552000.0,11449000.0,12651000.0,14742000.0,14934000.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,100000.0,0.0,200000.0,350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,206673000.0,94972000.0,40682000.0,32062000.0,25223641.0,67610000.0,83951000.0,87559000.0,61088000.0,53016000.0,51701000.0,63705000.0,96323000.0,66959000.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,206673000.0,94972000.0,40682000.0,32062000.0,25223641.0,67610000.0,83951000.0,87559000.0,61088000.0,53016000.0,51701000.0,63705000.0,96323000.0,66959000.0,59151000.0,71180000.0,45519000.0,29598000.0,7292000.0,401000.0
,interestExpense,0.0,11024000.0,0.0,0.0,1212520.0,1061000.0,2210000.0,2633000.0,1849000.0,1948000.0,569000.0,312000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
