date,,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,53788000.0,-140192000.0,-92135000.0,170450000.0
,depreciationAndAmortization,84181000.0,79255000.0,73634000.0,66102000.0
,deferredIncomeTax,5634000.0,82732000.0,-20983000.0,-37810000.0
,stockBasedCompensation,10071000.0,8870000.0,4525000.0,16571000.0
,changeInWorkingCapital,-85961000.0,5650000.0,-44715000.0,0.0
,accountsReceivables,-77587000.0,-4385000.0,129686000.0,-66406000.0
,inventory,-19144000.0,7543000.0,59527000.0,-13264000.0
,accountsPayables,18575000.0,4196000.0,-38698000.0,-1456000.0
,otherWorkingCapital,193687000.0,279648000.0,273998000.0,318713000.0
,otherNonCashItems,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,144788000.0,-6592000.0,235994000.0,205276000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-69573000.0,-30597000.0,-250000.0,-143491000.0
,acquisitionsNet,0.0,0.0,0.0,-0.0
,purchasesOfInvestments,0.0,0.0,0.0,-0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0
,otherInvestingActivites,-28675000.0,4883000.0,-116090000.0,5000000.0
,netCashUsedForInvestingActivites,-98248000.0,-25714000.0,-116340000.0,-138491000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-6469000.0,-10840000.0,-13532000.0,-12512000.0
,commonStockIssued,0.0,0.0,0.0,0.0
,commonStockRepurchased,-127967000.0,-194069000.0,-171486000.0,-76923000.0
,dividendsPaid,0.0,0.0,-1472000.0,-15735000.0
,otherFinancingActivites,21794000.0,259798000.0,159927000.0,81758000.0
,netCashUsedProvidedByFinancingActivities,-112642000.0,54889000.0,-25091000.0,-7677000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,556000.0,-876000.0,-964000.0,-160000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-66102000.0,22583000.0,94563000.0,59108000.0
,cashAtEndOfPeriod,127967000.0,194069000.0,171486000.0,76923000.0
,cashAtBeginningOfPeriod,194069000.0,171486000.0,76923000.0,17815000.0
,operatingCashFlow,144788000.0,-6592000.0,235994000.0,205276000.0
,capitalExpenditure,-69573000.0,-30597000.0,-250000.0,-143491000.0
,freeCashFlow,75215000.0,-37189000.0,235744000.0,61785000.0
