Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2012-03-15
Cash and cash equivalents,13127000.0,13668000.0,14000000.0,19017000.0,19000000.0,19702000.0,20000000.0,50248000.0,50000000.0,37696000.0,38000000.0,38531000.0,0.0
Short-term investments,42000.0,46000.0,0000000.0,50000.0,0000000.0,51000.0,0000000.0,54000.0,0000000.0,55000.0,0000000.0,55000.0,0.0
Cash and short-term investments,13169000.0,13714000.0,0000000.0,19067000.0,0000000.0,19753000.0,0000000.0,50302000.0,0000000.0,37751000.0,0000000.0,38586000.0,0.0
Receivables,8045000.0,13050000.0,13000000.0,8772000.0,9000000.0,10036000.0,10000000.0,11348000.0,11000000.0,9087000.0,9000000.0,8514000.0,0.0
Inventories,1419000.0,1432000.0,1000000.0,1391000.0,1000000.0,1122000.0,1000000.0,1010000.0,1000000.0,941000.0,1000000.0,918000.0,0.0
Total current assets,30258000.0,33475000.0,33000000.0,72641000.0,73000000.0,36921000.0,37000000.0,83931000.0,84000000.0,55117000.0,55000000.0,65718000.0,0.0
Property Plant & Equipment Net,257667000.0,264724000.0,265000000.0,211886000.0,212000000.0,210298000.0,210000000.0,186889000.0,187000000.0,191660000.0,192000000.0,202778000.0,0.0
Goodwill and Intangible Assets,26814000.0,28818000.0,29000000,29865000.0,30000000,29604000.0,30000000,32767000.0,32000000,35599000.0,35000000,38559000.0,0.0
Long-term investments,0.0,0.0,6000000.0,1000.0,6000000.0,1000.0,6000000.0,0.0,7000000.0,75000.0,8000000.0,2000000.0,0.0
Tax assets,26235000.0,24908000.0,25000000.0,28667000.0,29000000.0,25649000.0,26000000.0,15967000.0,16000000.0,5566000.0,6000000.0,8989000.0,0.0
Total non-current assets,408770000.0,389551000.0,390000000.0,333125000.0,333000000.0,338170000.0,338000000.0,317655000.0,318000000.0,331690000.0,332000000.0,362870000.0,0.0
Total assets,439028000.0,423026000.0,423000000.0,405766000.0,406000000.0,375091000.0,375000000.0,401586000.0,402000000.0,386807000.0,387000000.0,428588000.0,0.0
Payables,26154000.0,34359000.0,48000000.0,26479000.0,37000000.0,23638000.0,33000000.0,18107000.0,28000000.0,18608000.0,25000000.0,18909000.0,0.0
Short-term debt,30393000.0,8109000.0,8000000.0,567000.0,1000000.0,15000000.0,15000000.0,38104000.0,38000000.0,75538000.0,76000000.0,19714000.0,0.0
Total current liabilities,85528000.0,80446000.0,80000000.0,65986000.0,66000000.0,75435000.0,75000000.0,92750000.0,93000000.0,126911000.0,127000000.0,87133000.0,0.0
Long-term debt,106286000.0,94862000.0,122000000.0,115707000.0,143000000.0,88028000.0,116000000.0,98019000.0,126000000.0,65009000.0,93000000.0,139970000.0,0.0
Total debt,136679000.0,102971000.0,122000000.0,116274000.0,143000000.0,103028000.0,116000000.0,136123000.0,126000000.0,140547000.0,93000000.0,159684000.0,0.0
Deferred revenue,9264000.0,9850000.0,0000000.0,10758000.0,4000000.0,14591000.0,5000000.0,14239000.0,5000000.0,11864000.0,000000.0,11587000.0,0.0
Tax Liabilities,1710000.0,2938000.0,12000000.0,3523000.0,000000.0,5275000.0,16000000.0,6003000.0,10000000.0,8308000.0,000000.0,15234000.0,0.0
Deposit Liabilities,84000.0,91000.0,,77000.0,,180000.0,,202000.0,,246000.0,,174000.0,0.0
Total non-current liabilities,146779000.0,133803000.0,166000000.0,170223000.0,198000000.0,139143000.0,167000000.0,148625000.0,181000000.0,110236000.0,143000000.0,182588000.0,0.0
Total liabilities,262818000.0,246116000.0,246000000.0,263569000.0,264000000.0,242226000.0,242000000.0,273900000.0,274000000.0,269667000.0,270000000.0,301732000.0,0.0
Other comprehensive income,122247000,123009000,21000000.0,128212000,12000000.0,130308000,12000000.0,131670000,28000000.0,133352000,42000000.0,132257000,0.0
Retained earnings (deficit),47616000.0,32679000.0,33000000.0,1680000.0,2000000.0,-9478000.0,-9000000.0,-32251000.0,-32000000.0,-57952000.0,-58000000.0,-66993000.0,0.0
Total shareholders equity,176210000.0,176910000.0,177000000.0,142197000.0,142000000.0,132865000.0,133000000.0,127686000.0,128000000.0,117140000.0,117000000.0,126856000.0,0.0
Investments,42000.0,46000.0,6000000.0,51000.0,6000000.0,52000.0,6000000.0,54000.0,7000000.0,130000.0,8000000.0,2055000.0,0.0
Net Debt,123552000.0,89303000.0,116000000,97257000.0,125000000,83326000.0,111000000,85875000.0,114000000,102851000.0,131000000,121153000.0,0.0
Other Assets,0.0,0.0,67000000,0.0,96000000,0.0,69000000,0.0,87000000,0.0,92000000,0.0,0.0
Other Liabilities,30511000.0,31867000.0,33000000,27360000.0,54000000,27648000.0,26000000,32525000.0,36000000,32520000.0,43000000,32011000.0,0.0
