date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2008-01-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,880690000.0,578276000.0,487476000.0,288934000.0,250327000.0,274284000.0,194219000.0,1418000000.0,939000000.0,633000000.0,530382000.0,324138000.0,-212626000.0,-212626000.0,-896394000.0,1156956000.0,1382284000.0,1913270000.0,1533560000.0,791996000.0,383996000.0,465017000.0,500800000.0,501500000.0,507900000.0
,depreciationAndAmortization,15066000.0,14669000.0,13829000.0,11640000.0,10498000.0,8917000.0,9389000.0,0.0,0.0,24000000.0,698902000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,81842000.0,1935000.0,29514000.0,-58752000.0,-88732000.0,-77227000.0,-40888000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,36464000.0,30600000.0,31524000.0,27899000.0,22944000.0,21598000.0,24971000.0,47000000.0,47000000.0,56000000.0,39750000.0,51065000.0,0.0,86271000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-1091574000.0,-2634622000.0,-893885000.0,-1963973000.0,-1453555000.0,-14870474000.0,15967780000.0,5180000000.0,9048000000.0,-6245578000000.0,6246734129000.0,16551871000.0,-15659037000.0,4757931000.0,-30849220000.0,334224000.0,-1263386000.0,19308488000.0,6762000000.0,4981000000.0,-1451000000.0,6223000000.0,-10943000000.0,-3052000000.0,-452800000.0
,accountsReceivables,-876703000.0,-963885000.0,-864461000.0,-703081000.0,-582361000.0,-377648000.0,-331014000.0,-68000000.0,361000000.0,463000000.0,-3928000.0,0.0,0.0,-279082000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-14602000.0,13817000.0,25979000.0,14304000.0,3736000.0,303000.0,2985000.0,-23000000.0,-41000000.0,75000000.0,-77180000.0,-517401000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-839000.0,-19456729000.0,-16822107000.0,-15928222000.0,-13964249000.0,-12510694000.0,2359780000.0,-13608000000.0,-18788000000.0,-27836000000.0,6217742000000.0,-28992129000.0,-45544000000.0,-29884963000.0,-34642894000.0,-3793674000.0,-4127898000.0,-2864512000.0,-22173000000.0,-28935000000.0,-33916000000.0,-32465000000.0,-38688000000.0,-27745000000.0,-24693000000.0
,otherNonCashItems,31187000.0,22629000.0,21629000.0,47096000.0,1374000.0,4806000.0,10164000.0,-42000000.0,-145000000.0,-38000000.0,0.0,329953000.0,-5698031000.0,0.0,2711458000.0,754043000.0,141108000.0,-1655812000.0,45758000.0,320528000.0,518416000.0,85119000.0,34400000.0,28700000.0,0.0
,netCashProvidedByOperatingActivites,-182669000.0,-15641000.0,-102741000.0,-166912000.0,-200932000.0,-91203000.0,-436773000.0,2000000000.0,2636000000.0,3081000000.0,-6692494000.0,-15913709000.0,-5698350000.0,-5698350000.0,-51297000.0,808421000.0,-698827000.0,-317216000.0,674445000.0,762641000.0,839388000.0,744647000.0,338200000.0,124000000.0,55100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,17000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38000000.0,-38000000.0,0.0,-340000000.0,-238000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2083261000.0,-356414000.0,-15876000.0,-78327000.0,-55767000.0,-64112000.0,-72049000.0,-448000000.0,-308000000.0,-419000000.0,-38444964000.0,-128479087000.0,-101640842000.0,-1243671000.0,-90417954000.0,-86255390000.0,-67221395000.0,-293235655000.0,-275717328000.0,-50380011000.0,-45450862000.0,-66608536000.0,-12972300000.0,-9853800000.0,-16639900000.0
,salesMaturitiesOfInvestments,654515000.0,50915000.0,77897000.0,40044000.0,38721000.0,33735000.0,10653000.0,419000000.0,277000000.0,458000000.0,39601218000.0,128157619000.0,104091025000.0,102436912000.0,89861788000.0,86320183000.0,68223713000.0,294142868000.0,274564244000.0,50836714000.0,45553861000.0,64830302000.0,15785500000.0,20516200000.0,19027700000.0
,otherInvestingActivites,28709000.0,42869000.0,54659000.0,-3220000.0,42691000.0,89141000.0,127869000.0,1263000000.0,810000000.0,166000000.0,198580000.0,-1754526000.0,-13117470000.0,0.0,-30700206000.0,-14190881000.0,-16433222000.0,-8814080000.0,-5888473000.0,-511943000.0,-3259976000.0,3078805000.0,-6666800000.0,-7891400000.0,5456400000.0
,netCashUsedForInvestingActivites,947330000.0,-2306714000.0,-3254863000.0,-3212516000.0,-3331041000.0,-1847509000.0,-1388371000.0,9210000000.0,11845000000.0,9360000000.0,7275479000.0,311051000.0,-10667287000.0,-135041000.0,-31256372000.0,-14465924000.0,-15668823000.0,-8775271000.0,-7155171000.0,-105151000.0,-3156977000.0,851817000.0,-4171300000.0,2771000000.0,7844200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
