date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,revenue,344573000.0,366741000.0,330867000.0,314983000.0,295088000.0,275623000.0,260000000.0,255057000.0,235466000.0,209823000.0,128950000.0,117043000.0,120943000.0,117508000.0
,costOfRevenue,121119000.0,131980000.0,121455000.0,116677000.0,107931000.0,98006000.0,91231000.0,89986000.0,86114000.0,59937000.0,35960000.0,28642000.0,32919000.0,32552000.0
,grossProfit,223454000.0,234761000.0,209412000.0,198306000.0,187157000.0,177617000.0,168769000.0,165071000.0,149352000.0,149886000.0,92990000.0,88401000.0,88024000.0,84956000.0
,grossProfitRatio,0.648495384142112,0.640127501424711,0.632918967440089,0.629576834305344,0.634241311066529,0.644420095565319,0.649111538461538,0.647192588323394,0.634282656519413,0.714344947884646,0.721132221791392,0.755286518629905,0.727813928875586,0.722980563025496
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,26581000.0,24871000.0,22784000.0,21382000.0,17897000.0,20074000.0,18532000.0,17195000.0,15593000.0,13916000.0,8813000.0,7058000.0,8690000.0,10471000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,2000.0,1000.0,4000.0,334000.0,126000.0,108000.0,746000.0,10000.0,203000.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,134873000.0,121076000.0,129877000.0,104660000.0,89216000.0,83466000.0,85100000.0,83970000.0,77446000.0,91110000.0,46455000.0,36916000.0,39779000.0,41847000.0
,costAndExpenses,255992000.0,253056000.0,251332000.0,221337000.0,197147000.0,181472000.0,176331000.0,173956000.0,163560000.0,151047000.0,82415000.0,65558000.0,72698000.0,74399000.0
,interestExpense,53440000.0,54008000.0,52248000.0,53848000.0,51936000.0,47260000.0,52965000.0,58020000.0,57328000.0,56487000.0,46813000.0,43290000.0,43737000.0,42902000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,108292000.0,96205000.0,107093000.0,83278000.0,71319000.0,63392000.0,66568000.0,66775000.0,61853000.0,57639000.0,37642000.0,29858000.0,31089000.0,31376000.0
,EBITDA,196873000.0,209890000.0,186628000.0,176924000.0,169260000.0,157543000.0,150237000.0,147876000.0,133759000.0,116415000.0,84177000.0,81343000.0,79334000.0,74485000.0
