Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Revenue,0.0,2246807.0,-55836065.0,-23372396.0,12541075.0,12586724.0,12910701.0,11588817.0
Revenue Growth,-1,-1.04023935067774,1.38897479744909,-2.86366766804281,-0.00362675784421745,-0.025093680041076,0.114065482266223,
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,0.0,0.0,0.0,0.0,0.0,0.0,12910701.0,11588817.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,791140.0,1264944.0,892240.0,932789.0,1047589.0,1052199.0,1052199.0,838572.0
Operating Expenses,4496591.0,1264944.0,892240.0,932789.0,1047589.0,1052199.0,2891266.0,2096356.0
Operating Income,-4461591.0,-2580136.0,-58769566.0,-28013898.0,9085242.0,10019435.0,10019435.0,9492461.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings before Tax,-4461591.0,0.0,-58769566.0,-28013898.0,9085242.0,10019435.0,10019435.0,9492461.0
Income Tax Expense,0.0,-53300.0,2495148.0,-723403.0,1380272.0,1706966.0,1706966.0,1190556.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-10699740.0,-2580136.0,-61264714.0,-27290495.0,7704970.0,8312469.0,8312469.0,8301905.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-10699740.0,-2580136.0,-61264714.0,-27290495.0,7704970.0,8312469.0,8312469.0,8301905.0
EPS,-0.598,-0.177,4.962,2.352,0.808,1.044,5.22,5.71
EPS Diluted,-0.598,-0.177,-4.962,-2.352,0.808,1.044,5.22,5.71
Weighted Average Shs Out,17893595.0,14571076.0,12345678.0,11601558.0,9535161.0,7960662.0,2185000.0,
Weighted Average Shs Out (Dil),17893595.0,14571076.0,12345678.0,11601558.0,9535161.0,7960662.0,1592132.0,1454184.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.105839690217,0.0,0.0
Gross Margin,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,1.0
EBITDA Margin,0.0,-1.12200469377,1.05026593475,1.19381059606,0.733385535132,0.801301275852,0.781,0.823
EBIT Margin,0.0,-1.14835675694,1.05253774599,1.19858905351,0.724438853926,0.79603199371,0.7761,0.8191
Profit Margin,0.0,-1.14835675694,1.09722477757,1.1676378836,0.614378751423,0.660415609336,0.644,0.716
Free Cash Flow margin,0.0,-0.192080583691,-0.00632741580196,-0.114882188373,0.520658476247,0.634867817869,0.6189,0.7787
EBITDA,-4461591.0,-2520928.0,-58642717.0,-27902214.0,9197443.0,10085758.0,10085758.0,9540047.0
EBIT,-4461591.0,-2580136.0,-58769566.0,-28013898.0,9085242.0,10019435.0,10019435.0,9492461.0
Consolidated Income,-10699740.0,-2580136.0,-61264714.0,-27290495.0,7704970.0,8312469.0,8312469.0,8301905.0
Earnings Before Tax Margin,0.0,0.0,1.05253774599,1.19858905351,0.724438853926,0.79603199371,0.7761,0.8191
Net Profit Margin,0.0,-1.14835675694,1.09722477757,1.1676378836,0.614378751423,0.660415609336,0.6438,0.7164
