Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12
Depreciation & Amortization,1060000.0,311000.0,0000000.0,215000.0,0000000.0,194000.0,0000000.0,107000.0,0000000.0,0000000.0
Stock-based compensation,16139000.0,13349000.0,13000000.0,10923000.0,11000000.0,10699000.0,11000000.0,4641000.0,5000000.0,0000000.0
Operating Cash Flow,-29257000.0,-116289000.0,-116000000.0,-40631000.0,-41000000.0,-69064000.0,-69000000.0,-39653000.0,-40000000.0,-17000000.0
Capital Expenditure,33000.0,745000.0,-4000000.0,90000.0,-0000000.0,0.0,000000.0,827000.0,-1000000.0,-0000000.0
Acquisitions and disposals,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,
Investment purchases and sales,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0
Investing Cash flow,3168000.0,-6686000.0,-7000000.0,-90000.0,-0000000.0,-42000.0,-0000000.0,-772000.0,-1000000.0,-0000000.0
Issuance (repayment) of debt,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,
Issuance (buybacks) of shares,-56940000.0,-81146000.0,,-142017000.0,,-101860000.0,,-170566000.0,,
Dividend payments,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,
Financing Cash Flow,1948000.0,2968000.0,3000000.0,59805000.0,60000000.0,80609000.0,81000000.0,197703000.0,198000000.0,30000000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,
Net cash flow / Change in cash,-24141000.0,-120007000.0,-120000000.0,19084000.0,19000000.0,11503000.0,12000000.0,157278000.0,157000000.0,13000000.0
Free Cash Flow,-29290000.0,-117034000.0,-121000000.0,-40721000.0,-41000000.0,-69064000.0,-69000000.0,-40480000.0,-40000000.0,-17000000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,
