date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,revenue,460608000.0,454868000.0,667600000.0,881191000.0,795416000.0,340803000.0,77806000.0
,costOfRevenue,282924000.0,279135000.0,433496000.0,627964000.0,532682000.0,263271000.0,72223000.0
,grossProfit,177684000.0,175733000.0,234104000.0,253227000.0,262734000.0,77532000.0,5583000.0
,grossProfitRatio,0.385759691538141,0.386338454232876,0.350665068903535,0.287369026692284,0.330310177316021,0.227497997376784,0.0717553916150425
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,137244000.0,144925000.0,194340000.0,247907000.0,165179000.0,70151000.0,21811000.0
,SellingAndMarketingExpenses,49934000.0,48133000.0,117455000.0,154529000.0,144141000.0,51362000.0,13960000.0
,otherExpenses,0.0,0.0,0.0,-14984000.0,0.0,0.0,0.0
,operatingExpenses,216248000.0,227829000.0,348482000.0,441987000.0,317537000.0,124430000.0,36382000.0
,costAndExpenses,499172000.0,506964000.0,781978000.0,1069951000.0,850219000.0,387701000.0,108605000.0
,interestExpense,0.0,0.0,7683000.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,24503000.0,31200000.0,34517000.0,26838000.0,8217000.0,2917000.0,611000.0
,EBITDA,-14061000.0,-20896000.0,-79861000.0,-161922000.0,-46586000.0,-43981000.0,-30188000.0
,EBITDARatio,-0.0305270425177157,-0.0459386019680435,-0.119624026363092,-0.183753578963017,-0.0585680951854124,-0.129051094033797,-0.387990643395111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-38564000.0,-52096000.0,-114378000.0,-188760000.0,-54803000.0,-46898000.0,-30799000.0
,operatingIncomeRatio,-0.0837241211615951,-0.114529929561983,-0.171327142001198,-0.214210086122078,-0.0688985386263289,-0.137610290989223,-0.395843508212734
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,-14984000.0,0.0,0.0,0.0
,incomeBeforeTax,-46112000.0,-61039000.0,-122061000.0,-210128000.0,-54778000.0,-46904000.0,-30803000.0
,incomeBeforeTaxRatio,-0.100111157426706,-0.134190578365592,-0.182835530257639,-0.238459085487709,-0.0688671085318877,-0.137627896468048,-0.395894918129707
,incomeTaxExpense,42000.0,42000.0,88000.0,15000.0,108000.0,61000.0,0.0
,netIncome,-46154000.0,-61081000.0,-122149000.0,-210143000.0,-54886000.0,-46965000.0,-30803000.0
,netIncomeRatio,-0.1002023412533,-0.134282912845045,-0.182967345715998,-0.238476107903962,-0.0690028865398735,-0.137806885502768,-0.395894918129707
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-3.52592241290008,-4.67,-9.449953,-24.599877,-5.399973,-4.626142,-3.067684
,EPSDiluted,-3.52592241290008,-4.67,-9.449953,-24.599877,-5.399973,-4.626142,-3.067684
,weightedAverageShsOut,13089908.0,13089908.0,12845325.0,8537198.0,10041127.0,10152087.0,10041127.0
,weightedAverageShsOutDil,13089908.0,13089908.0,12845325.0,8537198.0,10041127.0,10152087.0,10041127.0
