date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY
,revenue,4848000.0,5579000.0,9030000.0,81523000.0,76393000.0,76165000.0,13469000.0,0.0,411474.322246,0.0,2990.266936,2994.766428,0.0,0.0
,costOfRevenue,2599000.0,3725000.0,7351000.0,56839000.0,54054000.0,53546000.0,8133000.0,0.0,358541.660384,0.0,0.0,0.0,0.0,0.0
,grossProfit,2249000.0,1854000.0,1679000.0,24684000.0,22339000.0,22619000.0,5336000.0,0.0,52932.661862,0.0,2990.266936,2994.766428,0.0,0.0
,grossProfitRatio,0.463902640264026,0.332317619645098,0.1859357696567,0.302785716914245,0.292422080557119,0.29697367557277,0.396168980622169,0.0,0.128641470439932,0.0,1.0,1.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,1202000.0,2052000.0,3425000.0,7281000.0,8794000.0,9916000.0,655000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,5471000.0,3925000.0,7499000.0,20112000.0,20728000.0,23271000.0,11567000.0,1983266.808794,2331225.435502,103204.470409,92262.696348,88697.421981,5804.097671,25059.512564
,SellingAndMarketingExpenses,1255000.0,1831000.0,3375000.0,18682000.0,22243000.0,23569000.0,5153000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,918000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,7808000.0,14299000.0,46075000.0,51765000.0,56756000.0,17375000.0,0.0,2507779.21856,0.0,92262.696348,88697.421981,0.0,0.0
,costAndExpenses,10527000.0,11603000.0,21650000.0,102914000.0,105819000.0,110302000.0,25508000.0,2195158.578848,2866320.878944,103204.470409,92262.696348,88697.421981,5804.097671,25059.512564
,interestExpense,728000.0,331000.0,-76000.0,5911000.0,5087000.0,3065000.0,447000.0,2601.500794,19367.128052,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,971000.0,1030000.0,3857000.0,6087000.0,6187000.0,7450000.0,3453000.0,211891.770054,176553.783058,0.0,0.0,0.0,0.0,0.0
,EBITDA,-4708000.0,-4994000.0,-8763000.0,-15304000.0,-23239000.0,-26687000.0,-8586000.0,-1979316.659936,-2278292.77364,-106469.90094,-89272.429411,-85702.655553,-7157.825802,-29316.077839
,EBITDARatio,-0.971122112211221,-0.895142498655673,-0.970431893687708,-0.187726163168676,-0.304203264697027,-0.35038403466159,-0.637463805776227,0.0,-5.53690145524542,0.0,-29.854334519853,-28.6174757242203,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-5679000.0,-6024000.0,-12620000.0,-21391000.0,-29426000.0,-34137000.0,-12039000.0,-2195158.578848,-2454846.556698,-103204.470409,-89272.429411,-85702.655553,-5804.097671,-25059.512564
,operatingIncomeRatio,-1.19121287128713,-1.07976339845851,-1.39756367663344,-0.262392208333844,-0.385192360556596,-0.448197991203309,-0.893830276932215,0.0,-5.96597752029438,0.0,-29.854334519853,-28.6174757242203,0.0,0.0
,totalOtherIncomeExpensesNet,632000.0,2096000.0,10000.0,-514000.0,-33122000.0,-11391000.0,-194000.0,-39557.838782,0.0,3265.430531,0.0,0.0,1353.728132,4256.565275
,incomeBeforeTax,-5775000.0,-4281000.0,-12686000.0,-27816000.0,-67635000.0,-48593000.0,-12680000.0,-2233367.769565,-2474096.076717,-99939.039878,0.0,0.0,-4450.369539,-20802.947289
,incomeBeforeTaxRatio,-1.19121287128713,-0.767341817530023,-1.40487264673311,-0.341204322706475,-0.885355988114094,-0.637996455064662,-0.941421040908753,0.0,-6.01275934598383,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,4000.0,0.0,0.0,-1632000.0,825000.0,-1366000.0,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-5779000.0,-4281000.0,-26208000.0,-26184000.0,-68460000.0,-47227000.0,-12722000.0,-2233367.769565,-2474096.076717,-99939.039878,-89272.429411,-85702.655553,-4450.369539,-20802.947289
,netIncomeRatio,-1.19203795379538,-0.767341817530023,-2.90232558139535,-0.32118543233198,-0.89615540690901,-0.620061708133657,-0.94453931249536,0.0,-6.01275934598383,0.0,-29.854334519853,-28.6174757242203,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-2.14632443333544,-1.58997,-15.7988,-42.08,-276.0,-248.0,-106.0,-26.296759,-42.218268,-6.096012,-5.782018,-13.568521,-0.583655,-0.258197
,EPSDiluted,-2.14632443333544,-1.58997,-15.7988,-42.08,-276.0,-248.0,-106.0,-26.296759,-42.218268,-6.096012,-5.782018,-13.568521,-0.583655,-0.258197
,weightedAverageShsOut,2692510.0,2692510.0,1658860.0,622250.0,248680.0,189785.0,120655.0,86654.0,59590.0,15125.0,15125.0,8077.0,7625.0,80570.0
,weightedAverageShsOutDil,2692510.0,2692510.0,1658860.0,622250.0,248680.0,189785.0,120655.0,86654.0,59590.0,15125.0,15125.0,8077.0,7625.0,80570.0
