Date,2018-12-31,2017-12-31
Cash and cash equivalents,105603000.0,1853000.0
Short-term investments,0.0,0.0
Cash and short-term investments,105603000.0,1853000.0
Receivables,0.0,0.0
Inventories,0.0,0.0
Total current assets,106143000.0,1910000.0
Property Plant & Equipment Net,1192000.0,473000.0
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,1396000.0,529000.0
Total assets,107539000.0,2439000.0
Payables,1071000.0,141000.0
Short-term debt,0.0,0.0
Total current liabilities,2467000.0,3715000.0
Long-term debt,0.0,0.0
Total debt,0.0,0.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,4000.0,16000.0
Total liabilities,2471000.0,3731000.0
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-25710000.0,-13189000.0
Total shareholders equity,105068000.0,-1292000.0
Investments,0.0,0.0
Net Debt,-105603000.0,-1853000.0
Other Assets,540000.0,57000.0
Other Liabilities,1396000.0,3574000.0
