Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12
Revenue,5664200000.0,5664000000.0,4431300000.0,4431000000.0,5161900000.0,5162000000.0,8829700000.0,8830000000.0,8683500000.0,8684000000.0
Revenue Growth,0.0000353107344632768,0.278180217994719,0.0000677048070412999,-0.141595149073016,-0.0000193723363037582,-0.415382176064872,-0.0000339750849377123,0.0168710773305695,-0.0000575771533855366,
Cost of Revenue,5377800000.0,5378000000.0,4278900000.0,4279000000.0,4143600000.0,4622000000.0,8013400000.0,8429000000.0,7641000000.0,7888000000.0
Gross Profit,286400000.0,286000000.0,152400000.0,152000000.0,1018300000.0,540000000.0,816300000.0,400000000.0,1042500000.0,795000000.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,
SG&A Expense,78800000.0,79000000.0,71900000.0,72000000.0,75200000.0,75000000.0,70600000.0,71000000.0,0.0,78000000.0
Operating Expenses,78800000.0,83000000.0,71900000.0,75000000.0,4800200000.0,178000000.0,8622500000.0,193000000.0,439500000.0,192000000.0
Operating Income,203800000.0,204000000.0,77800000.0,78000000.0,361700000.0,362000000.0,207200000.0,207000000.0,603000000.0,603000000.0
Interest Expense,47200000.0,47000000.0,43400000.0,43000000.0,42600000.0,43000000.0,34200000.0,34000000.0,44100000.0,44000000.0
Earnings before Tax,88800000.0,89000000.0,15300000.0,15000000.0,291200000.0,291000000.0,358700000.0,359000000.0,0.0,590000000.0
Income Tax Expense,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income,88800000.0,89000000.0,15300000.0,15000000.0,291200000.0,291000000.0,358700000.0,359000000.0,590400000.0,590000000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income Com,88800000.0,89000000.0,15300000.0,15000000.0,291200000.0,291000000.0,358700000.0,359000000.0,590400000.0,590000000.0
EPS,0.6,0.60,0.1,0.10,1.97,1.97,2.43,2.43,3.47,3.47
EPS Diluted,0.6,0.60,0.1,0.10,1.97,1.97,2.43,2.43,3.47,3.47
Weighted Average Shs Out,147600000.0,148000000.0,147600000.0,148000000.0,147600000.0,148000000.0,147600000.0,148000000.0,147600000.0,148000000.0
Weighted Average Shs Out (Dil),147600000.0,148000000.0,147600000.0,148000000.0,147600000.0,148000000.0,147600000.0,148000000.0,147600000.0,148000000.0
Dividend per Share,0.0,,0.0,,0.0,,0.0,,0.0,
Gross Margin,0.0505631863282,0.050494350282486,0.0343917134927,0.034303768900925,0.197272322207,0.10461061604029,0.0924493470899,0.045300113250283,0.12005527725,0.091547673883003
EBITDA Margin,0.0597966173511,0.047492937853107,0.0470967887527,0.042428345745881,0.0956624498731,0.089887640449438,0.0375550698212,0.05832389580974,0.0828237461853,0.086250575771534
EBIT Margin,0.0359803679249,0.024011299435028,0.0175569246045,0.013089596027985,0.0700710978516,0.064703603254553,0.0234662559317,0.044507361268403,0.0694420452582,0.07300783049286
Profit Margin,0.0156774125207,0.015713276836158,0.00345271139395,0.003385240352065,0.0564133361747,0.056373498643936,0.0406242567698,0.040656851642129,0.0679910174469,0.067941040994933
Free Cash Flow margin,0.0138060096748,,0.0373479565816,,0.0540498653597,,0.0594017916804,,0.0456613116831,
EBITDA,338700000.0,269000000.0,208700000.0,188000000.0,493800000.0,464000000.0,331600000.0,515000000.0,719200000.0,749000000.0
EBIT,203800000.0,136000000,77800000.0,58000000,361700000.0,334000000,207200000.0,393000000,603000000.0,634000000
Consolidated Income,88800000.0,89000000.0,15300000.0,15000000.0,291200000.0,291000000.0,358700000.0,359000000.0,590400000.0,590000000.0
Earnings Before Tax Margin,0.0156774125207,0.015713276836158,0.00345271139395,0.003385240352065,0.0564133361747,0.056373498643936,0.0406242567698,0.040656851642129,0.0,0.067941040994933
Net Profit Margin,0.0156774125207,0.015713276836158,0.00345271139395,0.003385240352065,0.0564133361747,0.056373498643936,0.0406242567698,0.040656851642129,0.0679910174469,0.067941040994933
