Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,1169000000.0,1083000000.0,,1034000000.0,,898000000.0,,1193000000.0,,1132000000.0,,1018000000.0,995000000.0
Stock-based compensation,11000000.0,11000000.0,000000.0,11000000.0,000000.0,10000000.0,000000.0,10000000.0,000000.0,99000000.0,0000000.0,83000000.0,66000000.0
Operating Cash Flow,2680000000.0,2117000000.0,3000000.0,2084000000.0,6000000.0,1911000000.0,18000000.0,1839000000.0,6000000.0,2154000000.0,-6000000.0,2209000000.0,2008000000.0
Capital Expenditure,1989000000.0,1574000000.0,-1000000.0,1503000000.0,-0000000.0,1545000000.0,-2000000.0,0.0,-3000000.0,0.0,-1000000.0,0.0,0.0
Acquisitions and disposals,-0.0,-0.0,,-1147000000.0,,-241000000.0,,-0.0,,-0.0,,-198000000.0,-0.0
Investment purchases and sales,0.0,-37000000.0,0,-39000000.0,0,-13000000.0,0,-62000000.0,0,-16000000.0,0,0.0,-18000000.0
Investing Cash flow,-3331000000.0,-2564000000.0,-1000000.0,-3388000000.0,-0000000.0,-2204000000.0,-2000000.0,-2060000000.0,-3000000.0,-1906000000.0,-1000000.0,-1769000000.0,-1560000000.0
Issuance (repayment) of debt,-105000000.0,-385000000.0,-3000000.0,-807000000.0,-8000000.0,-286000000.0,-14000000.0,-1237000000.0,-4000000.0,-961000000.0,000000.0,-639000000.0,-1455000000.0
Issuance (buybacks) of shares,0.0,-51000000.0,,-33000000.0,,9000000.0,,-52000000.0,,39000000.0,,39000000.0,-18000000.0
Dividend payments,-620000000.0,-592000000.0,,-531000000.0,,-501000000.0,,-470000000.0,,-445000000.0,,-407000000.0,-389000000.0
Financing Cash Flow,654000000.0,421000000.0,-3000000.0,1359000000.0,-8000000.0,282000000.0,-14000000.0,217000000.0,-4000000.0,-261000000.0,6000000.0,-443000000.0,-445000000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net cash flow / Change in cash,3000000.0,-26000000.0,-2000000.0,55000000.0,-2000000.0,-11000000.0,2000000.0,-4000000.0,-1000000.0,-13000000.0,-1000000.0,-3000000.0,3000000.0
Free Cash Flow,691000000.0,543000000.0,2000000.0,581000000.0,6000000.0,366000000.0,16000000.0,1839000000.0,3000000.0,2154000000.0,-7000000.0,2209000000.0,2008000000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
