date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,3264287925.0,2491316213.0,2164458820.0
,depreciationAndAmortization,46203367.0,12065648.0,5790986.0
,deferredIncomeTax,0.0,0.0,0.0
,stockBasedCompensation,87299053.0,57981487.0,64055851.0
,changeInWorkingCapital,-194940633.0,-499878447.0,208716950.0
,accountsReceivables,3873447.0,112068030.0,-78970874.0
,inventory,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0
,otherWorkingCapital,132112749.0,-127952203.0,180658335.0
,otherNonCashItems,23934289.0,0.0,100598.0
,netCashProvidedByOperatingActivites,5503389324.0,3332318827.0,3076140032.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0
,purchasesOfInvestments,-676942809.0,-1352558415.0,-1155150000.0
,salesMaturitiesOfInvestments,457817239.0,1662675701.0,1285350000.0
,otherInvestingActivites,-619043966.0,-2960463879.0,-824469589.0
,netCashUsedForInvestingActivites,-929558817.0,-2790734349.0,-705567600.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-5402354040.0,-8025871949.0,-10814431453.0
,commonStockIssued,0.0,0.0,5339532767.0
,commonStockRepurchased,-2087241398.0,-1410222466.0,-421164802.0
,dividendsPaid,0.0,0.0,0.0
,otherFinancingActivites,-423936362.0,63593172.0,918836448.0
,netCashUsedProvidedByFinancingActivities,-3372335137.0,-6727839034.0,3753911173.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,76077072.0,-57682237.0,-77947461.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1277572442.0,-6243936793.0,6046536144.0
,cashAtEndOfPeriod,4118587358.0,2841014916.0,6832306121.0
,cashAtBeginningOfPeriod,2841014916.0,9084951709.0,785769977.0
,operatingCashFlow,5503389324.0,3332318827.0,3076140032.0
,capitalExpenditure,-76389281.0,-140387756.0,-11298011.0
,freeCashFlow,5427000043.0,3191931071.0,3064842021.0
