date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2001-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,3291000.0,5342545.0,11004241.0,14614905.0,-2369492.0,2317026.0,5994807.0,-803150.0,-1384385.0,-1392360.0,-2620030.0,-20444581.0,-6285643.0,-7849616.0,-9437731.0,-1994057.0,4056182.0,-1234000.0
,depreciationAndAmortization,2970000.0,2503291.0,1218559.0,2526609.0,3713879.0,2457032.0,607693.0,935477.0,1092027.0,1462511.0,1331809.0,1853188.0,1933566.0,1780877.0,1141115.0,540145.0,381052.0,0.0
,deferredIncomeTax,1436000.0,-3349032.0,0.0,0.0,0.0,-510772.0,-1148941.0,-1507791.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,-157251.0,957898.0,0.0
,stockBasedCompensation,2134000.0,1544156.0,627856.0,715094.0,860215.0,1124379.0,1019445.0,1181379.0,1862533.0,2163290.0,3472330.0,3216780.0,2867487.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-7224000.0,-15017065.0,11904160.0,23055906.0,-2287304.0,8070727.0,5240023.0,-402964.0,-419039.0,2872798.0,-3001737.0,-3935192.0,877020.0,-5168646.0,-2591524.0,1354648.0,-4209559.0,-1762000.0
,accountsReceivables,-3292000.0,-2248925.0,-6240377.0,1152055.0,-3568761.0,-2040323.0,-281334.0,1533827.0,-1101549.0,1711539.0,-466422.0,-6332.0,2384576.0,0.0,0.0,0.0,0.0,0.0
,inventory,-1550000.0,-722690.0,-967797.0,-1902311.0,492932.0,-252934.0,-220419.0,-9261.0,-10482.0,-224173.0,-261972.0,-61373.0,-1566809.0,-831945.0,0.0,0.0,0.0,0.0
,accountsPayables,1143000.0,592000.0,0.0,0.0,0.0,0.0,311627.0,0.0,-724050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,182000.0,41072238.0,56089303.0,44185143.0,21129237.0,23416541.0,15345814.0,10105791.0,10508755.0,10927794.0,8054996.0,11056733.0,14991925.0,14114905.0,19283551.0,396033.0,-3301905.0,0.0
,otherNonCashItems,-522000.0,0.0,0.0,0.0,860215.0,613607.0,163998.0,-341412.0,1862533.0,0.0,3472330.0,135162.0,2867487.0,2425143.0,1772607.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,2856000.0,4798201.0,-3308825.0,915042.0,-399837.0,-5087907.0,-2714719.0,-1787292.0,-416768.0,2990389.0,-87282.0,-4635490.0,-758339.0,-4216170.0,-9115533.0,-87589.0,1482157.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-681000.0,-540635.0,-386890.0,-1352531.0,-1509984.0,-710348.0,-255242.0,-186956.0,-371390.0,-327704.0,-85149.0,-53111.0,-391210.0,-1789940.0,-3393294.0,-1307991.0,-1568503.0,0.0
,acquisitionsNet,0.0,-19000000.0,-5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122642.0,-378000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,374517.0,10927268.0,5110855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-34159000.0,-19814991.0,-5762406.0,-1845128.0,-2000184.0,-702881.0,-507325.0,-440407.0,-595927.0,-675517.0,-450682.0,-695986.0,-927461.0,-1789940.0,-3393294.0,-1396957.0,-1946503.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-53000.0,-665047.0,-1879986.0,-1885461.0,-1928508.0,-6789539.0,-1566617.0,-1557033.0,-1675949.0,-6909776.0,-839435.0,-5009886.0,-11160.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485950.0,17963444.0,9996926.0,3300.0,0.0
,commonStockRepurchased,-452000.0,-2220467.0,-466894.0,-1131759.0,-333053.0,-152713.0,-32221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,-56873.0,-77184.0,-66617.0,-57033.0,-50949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,21649000.0,-2437560.0,-1249564.0,-2917367.0,-2261561.0,140264.0,-1366796.0,-1445076.0,-1585971.0,-592325.0,2525742.0,-4958682.0,5157815.0,186302.0,17860741.0,13389749.0,431805.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
