Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Depreciation & Amortization,-1827901.0,1475701.0,0.0,0.0,4705639.0,1974765.0
Stock-based compensation,252912.0,205585.0,197452.0,256608.0,253635.0,230923.0
Operating Cash Flow,12252923.0,4237854.0,2341010.0,2063476.0,20744225.0,13327928.0
Capital Expenditure,0.0,0.0,0.0,0.0,0.0,0.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Investment purchases and sales,0.0,0.0,-283565.0,-358991.0,0.0,0.0
Investing Cash flow,1021797953.0,-430625433.0,-219125263.0,191297042.0,-250912182.0,-402939594.0
Issuance (repayment) of debt,-4075446.0,-13794505000.0,-0.0,-0.0,-1133118.0,-3767509000.0
Issuance (buybacks) of shares,-613276.0,19835626.0,15220320.0,-358991.0,46989033.0,50937069.0
Dividend payments,-5156936.0,-11904005.0,-29898918.0,-19874663.0,-18229875.0,-10303705.0
Financing Cash Flow,-1020459666.0,434120585.0,218177909.0,-199494085.0,229379311.0,419065838.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,13591210.0,45622602.0,1393656.0,-6133567.0,-788646.0,29454172.0
Free Cash Flow,12252923.0,4237854.0,2341010.0,2063476.0,20744225.0,13327928.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0
