date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2008-02-20_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-8885000000.0,1686000000.0,1412000000.0,1919000000.0,2676000000.0,7610000000.0,2882000000.0,-1834000000.0,-1876000000.0,-1979000000.0,-471000000.0,-1468000000.0,-2071000000.0,504000000.0,504000000.0,231000000.0,-861000000.0,-761000000.0,-1228000000.0,-3511000000.0,-1762000000.0,813000000.0,985000000.0,1314000000.0,985000000.0,1016000000.0,167000000.0,228000000.0,-110000000.0,-935000000.0,-240000000.0,-39600000.0,454800000.0
,depreciationAndAmortization,2370000000.0,2318000000.0,2159000000.0,2017000000.0,1818000000.0,1609000000.0,1513000000.0,1020000000.0,1015000000.0,1086000000.0,1093000000.0,1104000000.0,1207000000.0,1036000000.0,1202000000.0,1157000000.0,1164000000.0,1292000000.0,1377000000.0,1366000000.0,1404000000.0,1202000000.0,1092000000.0,1287000000.0,1244000000.0,1204000000.0,1259000000.0,1253000000.0,-1223000000.0,-1041000000.0,-883000000.0,-723100000.0,-612700000.0
,deferredIncomeTax,-2568000000.0,560000000.0,440000000.0,1141000000.0,1611000000.0,-3014000000.0,346000000.0,-324000000.0,-569000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-845000000.0,-731000000.0,461000000.0,183000000.0,312000000.0,362000000.0,218000000.0,50000000.0,145000000.0,-30000000.0,-101000000.0,-110000000.0,-152000000.0,134900000.0
,stockBasedCompensation,91000000.0,94000000.0,86000000.0,90000000.0,100000000.0,284000000.0,304000000.0,39000000.0,29000000.0,40000000.0,43000000.0,61000000.0,53000000.0,133000000.0,133000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1217000000.0,-646000000.0,-3641000000.0,-2270000000.0,72000000.0,-2297000000.0,-1840000000.0,2749000000.0,-359000000.0,69000000.0,-856000000.0,2353000000.0,-2185000000.0,0.0,349000000.0,553000000.0,-109000000.0,-170000000.0,426000000.0,-1331000000.0,839000000.0,-371000000.0,-676000000.0,-218000000.0,550000000.0,460000000.0,240000000.0,-69000000.0,125000000.0,84000000.0,230900000.0,-779000000.0,123100000.0
,accountsReceivables,0.0,0.0,222000000.0,-190000000.0,-160000000.0,352000000.0,-160000000.0,-93000000.0,-222000000.0,0.0,0.0,0.0,0.0,-41000000.0,0.0,3000000.0,-156000000.0,-89000000.0,690000000.0,-66000000.0,120000000.0,-169000000.0,261000000.0,-242000000.0,12000000.0,-225000000.0,-109000000.0,-135000000.0,37000000.0,-144000000.0,-152000000.0,-76700000.0,-47200000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000000.0,-64000000.0,-81000000.0,-79000000.0,5000000.0,-128000000.0,-128000000.0,-7000000.0,-59000000.0,8000000.0,56000000.0,48000000.0,-39000000.0,-111000000.0,-140000000.0,-35000000.0,-41000000.0,-66000000.0,-11000000.0,-19000000.0,-27000000.0,-85000000.0,-55000000.0,-102100000.0,-89600000.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412000000.0,0.0,-130000000.0,250000000.0,-26000000.0,-198000000.0,-32000000.0,379000000.0,579000000.0,42000000.0,268000000.0,117000000.0,261000000.0,441000000.0,-216000000.0,34000000.0,-17000000.0,15000000.0,63500000.0,263900000.0
,otherWorkingCapital,1394000000.0,-10105000000.0,-9459000000.0,-5818000000.0,-3548000000.0,-3620000000.0,-1323000000.0,517000000.0,-2232000000.0,-1873000000.0,-1942000000.0,-1086000000.0,-3439000000.0,-1254000000.0,-1254000000.0,-1603000000.0,-2156000000.0,-2047000000.0,-1877000000.0,-2303000000.0,-972000000.0,-1811000000.0,-1440000000.0,-764000000.0,-546000000.0,-1096000000.0,-1556000000.0,-1796000000.0,-1727000000.0,-1852000000.0,-1936000000.0,-2166900000.0,-1387900000.0
,otherNonCashItems,1646000000.0,314000000.0,302000000.0,119000000.0,133000000.0,139000000.0,-116000000.0,2312000000.0,2055000000.0,1242000000.0,-45000000.0,171000000.0,0.0,0.0,23000000.0,142000000.0,27000000.0,10000000.0,-40000000.0,73000000.0,226000000.0,1000000.0,520000000.0,191000000.0,86000000.0,-141000000.0,-179000000.0,37000000.0,2446000000.0,2082000000.0,1766000000.0,1446200000.0,1225400000.0
,netCashProvidedByOperatingActivites,-6543000000.0,3815000000.0,3533000000.0,4744000000.0,6524000000.0,6249000000.0,3080000000.0,675000000.0,1279000000.0,680000000.0,1241000000.0,930000000.0,-1394000000.0,1935000000.0,1935000000.0,1939000000.0,1024000000.0,717000000.0,601000000.0,-1111000000.0,511000000.0,3142000000.0,2264000000.0,3195000000.0,2920000000.0,2716000000.0,2185000000.0,1609000000.0,1377000000.0,843000000.0,744000000.0,685800000.0,1325500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1962000000.0,-1521000000.0,-876000000.0,228000000.0,-714000000.0,-530000000.0,-681000000.0,-1027000000.0,-680000000.0,-1881000000.0,-3640000000.0,-3678000000.0,-3539000000.0,-2661000000.0,-1390000000.0,-547000000.0,-928000000.0,-1114000000.0,-2080000000.0,-3299000000.0,-3536000000.0,-2901300000.0,-2394800000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
