date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,177159000.0,207827000.0,152003000.0,104411000.0,101429000.0,99145000.0,104021000.0,95608000.0,77280000.0,81733000.0,62935000.0,65419000.0,63073000.0,60584000.0,71906000.0,70618000.0,61486000.0,52832000.0,49745000.0,40058000.0,34683000.0,26000000.0,20800000.0,17400000.0,13300000.0,11500000.0,10400000.0,9500000.0,9000000.0,8000000.0,8800000.0,7800000.0
,depreciationAndAmortization,-1157000.0,22036000.0,8349000.0,-645000.0,3802000.0,-1995000.0,559000.0,2449000.0,7532000.0,9648000.0,10546000.0,9880000.0,10817000.0,13236000.0,15097000.0,21630000.0,14302000.0,22024000.0,18279000.0,-6226000.0,9874000.0,11200000.0,1900000.0,1900000.0,-200000.0,1000000.0,0.0,200000.0,1100000.0,1300000.0,1300000.0,1200000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13082000.0,99000.0,4813000.0,-585000.0,-3537000.0,5937000.0,1532000.0,-527000.0,-460000.0,-3000000.0,-1300000.0,300000.0,-1000000.0,-1400000.0,300000.0,-900000.0,-800000.0,-300000.0,0.0,-1000000.0
,stockBasedCompensation,5529000.0,5548000.0,3508000.0,2953000.0,2803000.0,2733000.0,2988000.0,1926000.0,2039000.0,2214000.0,2197000.0,1666000.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-16223000.0,-3125000.0,8741000.0,30246000.0,3085000.0,-2326000.0,-10023000.0,18261000.0,47465000.0,-16528000.0,4993000.0,-18066000.0,-1759000.0,-5154000.0,-6603000.0,676000.0,883000.0,-907000.0,-3705000.0,-4158736000.0,298787000.0,451300000.0,298700000.0,100000000.0,213400000.0,97000000.0,814200000.0,0.0,0.0,0.0,0.0,300000.0
,accountsReceivables,-743290000.0,0.0,0.0,0.0,0.0,462000.0,-419000.0,304000.0,1157000.0,135000.0,5025000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,-897000.0,5000.0,-382000.0,-2033000.0,-1459000.0,-1496000.0,-3737000.0,-3571000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,122305000.0,-9104268000.0,-9508181000.0,-7055705000.0,-6937626000.0,-6619255000.0,-6379007000.0,-5778224000.0,-5445726000.0,-5617593000.0,-5323952000.0,-5883746000.0,-5824703000.0,-4959514000.0,-4500589000.0,-4287859000.0,-3197600000.0,-3089200000.0,-2467027000.0,-1885349000.0,2273387000.0,1974600000.0,1523300000.0,1224600000.0,1124600000.0,911200000.0,814200000.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,335000.0,-5790000.0,-3604000.0,-3413000.0,-150000.0,-790000.0,-1753000.0,-2283000.0,20293000.0,42008000.0,15856000.0,-24625000.0,-5000000.0,2364000.0,-12834000.0,-3335000.0,1435000.0,-2900000.0,495000.0,6356000.0,427000.0,8700000.0,7800000.0,4900000.0,4300000.0,6500000.0,-600000.0,5200000.0,-1200000.0,-1100000.0,-500000.0,-3100000.0
,netCashProvidedByOperatingActivites,185096000.0,208182000.0,168378000.0,139592000.0,123255000.0,105642000.0,87702000.0,111811000.0,154761000.0,130018000.0,102865000.0,66028000.0,83635000.0,71115000.0,70886000.0,89084000.0,75650000.0,71944000.0,61313000.0,40236000.0,42767000.0,40800000.0,29000000.0,24800000.0,17400000.0,18200000.0,9500000.0,10600000.0,9500000.0,6900000.0,10100000.0,5200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-4672000.0,-5522000.0,-4194000.0,-4893000.0,-12615000.0,-1869000.0,-1893000.0,-2421000.0,-4271000.0,-1676000.0,-6712000.0,-4162000.0,-5053000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,-133000000.0,3000000.0,-16000000.0,0.0,50000000.0,0.0,0.0,0.0,0.0,16000000.0,0.0,1000000.0,0.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1287626000.0,-557070000.0,-123572000.0,-362003000.0,-808008000.0,-694630000.0,-805544000.0,-920657000.0,-942710000.0,-816386000.0,-1098711000.0,-793017000.0,-7710000.0,-263623000.0,-1127802000.0,-872071000.0,-131286000.0,-104023000.0,-761041000.0,-487667000.0,-399696000.0,-329900000.0,-469900000.0,-217200000.0,-139700000.0,-124700000.0,-163500000.0,-117600000.0,-116700000.0,-101300000.0,-82100000.0,-64200000.0
,salesMaturitiesOfInvestments,798692000.0,638448000.0,1206618000.0,578229000.0,829524000.0,576139000.0,425389000.0,594582000.0,643532000.0,464082000.0,1363641000.0,1222678000.0,48854000.0,534206000.0,481513000.0,560122000.0,120783000.0,222054000.0,530086000.0,400622000.0,242715000.0,196400000.0,229400000.0,122300000.0,87100000.0,43900000.0,116900000.0,106100000.0,98000000.0,86000000.0,63100000.0,68700000.0
