Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,1443157000.0,,1314479000.0,,1197533000.0,,1058989000.0,,1023531000.0,,917564000.0,877916000.0,766385000.0,776975000.0,762880000.0
Revenue Growth,0.0979,,0.0977,,0.1308,,0.0346,,0.1155,,0.0452,0.1455,-0.0136,0.0185,0.1159
Cost of Revenue,893779000.0,,806265000.0,,665448000.0,,572598000.0,,545229000.0,,518961000.0,497433000.0,476997000.0,421155000.0,435998000.0
Gross Profit,549378000.0,,508214000.0,,532085000.0,,486391000.0,,478302000.0,,398603000.0,380483000.0,289388000.0,355820000.0,326882000.0
R&D Expenses,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
SG&A Expense,220144000.0,,184731000.0,,165045000.0,,129977000.0,,125528000.0,,113494000.0,121470000.0,110437000.0,109113000.0,98908000.0
Operating Expenses,485318000.0,,417961000.0,,399141000.0,,353493000.0,,322353000.0,,295823000.0,280549000.0,248466000.0,248813000.0,231579000.0
Operating Income,64060000.0,,90253000.0,,132944000.0,,132898000.0,,155949000.0,,102780000.0,99934000.0,40922000.0,107007000.0,95303000.0
Interest Expense,15485000.0,15000000.0,15447000.0,15000000.0,15435000.0,15000000.0,15424000.0,15000000.0,15413000.0,15000000.0,10507000.0,8198000.0,8188000.0,8178000.0,8455000.0
Earnings before Tax,48575000.0,,74806000.0,,117509000.0,,117474000.0,,140536000.0,,92273000.0,91736000.0,32734000.0,98829000.0,86848000.0
Income Tax Expense,14336000.0,,34312000.0,,34783000.0,,36417000.0,,45207000.0,,28807000.0,27974000.0,7137000.0,29251000.0,23690000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Income,34239000.0,34000000.0,40494000.0,40000000.0,82726000.0,83000000.0,81057000.0,81000000.0,95329000.0,95000000.0,63466000.0,63762000.0,25597000.0,69578000.0,63158000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Net Income Com,34239000.0,34000000.0,40494000.0,40000000.0,82726000.0,83000000.0,81057000.0,81000000.0,95329000.0,95000000.0,63466000.0,63762000.0,25597000.0,69578000.0,63158000.0
EPS,1.15,1.15,1.38,1.38,2.85,2.85,2.82,2.81,3.34,3.35,2.245,2.27,0.855,2.165,1.865
EPS Diluted,1.13,1.13,1.35,1.35,2.75,2.75,2.73,2.73,3.25,3.25,2.21,2.225,0.845,2.12,1.825
Weighted Average Shs Out,29720000.0,30000000.0,29441000.0,29000000.0,29074000.0,29000000.0,28785000.0,29000000.0,28519536.0,29000000.0,28267850.0,28104622.0,29960858.0,32129540.0,33870976.0
Weighted Average Shs Out (Dil),30193000.0,30000000.0,30071000.0,30000000.0,30032000.0,30000000.0,29651000.0,30000000.0,29292738.0,29000000.0,28691106.0,28655640.0,30366570.0,32830532.0,34644040.0
Dividend per Share,0.28,,0.225,,0.135,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.3807,,0.3866,,0.4443,,0.4593,,0.4673,,0.4344,0.4334,0.3776,0.458,0.4285
EBITDA Margin,0.047,,0.071,,0.116,,0.131,,0.157,,0.117,0.121,0.059,0.143,0.131
EBIT Margin,0.0444,,0.0687,,0.111,,0.1255,,0.1524,,0.112,0.1138,0.0534,0.1377,0.1249
Profit Margin,0.024,,0.031,,0.069,,0.077,,0.093,,0.069,0.073,0.033,0.09,0.083
Free Cash Flow margin,0.2311,,0.1992,,0.1883,,0.2173,,0.2092,,0.1382,0.1064,0.1484,0.1489,0.1326
EBITDA,67735000.0,,93898000.0,,138373000.0,,138284000.0,,160864000.0,,107298000.0,105865000.0,44981000.0,111369000.0,99854000.0
EBIT,64060000.0,49000000,90253000.0,55000000,132944000.0,98000000,132898000.0,96000000,155949000.0,110000000,102780000.0,99934000.0,40922000.0,107007000.0,95303000.0
Consolidated Income,34239000.0,34000000.0,40494000.0,40000000.0,82726000.0,83000000.0,81057000.0,81000000.0,95329000.0,95000000.0,63466000.0,63762000.0,25597000.0,69578000.0,63158000.0
Earnings Before Tax Margin,0.0337,,0.0569,,0.0981,,0.1109,,0.1373,,0.1006,0.1045,0.0427,0.1272,0.1138
Net Profit Margin,0.0237,,0.0308,,0.0691,,0.0765,,0.0931,,0.0692,0.0726,0.0334,0.0895,0.0828
