date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,revenue,2137148000.0,2641393000.0,2382987000.0,2158243000.0,2041232000.0,1387344000.0,1273831000.0,1498138000.0,1015034000.0,824031000.0,216455000.0,131501000.0,85452000.0,234600000.0,178000000.0
,costOfRevenue,1868794000.0,2111324000.0,1962996000.0,2074662000.0,1869716000.0,1276801000.0,1113219000.0,1258705000.0,956711000.0,696820000.0,194823000.0,128550000.0,83206000.0,213000000.0,163200000.0
,grossProfit,268354000.0,530069000.0,419991000.0,83581000.0,171516000.0,110543000.0,160612000.0,239433000.0,58323000.0,127211000.0,21632000.0,2951000.0,2246000.0,21500000.0,14900000.0
,grossProfitRatio,0.125566409064791,0.200677824163235,0.176245611075512,0.0387264084720766,0.0840257256402016,0.0796795892006597,0.126085799450634,0.159820390377922,0.0574591590035408,0.154376473700625,0.0999376313783465,0.0224408939855971,0.0262837616439639,0.0916453537936914,0.0837078651685393
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,2037000.0,14091000.0,18163000.0,16851000.0,12424000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,119302000.0,118209000.0,104702000.0,93425000.0,88285000.0,73397000.0,62681000.0,46123000.0,42422000.0,34479000.0,22187000.0,25565000.0,24048000.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,3532000.0,1763000.0,9480000.0,-14522000.0,23366000.0,5830000.0,662000.0,388000.0,167000.0,0.0,0.0,0.0,0.0,29500000.0,11700000.0
,operatingExpenses,119302000.0,118209000.0,106739000.0,107516000.0,106448000.0,90248000.0,75105000.0,46123000.0,42422000.0,34479000.0,22187000.0,23311000.0,24048000.0,29500000.0,11700000.0
,costAndExpenses,1988096000.0,2229533000.0,2069735000.0,2182178000.0,1976164000.0,1367049000.0,1188324000.0,1304828000.0,999133000.0,731299000.0,217010000.0,151861000.0,107254000.0,242500000.0,174900000.0
