date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY
,revenue,1242400000.0,5471000000.0,5460800000.0,5079200000.0,3235846000.0,2946900000.0,2695390000.0,2749428000.0,2600594000.0,2422968000.0,2417739000.0
,costOfRevenue,411500000.0,1977800000.0,1981100000.0,1856400000.0,1231668000.0,1150026000.0,1046237000.0,1084237000.0,2232497000.0,2160601000.0,2052924000.0
,grossProfit,830900000.0,3493200000.0,3479700000.0,3222800000.0,2004178000.0,1796874000.0,1649153000.0,1665191000.0,368097000.0,262367000.0,364815000.0
,grossProfitRatio,0.668786220218931,0.638493876804972,0.637214327571052,0.634509371554576,0.619367547157683,0.609750585360888,0.611842071091753,0.605649975194841,0.141543432000535,0.108283312037138,0.150890977065763
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1040800000.0,1120800000.0,977100000.0,927800000.0,596182000.0,526034000.0,520112000.0,549116000.0,60701000.0,79995000.0,65852000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-40400000.0,-1300000.0,-1500000.0,-300000.0,22000.0,-10684000.0,-42000.0,1415000.0,0.0,0.0,0.0
,operatingExpenses,2371500000.0,3257400000.0,3169600000.0,3014400000.0,1737881000.0,1554717000.0,1469771000.0,1473294000.0,274730000.0,292408000.0,254194000.0
,costAndExpenses,2783000000.0,5235200000.0,5150700000.0,4870800000.0,2969549000.0,2704743000.0,2516008000.0,2557531000.0,2507227000.0,2453009000.0,2307118000.0
,interestExpense,356900000.0,340800000.0,342300000.0,274000000.0,121537000.0,106088000.0,120939000.0,140227000.0,178127000.0,183657000.0,174091000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
