date,,2020-09-26_FY,2019-09-28_FY,2018-09-29_FY,2017-09-30_FY,2016-09-24_FY,2015-09-26_FY,2014-09-27_FY,2013-09-28_FY,2012-09-29_FY,2011-09-24_FY,2010-09-25_FY,2009-09-26_FY,2008-09-27_FY,2007-09-29_FY,2006-09-30_FY,2005-09-24_FY,2004-09-25_FY,2003-09-27_FY,2002-09-28_FY,2001-09-29_FY,2000-09-30_FY,1999-09-25_FY,1998-09-26_FY,1997-09-27_FY,1996-09-28_FY,1995-09-30_FY,1994-10-01_FY,1993-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,60758000.0,68632000.0,76534000.0,37995000.0,14440000.0,86352000.0,94500000.0,78800000.0,1900000.0,115000000.0,115300000.0,165200000.0,154900000.0,127300000.0,90740000.0,-8100000.0,54300000.0,48700000.0,53500000.0,53500000.0,38532000.0,22400000.0,38200000.0,13600000.0,12900000.0,30200000.0,41800000.0,16900000.0
,depreciationAndAmortization,116791000.0,120872000.0,125222000.0,127938000.0,129616000.0,133294000.0,136400000.0,130400000.0,45800000.0,35600000.0,30800000.0,30300000.0,28400000.0,28700000.0,34709000.0,37800000.0,36700000.0,27500000.0,29700000.0,38500000.0,38772000.0,34900000.0,36600000.0,37300000.0,35800000.0,34000000.0,34400000.0,27400000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400000.0,1300000.0,3800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,9242000.0,10521000.0,8198000.0,0.0,8256000.0,8611000.0,7390000.0,3888000.0,0.0,0.0,0.0,2396000.0,2156000.0,3014000.0,0.0,1806000.0,1171000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,24315000.0,30418000.0,-2621000.0,-10976000.0,12063000.0,77886000.0,-22610000.0,5776000.0,54628000.0,-21124000.0,-8764000.0,41066000.0,-21793000.0,-17547000.0,39214000.0,-37643000.0,17959000.0,-17924000.0,-32900000.0,-28499000.0,15099000.0,-65600000.0,33500000.0,-11200000.0,4400000.0,500000.0,14000000.0,7800000.0
,accountsReceivables,4466000.0,11821000.0,-5183000.0,-11881000.0,6258000.0,36986000.0,-2061000.0,-5910000.0,13762000.0,-6247000.0,7709000.0,42898000.0,-9663000.0,6836000.0,0.0,-18918000.0,10047000.0,-3400000.0,9700000.0,18600000.0,0.0,1500000.0,6800000.0,9100000.0,-14000000.0,6200000.0,0.0,0.0
,inventory,-1583000.0,14353000.0,-5729000.0,-7916000.0,2415000.0,43279000.0,-13342000.0,10553000.0,8189000.0,-4721000.0,-9555000.0,9664000.0,1424000.0,-1915000.0,1147000.0,-16424000.0,-11655000.0,-5100000.0,5500000.0,-300000.0,-6016000.0,300000.0,1900000.0,8300000.0,-3500000.0,2700000.0,0.0,0.0
,accountsPayables,1511000.0,-6960000.0,809000.0,7088000.0,-1885000.0,-14761000.0,-3513000.0,-375000.0,15669000.0,-2134000.0,3376000.0,-22402000.0,1080000.0,-448000.0,0.0,3326000.0,17603000.0,1200000.0,11300000.0,21100000.0,0.0,-8800000.0,6500000.0,2900000.0,-18400000.0,-900000.0,0.0,0.0
,otherWorkingCapital,7099000.0,-92690000.0,-61270000.0,-70873000.0,-57755000.0,63067000.0,72600000.0,59400000.0,84600000.0,146300000.0,131900000.0,127500000.0,136000000.0,85800000.0,42735000.0,14600000.0,7900000.0,-38800000.0,-70700000.0,-37800000.0,-9301000.0,-24400000.0,41200000.0,7700000.0,18900000.0,14500000.0,14000000.0,0.0
,otherNonCashItems,-2912000.0,12209000.0,14171000.0,3838000.0,1704000.0,28677000.0,17300000.0,-700000.0,8700000.0,3300000.0,18400000.0,8500000.0,-42200000.0,-21400000.0,6658000.0,37300000.0,-15900000.0,-1000000.0,-6300000.0,-3800000.0,0.0,18300000.0,-6500000.0,6100000.0,2100000.0,-1500000.0,100000.0,300000.0
,netCashProvidedByOperatingActivites,209354000.0,226781000.0,210412000.0,160362000.0,157421000.0,324209000.0,225600000.0,214300000.0,111000000.0,132800000.0,155800000.0,246600000.0,120500000.0,146000000.0,170321000.0,39000000.0,93100000.0,57300000.0,68800000.0,101800000.0,59467000.0,81800000.0,70100000.0,58800000.0,59200000.0,53700000.0,77100000.0,52400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-34978000.0,-32902000.0,-28168000.0,-38375000.0,-41213000.0,-30052000.0,-27823000.0,-17476000.0,-22284000.0,-19131000.0,-650000.0,-2252000.0,-2782000.0,-23057000.0,-2043000.0,1799000.0,-14100000.0,-17500000.0,-23200000.0,-21250000.0,-11000000.0,-12600000.0,-24900000.0,-25900000.0,-21400000.0,-17800000.0,-23100000.0
,acquisitionsNet,0.0,-19300000.0,-14873000.0,0.0,-42945000.0,-6500000.0,0.0,0.0,-223731000.0,-3195000.0,-14500000.0,0.0,54000000.0,1000000.0,0.0,0.0,-211181000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,5763000.0,8685000.0,0.0,27415000.0,11741000.0,13520000.0,13160000.0,1449000.0,5974000.0,3520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-53243000.0,-48515000.0,-39090000.0,-22988000.0,-53905000.0,-35972000.0,-16500000.0,-14700000.0,-239800000.0,-19500000.0,-30100000.0,-16900000.0,36600000.0,-19700000.0,-19092000.0,-24600000.0,-196600000.0,-4900000.0,-6900000.0,-17900000.0,-99067000.0,-12200000.0,2900000.0,-20700000.0,-52400000.0,-22300000.0,-16100000.0,-14400000.0
