date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY
,revenue,460319000.0,478109000.0,380397000.0,412433000.0,468189000.0,490378000.0,484000000.0,414200000.0,386200000.0,382200000.0,353200000.0,399939000.0,426348000.0
,costOfRevenue,248698000.0,126674000.0,119619000.0,109541000.0,111182000.0,123697000.0,128100000.0,122600000.0,120900000.0,117500000.0,105300000.0,117590000.0,152085000.0
,grossProfit,211621000.0,351435000.0,260778000.0,302892000.0,357007000.0,366681000.0,355900000.0,291600000.0,265300000.0,264700000.0,247900000.0,282349000.0,274263000.0
,grossProfitRatio,0.459726841603323,0.735052048800587,0.685541684082682,0.734402921201747,0.762527526276781,0.747751734376338,0.735330578512397,0.704007725736359,0.686949766960124,0.692569335426478,0.701868629671574,0.705980161974701,0.643284359255819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,32631000.0,30749000.0,28696000.0,28210000.0,33349000.0,36275000.0,26200000.0,25100000.0,19200000.0,20300000.0,12500000.0,13947000.0,16149000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,1181000.0,8948000.0,15440000.0,16056000.0,14699000.0,12407000.0,11800000.0,8100000.0,8200000.0,8100000.0,18000000.0,0.0,0.0
,operatingExpenses,32631000.0,30749000.0,28696000.0,28210000.0,33349000.0,36275000.0,26177000.0,25097000.0,19216000.0,94172000.0,92017000.0,90762000.0,94760000.0
,costAndExpenses,281329000.0,304986000.0,263239000.0,275418000.0,302134000.0,272465000.0,269300000.0,245200000.0,231300000.0,211500000.0,197300000.0,208352000.0,246845000.0
,interestExpense,63252000.0,-74299000.0,-49865000.0,-64446000.0,-84870000.0,-73711000.0,-102100000.0,-64200000.0,-68500000.0,-79100000.0,-74500000.0,86817000.0,68420000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,108892000.0,113462000.0,96261000.0,96448000.0,100943000.0,101645000.0,105787000.0,90000000.0,80300000.0,78800000.0,70900000.0,79134000.0,78978000.0
,EBITDA,287882000.0,286585000.0,213419000.0,233463000.0,266998000.0,319558000.0,320487000.0,259000000.0,235200000.0,249500000.0,226800000.0,270721000.0,258481000.0
,EBITDARatio,0.625396735741953,0.599413522857758,0.561042805279747,0.566062851420716,0.570278242333758,0.651656477248164,0.662163223140496,0.625301786576533,0.6090108751942,0.65279958137101,0.642129105322763,0.676905728123539,0.60626764990102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,178990000.0,173123000.0,117158000.0,137015000.0,166055000.0,217913000.0,214700000.0,169000000.0,154900000.0,170700000.0,155900000.0,191587000.0,179503000.0
,operatingIncomeRatio,0.388839044228024,0.36209943757595,0.307988759112191,0.332211534964467,0.354675141876464,0.444377602584129,0.443595041322314,0.408015451472719,0.40108751941999,0.446624803767661,0.441392978482446,0.479040553684437,0.421024609004851
,totalOtherIncomeExpensesNet,-104561000.0,213000.0,-54000.0,307000.0,517000.0,-438000.0,2500000.0,-1800000.0,-5300000.0,-4000000.0,-100000.0,9487000.0,-16879000.0
,incomeBeforeTax,8877000.0,98999000.0,67239000.0,72876000.0,81702000.0,143764000.0,115100000.0,103100000.0,81100000.0,87600000.0,81200000.0,0.0,0.0
,incomeBeforeTaxRatio,0.0192844527382098,0.20706366121533,0.176760069085718,0.176697790913918,0.174506449318544,0.2931697588391,0.237809917355372,0.248913568324481,0.209994821336095,0.229199372056515,0.229898074745187,0.0,0.0
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,8877000.0,98999000.0,67239000.0,72876000.0,81702000.0,143764000.0,115100000.0,103100000.0,81100000.0,87600000.0,81200000.0,116929000.0,99779000.0
,netIncomeRatio,0.0192844527382098,0.20706366121533,0.176760069085718,0.176697790913918,0.174506449318544,0.2931697588391,0.237809917355372,0.248913568324481,0.209994821336095,0.229199372056515,0.229898074745187,0.292367085980612,0.234031823768377
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.076692834269783,0.8553,0.60908,0.72493,1.05772,1.91615,1.53877,1.37834,1.1997,1.45274,1.65377,2.49,2.12
,EPSDiluted,0.076692834269783,0.8553,0.60908,0.72493,1.05772,1.91615,1.53877,1.37834,1.1997,1.45274,1.65377,2.49,2.12
,weightedAverageShsOut,115747450.0,115747450.0,110395130.0,100527910.0,77243250.0,75027470.0,74800000.0,74800000.0,67600000.0,60300000.0,49100000.0,47000000.0,47000000.0
,weightedAverageShsOutDil,115747450.0,115747450.0,110395130.0,100527910.0,77243250.0,75027470.0,74800000.0,74800000.0,67600000.0,60300000.0,49100000.0,47000000.0,47000000.0
