date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2007-03-16_FY,2006-12-31_FY,2006-03-09_FY,2005-12-31_FY,2005-03-15_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,137938000.0,149129000.0,116998000.0,75272000.0,80349000.0,60042000.0,41900000.0,36789000.0,49792000.0,28044000.0,23903000.0,6562000.0,11292000.0,25633000.0,25102000.0,25102000.0,22726000.0,22726000.0,20252000.0,20252000.0,17719000.0,18867000.0,11414000.0,9586000.0,8200000.0,9021000.0,8515000.0,8006000.0
,depreciationAndAmortization,27289000.0,30797000.0,30791000.0,30144000.0,30757000.0,24046000.0,17751000.0,17240000.0,7544000.0,7546000.0,8366000.0,9036000.0,9244000.0,8620000.0,7311000.0,9151000.0,2950000.0,22970000.0,17362000.0,20573000.0,23123000.0,19623000.0,17901000.0,16128000.0,15700000.0,7856000.0,2635000.0,1341000.0
,deferredIncomeTax,-10910000.0,-414000.0,2760000.0,13263000.0,7162000.0,2121000.0,3630000.0,2761000.0,505000.0,0.0,0.0,0.0,-3311000.0,-1564000.0,-327000.0,-7895000.0,-327000.0,-327000.0,-781000.0,-781000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,7410000.0,6070000.0,4505000.0,4068000.0,3478000.0,3278000.0,3398000.0,1828000.0,2154000.0,1278000.0,926000.0,953000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,17609808000.0,-580006000.0,-928769000.0,-908201000.0,-271640000.0,-1140115000.0,-290433000.0,-793957000.0,-4151704000.0,-2562247000.0,-12983000.0,391081000.0,366432000.0,3215557000.0,-2900855000.0,2900855000.0,-2640369000.0,2640369000.0,-2504173000.0,555809000.0,218898000.0,135872000.0,178016000.0,272471000.0,1143100000.0,0.0,0.0,-344000.0
,accountsReceivables,-9971000.0,1301000.0,-3368000.0,-593000.0,-779000.0,-290000.0,229000.0,243000.0,-1323000.0,0.0,0.0,0.0,0.0,0.0,-2507000.0,0.0,-2507000.0,0.0,-716000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-2915000.0,421000.0,-2000.0,34000.0,-835000.0,-1424000.0,-1342000.0,-949000.0,-1001000.0,-701000.0,-1056000.0,-2564000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,9942816000.0,-7666992000.0,-7086986000.0,-6158217000.0,-5250016000.0,-4978376000.0,-3838261000.0,-3547828000.0,-2753871000.0,1397833000.0,3960080000.0,3973063000.0,3581982000.0,3215550000.0,-7000.0,2900848000.0,-7000.0,2640362000.0,-7000.0,2504166000.0,1948357000.0,1729459000.0,1593587000.0,1415571000.0,1143100000.0,0.0,0.0,0.0
,otherNonCashItems,-9519000.0,-23199000.0,54366000.0,10276000.0,20632000.0,11778000.0,-2033000.0,63454000.0,12301000.0,9421000.0,3120000.0,1960000.0,34191000.0,-6575000.0,0.0,16451000.0,0.0,-5866000.0,0.0,4142000.0,6523000.0,12475000.0,-5634000.0,-7292000.0,-8600000.0,1473000.0,2545000.0,1294000.0
,netCashProvidedByOperatingActivites,190368000.0,161174000.0,242750000.0,155930000.0,148151000.0,101486000.0,80401000.0,135588000.0,48698000.0,51405000.0,80438000.0,39881000.0,41348000.0,34104000.0,22208000.0,30052000.0,34948000.0,34948000.0,39923000.0,39923000.0,40125000.0,48854000.0,17297000.0,15991000.0,12900000.0,18353000.0,13790000.0,10297000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6719000.0,-9605000.0,-6596000.0,0.0,0.0,-20000000.0,0.0,0.0,0.0,-20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,27000000.0,212000000.0,71000000.0,8000000.0,42000000.0,0.0,50000000.0,62000000.0,0.0,0.0,7000000.0,0.0,2000000.0,2000000.0,-6000000.0,-6000000.0,0.0,2174000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-4169042000.0,-2583552000.0,-1201553000.0,-1817680000.0,-1337494000.0,-1216749000.0,-750054000.0,-869255000.0,-1077813000.0,-788543000.0,-738583000.0,-683388000.0,-531292000.0,-307801000.0,-139797000.0,-184476000.0,-139797000.0,-139797000.0,-265197000.0,-265197000.0,-334944000.0,-263566000.0,-267354000.0,-81918000.0,-92700000.0,-203016000.0,-55097000.0,-141895000.0
,salesMaturitiesOfInvestments,1678282000.0,2046112000.0,990206000.0,1727721000.0,1117926000.0,1296687000.0,943021000.0,777171000.0,871125000.0,789765000.0,654328000.0,436977000.0,300772000.0,244245000.0,130524000.0,106553000.0,130524000.0,156186000.0,92399000.0,208468000.0,270074000.0,198185000.0,174446000.0,94235000.0,118000000.0,83587000.0,37208000.0,36135000.0
,otherInvestingActivites,4227000.0,9678000.0,9334000.0,8844000.0,12679000.0,51338000.0,16174000.0,66669000.0,87867000.0,-3140000.0,-5676000.0,0.0,-162147000.0,-123697000.0,0.0,-108017000.0,0.0,-198306000.0,0.0,-187396000.0,-192563000.0,-85181000.0,-73600000.0,-124572000.0,-168400000.0,26790000.0,-44103000.0,28835000.0
,netCashUsedForInvestingActivites,-2301426000.0,-573970000.0,-124220000.0,27298000.0,6855000.0,-68988000.0,-193672000.0,-323957000.0,-349713000.0,-192893000.0,-159118000.0,-219787000.0,-402170000.0,-206446000.0,-175818000.0,-221519000.0,-201643000.0,-201643000.0,-263008000.0,-263008000.0,-276110000.0,-157960000.0,-171110000.0,-115902000.0,-150900000.0,-92631000.0,-61991000.0,-76968000.0
