date,,2021-01-31_FY,2020-01-31_FY,2019-01-31_FY,2018-01-31_FY,2017-01-31_FY,2016-01-31_FY,2015-01-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-180117000.0,-90832000.0,-55524000.0,-43805000.0,-37607000.0,-46156000.0,-27300000.0
,depreciationAndAmortization,72105000.0,28553000.0,10442000.0,7562000.0,4575000.0,2758000.0,1377000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,149423000.0,81376000.0,52945000.0,29694000.0,9452000.0,10568000.0,1807000.0
,changeInWorkingCapital,-38690000.0,386062000.0,-302777000.0,182239000.0,104438000.0,35323000.0,10753000.0
,accountsReceivables,-36757000.0,-11154000.0,-28493000.0,-10710000.0,-20041000.0,-8314000.0,-8659000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-851000.0,-3720000.0,3182000.0,-4005000.0,224000.0,-121000.0,368000.0
,otherWorkingCapital,61959000.0,418563000.0,32501000.0,335278000.0,153039000.0,48601000.0,13278000.0
,otherNonCashItems,74443000.0,44097000.0,17678000.0,4501000.0,4359000.0,2834000.0,1384000.0
,netCashProvidedByOperatingActivites,78202000.0,68156000.0,37436000.0,19770000.0,-20955000.0,-22069000.0,-11929000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-11492000.0,-11970000.0,-7528000.0,-4488000.0,-4491000.0,-3868000.0,-2370000.0
,acquisitionsNet,0.0,-308000000.0,-144000000.0,-46000000.0,-7000000.0,-1000000.0,0.0
,purchasesOfInvestments,-1017751000.0,-583151000.0,-302922000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,1231718000.0,265677000.0,124139000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,34000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-661122000.0,-637850000.0,-330196000.0,-50529000.0,-11241000.0,-5294000.0,-2370000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-555352000.0,0.0,-639000.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,22264000.0,137216000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-192786000.0,-118738000.0,0.0,-23322000.0,51000.0,-64000.0,0.0
,netCashUsedProvidedByFinancingActivities,641791000.0,696655000.0,21103000.0,241941000.0,141569000.0,77737000.0,40438000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,438000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,59309000.0,126961000.0,-271657000.0,211182000.0,109373000.0,50374000.0,26139000.0
,cashAtEndOfPeriod,327589000.0,268280000.0,141319000.0,412903000.0,201721000.0,92348000.0,41974000.0
,cashAtBeginningOfPeriod,268280000.0,141319000.0,412976000.0,201721000.0,92348000.0,41974000.0,15835000.0
,operatingCashFlow,78202000.0,68156000.0,37436000.0,19770000.0,-20955000.0,-22069000.0,-11929000.0
,capitalExpenditure,-11492000.0,-11970000.0,-7528000.0,-4488000.0,-4491000.0,-3868000.0,-2370000.0
,freeCashFlow,66710000.0,56186000.0,29908000.0,15282000.0,-25446000.0,-25937000.0,-14299000.0
