Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Revenue,0.0,481000000.0,0.0,424000000.0,0.0,311000000.0,0.0,282000000.0,0.0,239000000.0,100000.0,0.0
Revenue Growth,-1,0.0,-1,0.0,-1,0.0,-1,0.0,-1,2389,0.0,0.0
Cost of Revenue,228785000.0,,205333000.0,,135555000.0,,118622000.0,,98334000.0,,76147000.0,55640000.0
Gross Profit,-228785000.0,,-205333000.0,,-135555000.0,,-118622000.0,,-98334000.0,,-76047000.0,-55640000.0
R&D Expenses,44018000.0,,37983000.0,,35581000.0,,29830000.0,,30917000.0,,25483000.0,21182000.0
SG&A Expense,120584000.0,,130565000.0,,90075000.0,,72544000.0,,64753000.0,,54743000.0,44228000.0
Operating Expenses,165769000.0,182000000.0,168724000.0,184000000.0,126012000.0,131000000.0,102543000.0,108000000.0,95728000.0,102000000.0,80229000.0,65410000.0
Operating Income,85952000.0,299000000.0,49880000.0,240000000.0,49155000.0,180000000.0,60755000.0,174000000.0,44896000.0,137000000.0,29446000.0,15145000.0
Interest Expense,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Earnings before Tax,86611000.0,300000000.0,49272000.0,235000000.0,49481000.0,180000000.0,60927000.0,174000000.0,44941000.0,137000000.0,29549000.0,0.0
Income Tax Expense,39951000.0,40000000.0,20712000.0,21000000.0,17864000.0,18000000.0,23975000.0,24000000.0,14986000.0,15000000.0,10975000.0,7900000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,46660000.0,47000000.0,28560000.0,29000000.0,31617000.0,32000000.0,36952000.0,37000000.0,29955000.0,30000000.0,18574000.0,15145000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income Com,46660000.0,47000000.0,28560000.0,29000000.0,31617000.0,32000000.0,36952000.0,37000000.0,29955000.0,30000000.0,18574000.0,15145000.0
EPS,0.74,0.74,0.47,0.47,0.61,0.61,0.72,0.72,0.61,0.61,0.4,0.34
EPS Diluted,0.72,0.72,0.46,0.46,0.6,0.60,0.69,0.69,0.57,0.57,0.37,0.31
Weighted Average Shs Out,62952000.0,63000000.0,60962000.0,61000000.0,51732000.0,52000000.0,51601000.0,52000000.0,49512000.0,50000000.0,46741000.0,44783000.0
Weighted Average Shs Out (Dil),64605000.0,65000000.0,62103000.0,62000000.0,53039000.0,53000000.0,53309000.0,53000000.0,52335000.0,52000000.0,50211000.0,49407000.0
Dividend per Share,0.272223512112,,0.267008035039,,0.263108278814,,0.221819955355,,0.141817139582,,0.0,0.0
Gross Margin,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-760.47,0.0
EBITDA Margin,0.0,0.23076923076923,0.0,0.18396226415094,0.0,0.19292604501608,0.0,0.25177304964539,0.0,0.23012552301255,453.37,0.0
EBIT Margin,0.0,0.18087318087318,0.0,0.11792452830189,0.0,0.16077170418006,0.0,0.21631205673759,0.0,0.18828451882845,294.46,0.0
Profit Margin,0.0,0.097713097713098,0.0,0.068396226415094,0.0,0.10289389067524,0.0,0.13120567375887,0.0,0.1255230125523,185.74,0.0
Free Cash Flow margin,0.0,,0.0,,0.0,,0.0,,0.0,,261.83,0.0
EBITDA,115563000.0,111000000.0,80057000.0,78000000.0,67248000.0,60000000.0,78903000.0,71000000.0,62761000.0,55000000.0,45337000.0,27070000.0
EBIT,85952000.0,87000000,49880000.0,50000000,49155000.0,50000000,60755000.0,61000000,44896000.0,45000000,29446000.0,15145000.0
Consolidated Income,46660000.0,47000000.0,28560000.0,29000000.0,31617000.0,32000000.0,36952000.0,37000000.0,29955000.0,30000000.0,18574000.0,15145000.0
Earnings Before Tax Margin,0.0,0.62370062370062,0.0,0.55424528301887,0.0,0.57877813504823,0.0,0.61702127659574,0.0,0.57322175732218,295.49,0.0
Net Profit Margin,0.0,0.097713097713098,0.0,0.068396226415094,0.0,0.10289389067524,0.0,0.13120567375887,0.0,0.1255230125523,185.74,0.0
