date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,revenue,6167000000.0,6838000000.0,6426000000.0,4304000000.0,1100240000.0,270028000.0,268698000.0,268191000.0,264327000.0,283790000.0,399282000.0,416790000.0,15000000.0,0.0,0.0
,costOfRevenue,3133000000.0,3908000000.0,3827000000.0,2659000000.0,567544000.0,65704000.0,58601000.0,57486000.0,42551000.0,0.0,0.0,32516000.0,11470000.0,0.0,0.0
,grossProfit,3034000000.0,2930000000.0,2599000000.0,1645000000.0,532696000.0,204324000.0,210097000.0,210705000.0,221776000.0,283790000.0,399282000.0,384274000.0,3530000.0,0.0,0.0
,grossProfitRatio,0.491973406842873,0.428487861947938,0.404450669156552,0.382202602230483,0.484163455246128,0.756677085339298,0.781907569092438,0.785652762396948,0.839021363689672,1.0,1.0,0.921984692531011,0.235333333333333,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36473000.0,10562000.0,0.0,2342000.0,0.0,4527000.0
,GeneralAndAdministrativeExpenses,110000000.0,113000000.0,86000000.0,95000000.0,103245000.0,140963000.0,125648000.0,154130000.0,106479000.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,10000000.0,33000000.0,26000000.0,11000000.0,1549000.0,662000.0,217000.0,1097000.0,499000.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,904000000.0,883000000.0,612000000.0,489000000.0,282260000.0,201282000.0,210971000.0,243391000.0,158236000.0,139164000.0,118485000.0,56354000.0,20671000.0,12516000.0,10000000.0
,costAndExpenses,4037000000.0,4791000000.0,4439000000.0,3148000000.0,849804000.0,266986000.0,269572000.0,300877000.0,200787000.0,139164000.0,118485000.0,88870000.0,32141000.0,12516000.0,-13484000.0
,interestExpense,909000000.0,885000000.0,733000000.0,614000000.0,356900000.0,184600000.0,0.0,0.0,0.0,173590000.0,174016000.0,147214000.0,79887000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,551000000.0,527000000.0,424000000.0,339000000.0,155621000.0,65704000.0,0.0,0.0,0.0,42943000.0,42299000.0,32742000.0,7994000.0,35000.0,50000.0
,EBITDA,2681000000.0,2574000000.0,2411000000.0,1495000000.0,406057000.0,68746000.0,290074000.0,72928000.0,148620000.0,187569000.0,323096000.0,360662000.0,-9147000.0,-12481000.0,13534000.0
,EBITDARatio,0.434733257661748,0.376425855513308,0.375194522253346,0.347351301115242,0.369062204609903,0.254588413053461,1.07955399742462,0.271925605258939,0.562258112111135,0.660942950773459,0.809192500538467,0.865332661532186,-0.6098,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
