Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Revenue,54401000.0,54000000.0,63222000.0,63000000.0,62564000.0,63000000.0,69804000.0,70000000.0,111115000.0,111000000.0,53640000.0,140761000.0
Revenue Growth,0.00742592592592593,-0.145866945050773,0.00352380952380952,0.00696886388338342,-0.00692063492063492,-0.0974729241877256,-0.0028,-0.370022049228277,0.00103603603603604,1.06935123042506,-0.618928538444598,0.0
Cost of Revenue,38481000.0,45000000.0,33902000.0,41000000.0,32758000.0,38000000.0,30341000.0,43000000.0,50143000.0,69000000.0,53640000.0,65766000.0
Gross Profit,15920000.0,10000000.0,29320000.0,23000000.0,29806000.0,24000000.0,39463000.0,27000000.0,60972000.0,42000000.0,0.0,74995000.0
R&D Expenses,7953000.0,8000000.0,7276000.0,7000000.0,9987000.0,10000000.0,11921000.0,12000000.0,13317000.0,13000000.0,13733000.0,14368000.0
SG&A Expense,21727000.0,22000000.0,21946000.0,22000000.0,24996000.0,25000000.0,33832000.0,34000000.0,39655000.0,40000000.0,41183000.0,40711000.0
Operating Expenses,35982000.0,30000000.0,36669000.0,30000000.0,44717000.0,39000000.0,58912000.0,46000000.0,72172000.0,54000000.0,129400000.0,55318000.0
Operating Income,-20062000.0,-20000000.0,-7349000.0,-7000000.0,-14911000.0,-15000000.0,-19449000.0,-19000000.0,-11200000.0,-11000000.0,-4378000.0,-2479000.0
Interest Expense,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Earnings before Tax,-20361000.0,-20000000.0,-7547000.0,-8000000.0,-15186000.0,-15000000.0,-19306000.0,-19000000.0,-11743000.0,-12000000.0,0.0,-2718000.0
Income Tax Expense,194000.0,0000000.0,223000.0,0000000.0,307000.0,0000000.0,-7101000.0,-7000000.0,569000.0,1000000.0,525000.0,290000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,-20555000.0,-21000000.0,-7770000.0,-8000000.0,-15493000.0,-15000000.0,6974000.0,7000000.0,-12312000.0,-12000000.0,-4378000.0,-3008000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income Com,-20555000.0,-21000000.0,-7770000.0,-8000000.0,-15493000.0,-15000000.0,6974000.0,7000000.0,-12312000.0,-12000000.0,-4378000.0,-3008000.0
EPS,-0.31,-0.31,-0.12,-0.12,-0.25,-0.25,0.11,0.11,-0.19,-0.19,0.0,-0.05
EPS Diluted,-0.31,-0.31,-0.12,-0.12,-0.25,-0.25,0.11,0.11,-0.19,-0.19,0.0,-0.05
Weighted Average Shs Out,66060470.0,66000000.0,64344937.0,64000000.0,62940299.0,63000000.0,62613671.0,63000000.0,63411162.0,63000000.0,0.0,58429005.0
Weighted Average Shs Out (Dil),66060470.0,66000000.0,64344937.0,64000000.0,62940299.0,63000000.0,62613671.0,63000000.0,63411162.0,63000000.0,0.0,58429005.0
Dividend per Share,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Gross Margin,0.292641679381,0.18518518518519,0.46376261428,0.36507936507937,0.476408158046,0.38095238095238,0.565340095123,0.38571428571429,0.548728794492,0.37837837837838,0.0,0.532782517885
EBITDA Margin,-0.339534199739,-0.33333333333333,-0.0771883205213,-0.079365079365079,-0.191260149607,-0.19047619047619,-0.230917998969,-0.22857142857143,-0.0758133465329,-0.072072072072072,0.0,0.000134980569902
EBIT Margin,-0.368779985662,-0.38888888888889,-0.116241181867,-0.12698412698413,-0.238331948085,-0.23809523809524,-0.278623001547,0,-0.100796472123,-0.099099099099099,0.0,-0.017611412252
Profit Margin,-0.377842319075,-0.38888888888889,-0.12290025624,-0.12698412698413,-0.247634422352,-0.23809523809524,0.0999083147098,0.1,-0.110804121856,-0.10810810810811,0.0,-0.0213695554877
Free Cash Flow margin,-0.227183323836,,-0.0959001613362,,-0.230627837095,,-0.2314194029,,-0.0427485038024,,-0.0186800894855,-0.0519604151718
EBITDA,-18471000.0,-18000000.0,-4880000.0,-5000000.0,-11966000.0,-12000000.0,-16119000.0,-16000000.0,-8424000.0,-8000000.0,-2099000.0,19000.0
EBIT,-20062000.0,-21000000,-7349000.0,-8000000,-14911000.0,-15000000,-19449000.0,0,-11200000.0,-11000000,-4378000.0,-2479000.0
Consolidated Income,-20555000.0,-21000000.0,-7770000.0,-8000000.0,-15493000.0,-15000000.0,6974000.0,7000000.0,-12312000.0,-12000000.0,-4378000.0,-3008000.0
Earnings Before Tax Margin,-0.374276208158,-0.37037037037037,-0.119373003069,-0.12698412698413,-0.242727447094,-0.23809523809524,-0.276574408343,-0.27142857142857,-0.105683301084,-0.10810810810811,0.0,-0.0193093257365
Net Profit Margin,-0.377842319075,-0.38888888888889,-0.12290025624,-0.12698412698413,-0.247634422352,-0.23809523809524,0.0999083147098,0.1,-0.110804121856,-0.10810810810811,0.0,-0.0213695554877
