date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-30_FY,2001-09-30_FY,2000-09-30_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY,1988-09-30_FY
,revenue,101310000.0,84590000.0,63559000.0,45390000.0,34701000.0,25367496.0,19150345.0,14803185.0,9092683.0,10265975.0,5118901.0,3618615.0,5229448.0,5569940.0,6021106.0,6593845.0,5240312.0,11594063.0,13083183.0,9274188.0,9347940.0,9700000.0,6500000.0,4800000.0,8200000.0,6600000.0,10200000.0,13100000.0,18500000.0,27000000.0,23100000.0,18100000.0,10500000.0
,costOfRevenue,13192000.0,12266000.0,8686000.0,4041000.0,3395000.0,2471198.0,2147925.0,1603599.0,1263920.0,1171734.0,950145.0,669357.0,993549.0,633708.0,1247546.0,1129694.0,1979890.0,6235694.0,3751287.0,2536685.0,2963547.0,1800000.0,1900000.0,1500000.0,2400000.0,2900000.0,5900000.0,8500000.0,11900000.0,16200000.0,14000000.0,12400000.0,7400000.0
,grossProfit,88118000.0,72324000.0,54873000.0,41349000.0,31306000.0,22896298.0,17002420.0,13199586.0,7828763.0,9094241.0,4168756.0,2949258.0,4235899.0,4936232.0,4773560.0,5464151.0,3260422.0,5358369.0,9331896.0,6737503.0,6384393.0,7900000.0,4600000.0,3300000.0,5800000.0,3700000.0,4300000.0,4600000.0,6600000.0,10800000.0,9100000.0,5700000.0,3100000.0
,grossProfitRatio,0.869785805942158,0.854994680222248,0.863339574253843,0.910971579643093,0.902164202760727,0.902584078460089,0.887838835279469,0.891672028688421,0.860995923865376,0.885862375468477,0.814384962709769,0.815023980169208,0.810008819286472,0.886227140687332,0.792804511330643,0.828674468386806,0.622180893046063,0.462164902847259,0.713274132143531,0.726479018971796,0.682973254000347,0.814432989690722,0.707692307692308,0.6875,0.707317073170732,0.560606060606061,0.42156862745098,0.351145038167939,0.356756756756757,0.4,0.393939393939394,0.314917127071823,0.295238095238095
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,22859000.0,19018000.0,15673000.0,10430000.0,7794000.0,5576806.0,6019573.0,6793412.0,6664030.0,2996109.0,2002399.0,1901327.0,1801633.0,1901215.0,1348721.0,1507510.0,2204101.0,2241804.0,2048676.0,1829749.0,2253124.0,1400000.0,1300000.0,4900000.0,1200000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,22284000.0,19861000.0,17067000.0,11310000.0,8575000.0,7601857.0,9554381.0,7853264.0,5595843.0,3431023.0,1620357.0,1510506.0,3188566.0,3422455.0,3743448.0,4163108.0,5798540.0,5616435.0,6895755.0,5205886.0,5159254.0,4200000.0,3300000.0,0.0,2700000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,27646000.0,27405000.0,21700000.0,14484000.0,10937000.0,6457854.0,6836292.0,5852448.0,3450054.0,2410711.0,929685.0,857088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,541000.0,602000.0,-935000.0,402000.0,134000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,72789000.0,66284000.0,54440000.0,36224000.0,27306000.0,19636517.0,22410246.0,20499124.0,15709927.0,8837843.0,4552441.0,4268921.0,4990199.0,5323670.0,5092169.0,5670618.0,6732286.0,7858239.0,8944431.0,7035635.0,7843570.0,5900000.0,5100000.0,5600000.0,4300000.0,3900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,85981000.0,78550000.0,63126000.0,40265000.0,30701000.0,22107715.0,24558171.0,22102723.0,16973847.0,10009577.0,5502586.0,4938278.0,5983748.0,5957378.0,6339715.0,6800312.0,8712176.0,14093933.0,12695718.0,9572320.0,10807117.0,7700000.0,7000000.0,7100000.0,6700000.0,6800000.0,11400000.0,13800000.0,18100000.0,25000000.0,21800000.0,17100000.0,10800000.0
,interestExpense,0.0,0.0,0.0,0.0,0.0,3299.0,6445.0,6862.0,239984.0,427547.0,298124.0,5572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,7943000.0,8412000.0,4638000.0,913000.0,1388000.0,605725.0,470697.0,323383.0,231981.0,179291.0,172598.0,83631.0,36084.0,39343.0,469900.0,619258.0,537418.0,441931.0,634352.0,570167.0,431192.0,300000.0,500000.0,700000.0,400000.0,400000.0,800000.0,1100000.0,600000.0,900000.0,600000.0,300000.0,200000.0
,EBITDA,23272000.0,14452000.0,5071000.0,6038000.0,5388000.0,3865506.0,-4937129.0,-6976155.0,-7649183.0,435689.0,-211087.0,-1236032.0,-718216.0,-348095.0,151291.0,412791.0,-2934446.0,-2057939.0,1021817.0,272035.0,-1027985.0,2300000.0,0.0,-1600000.0,1900000.0,200000.0,-400000.0,400000.0,1000000.0,2900000.0,1900000.0,1300000.0,-100000.0
,EBITDARatio,0.229710788668443,0.17084761792174,0.0797841375729637,0.133024895351399,0.155269300596525,0.152380274347929,-0.257808880205552,-0.471260407810887,-0.841245977672377,0.0424400994547522,-0.0412367810981302,-0.34157598970877,-0.137340690642684,-0.0624952872023756,0.0251267790336194,0.0626024724572689,-0.559975436577059,-0.1774993805019,0.0781015598421271,0.0293324871136966,-0.109969148282937,0.237113402061856,0.0,-0.333333333333333,0.231707317073171,0.0303030303030303,-0.0392156862745098,0.0305343511450382,0.0540540540540541,0.107407407407407,0.0822510822510823,0.0718232044198895,-0.00952380952380952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,15329000.0,6040000.0,433000.0,5125000.0,4000000.0,3259781.0,-5407826.0,-7299538.0,-7881164.0,256398.0,-383685.0,-1319663.0,-754300.0,-387438.0,-318609.0,-206467.0,-3471864.0,-2499870.0,387465.0,-298132.0,-1459177.0,2000000.0,-500000.0,-2300000.0,1500000.0,-200000.0,-1200000.0,-700000.0,400000.0,2000000.0,1300000.0,1000000.0,-300000.0
