date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY
,revenue,20390000000.0,21335700000.0,21412800000.0,21534600000.0,21609000000.0,20862000000.0,19108800000.0,17517600000.0,15668800000.0,13832300000.0,12461000000.0,10757800000.0,14131900000.0,17691500000.0,18988600000.0,19253400000.0,19424700000.0,19381100000.0,19478500000.0,19989300000.0,20609600000.0,20111800000.0,16118200000.0,10305600000.0,2365500000.0,260300000.0,48800000.0,102700000.0,110000000.0,51600000.0,31800000.0,600000.0,600000.0
,costOfRevenue,16823600000.0,17812700000.0,18015500000.0,18175600000.0,18295800000.0,17600500000.0,16120100000.0,14757700000.0,13182400000.0,11528300000.0,10333500000.0,8829000000.0,11752400000.0,14847100000.0,15944200000.0,16189700000.0,16412000000.0,16418300000.0,16492000000.0,17115400000.0,17577100000.0,17276600000.0,12480900000.0,7641500000.0,692400000.0,148600000.0,26100000.0,65700000.0,72100000.0,28500000.0,18100000.0,800000.0,800000.0
,grossProfit,3566400000.0,3523000000.0,3397300000.0,3359000000.0,3313200000.0,3261500000.0,2988700000.0,2759900000.0,2486400000.0,2304000000.0,2127500000.0,1928800000.0,2379500000.0,2844400000.0,3044400000.0,3063700000.0,3012700000.0,2962800000.0,2986500000.0,2873900000.0,3032500000.0,2835200000.0,3637300000.0,2664100000.0,1673100000.0,111700000.0,22700000.0,37000000.0,37900000.0,23100000.0,13700000.0,-200000.0,-200000.0
,grossProfitRatio,0.174909269249632,0.165122306744096,0.158657438541433,0.155981536689792,0.153325003470776,0.156336880452497,0.156404379134221,0.157550121021144,0.158684774839171,0.166566659196229,0.170732685980258,0.17929316402982,0.168377925119765,0.160777774637538,0.160327775612736,0.159125141533443,0.15509634640432,0.152870580101233,0.153322894473394,0.143771917976117,0.147140167688844,0.140971966706113,0.225664156047201,0.258509936345288,0.707292327203551,0.42912024587015,0.465163934426229,0.360272638753651,0.344545454545455,0.447674418604651,0.430817610062893,-0.333333333333333,-0.333333333333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,2260300000.0,2370800000.0,2312000000.0,2243400000.0,2152700000.0,2075000000.0,1914700000.0,1768600000.0,1613800000.0,1649400000.0,1552100000.0,1464400000.0,1813800000.0,2046200000.0,2165000000.0,2175500000.0,2158700000.0,2157700000.0,2200900000.0,2207200000.0,2177700000.0,2311200000.0,2050500000.0,1281800000.0,1096800000.0,54100000.0,8500000.0,22300000.0,22700000.0,10000000.0,8200000.0,200000.0,0.0
,SellingAndMarketingExpenses,161700000.0,187800000.0,197800000.0,192800000.0,196700000.0,188500000.0,164900000.0,166400000.0,135700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,144100000.0,33600000.0,200000.0,9300000.0,3700000.0,-1300000.0,2900000.0,5600000.0,3600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,2627400000.0,2689800000.0,2611300000.0,2515600000.0,2423700000.0,2373000000.0,2167900000.0,2019600000.0,1836900000.0,1732000000.0,1630900000.0,1517100000.0,1917800000.0,2139600000.0,2247800000.0,2256700000.0,2245800000.0,2248700000.0,2258700000.0,2429400000.0,2311500000.0,2434200000.0,3102100000.0,2285400000.0,1637300000.0,75100000.0,13200000.0,29000000.0,27900000.0,12700000.0,9800000.0,200000.0,100000.0
,costAndExpenses,19451000000.0,20502500000.0,20626800000.0,20691200000.0,20719500000.0,19973500000.0,18288000000.0,16777300000.0,15019300000.0,13260300000.0,11964400000.0,10346100000.0,13670200000.0,16986700000.0,18192000000.0,18446400000.0,18657800000.0,18667000000.0,18750700000.0,19544800000.0,19888600000.0,19710800000.0,15583000000.0,9926900000.0,2329700000.0,223700000.0,39300000.0,94700000.0,100000000.0,41200000.0,27900000.0,1000000.0,900000.0
,interestExpense,157500000.0,245100000.0,249800000.0,217200000.0,192000000.0,149200000.0,140000000.0,141700000.0,132400000.0,108700000.0,98600000.0,78700000.0,176800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,198900000.0,180500000.0,166200000.0,158600000.0,143400000.0,127400000.0,106900000.0,95300000.0,87300000.0,83700000.0,76800000.0,77500000.0,90800000.0,91700000.0,82900000.0,80700000.0,83100000.0,71000000.0,69700000.0,151900000.0,133800000.0,123000000.0,1051600000.0,1003600000.0,540500000.0,21000000.0,4700000.0,6700000.0,5200000.0,2700000.0,1600000.0,0.0,100000.0
,EBITDA,1137900000.0,1013700000.0,952200000.0,1002000000.0,1032900000.0,1015900000.0,927700000.0,835600000.0,736800000.0,655700000.0,573400000.0,489200000.0,552500000.0,796500000.0,879500000.0,887700000.0,850000000.0,785100000.0,797500000.0,596400000.0,854800000.0,524000000.0,1586800000.0,1382300000.0,576300000.0,57600000.0,14200000.0,14700000.0,15200000.0,13100000.0,5500000.0,-500000.0,-200000.0
,EBITDARatio,0.055806768023541,0.047511916646747,0.0444687289845326,0.0465297706946031,0.0477995279744551,0.0486961940370051,0.0485483128192246,0.0477005982554688,0.0470233840498315,0.0474035409873991,0.0460155685739507,0.0454739816691145,0.0390959460511325,0.0450216205522426,0.0463172640426361,0.0461061422917511,0.0437587195683846,0.0405085366671654,0.0409425777138897,0.0298359622397983,0.041475817094946,0.0260543561491264,0.0984477174870643,0.134130957925788,0.243627140139505,0.22128313484441,0.290983606557377,0.143135345666991,0.138181818181818,0.253875968992248,0.172955974842767,-0.833333333333333,-0.333333333333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,939000000.0,833200000.0,786000000.0,843400000.0,889500000.0,888500000.0,820800000.0,740300000.0,649500000.0,572000000.0,496600000.0,411700000.0,461700000.0,704800000.0,796600000.0,807000000.0,766900000.0,714100000.0,727800000.0,444500000.0,721000000.0,401000000.0,535200000.0,378700000.0,35800000.0,36600000.0,9500000.0,8000000.0,10000000.0,10400000.0,3900000.0,-400000.0,-300000.0
