date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-13473000.0,31667000.0,40518000.0,123385000.0,26762000.0,-14746000.0,-3561000.0,-61555000.0,-42001000.0,-137258000.0
,depreciationAndAmortization,24689000.0,13379000.0,13929000.0,19231000.0,18263000.0,19651000.0,18251000.0,25155000.0,27402000.0,32762000.0
,deferredIncomeTax,-724000.0,7204000.0,6126000.0,-92566000.0,365000.0,868000.0,159000.0,-651000.0,438000.0,81741000.0
,stockBasedCompensation,14075000.0,12492000.0,8718000.0,5928000.0,2524000.0,2002000.0,1031000.0,578000.0,1240000.0,-969000.0
,changeInWorkingCapital,-3079000.0,-35860000.0,41560000.0,34120000.0,12597000.0,21676000.0,9093000.0,-16858000.0,46467000.0,-13988000.0
,accountsReceivables,-7462000.0,156000.0,-3985000.0,-3407000.0,-1059000.0,-14000.0,-3563000.0,2627000.0,-1442000.0,9466000.0
,inventory,-8459000.0,1994000.0,-8690000.0,-9620000.0,-3626000.0,-2609000.0,1500000.0,-4741000.0,-6903000.0,-22293000.0
,accountsPayables,-4224000.0,3233000.0,-2886000.0,604000.0,5700000.0,-1680000.0,-4047000.0,-1147000.0,-2231000.0,-905000.0
,otherWorkingCapital,103721000.0,106800000.0,142660000.0,101100000.0,66980000.0,54383000.0,32707000.0,23614000.0,40472000.0,-5995000.0
,otherNonCashItems,-356000.0,1400000.0,2678000.0,2410000.0,4628000.0,4325000.0,3266000.0,3228000.0,4672000.0,7660000.0
,netCashProvidedByOperatingActivites,16396000.0,80384000.0,61193000.0,54777000.0,49642000.0,21762000.0,11590000.0,-15572000.0,-372000.0,23209000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-10000000.0,0.0,1000000.0,1234000.0,10679000.0,0.0,228000.0,0.0,-225000.0,0.0
,netCashUsedForInvestingActivites,-4912000.0,-22061000.0,-19132000.0,-16309000.0,3281000.0,-13151000.0,-7682000.0,-3483000.0,-8145000.0,-7694000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-15491000.0,-275376000.0,-2862000.0,-286694000.0,-78729000.0,-419652000.0,-5571000.0,-1310000.0,-1530000.0,-10000000.0
,commonStockIssued,683000.0,573000.0,428000.0,187000.0,50900000.0,73539000.0,13000.0,400000.0,551000.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106000.0,-174000.0,-44095000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123000.0,-3519000.0,-101124000.0
,otherFinancingActivites,-7130000.0,-4712000.0,-3386000.0,-4503000.0,-2619000.0,-13326000.0,-2239000.0,-1249000.0,-442000.0,-9241000.0
,netCashUsedProvidedByFinancingActivities,-21861000.0,-78881000.0,-4668000.0,-13450000.0,-30217000.0,999000.0,-2297000.0,5612000.0,-5114000.0,-2210000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,152000.0,76000.0,-282000.0,94000.0,-124000.0,-753000.0,-450000.0,-1300000.0,649000.0,-134000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-10225000.0,-20482000.0,37111000.0,25112000.0,22582000.0,8857000.0,1161000.0,-14743000.0,-12982000.0,13171000.0
,cashAtEndOfPeriod,82694000.0,92919000.0,113401000.0,76290000.0,51178000.0,28596000.0,19739000.0,18578000.0,33321000.0,46303000.0
,cashAtBeginningOfPeriod,92919000.0,113401000.0,76290000.0,51178000.0,28596000.0,19739000.0,18578000.0,33321000.0,46303000.0,33132000.0
,operatingCashFlow,16396000.0,80384000.0,61193000.0,54777000.0,49642000.0,21762000.0,11590000.0,-15572000.0,-372000.0,23209000.0
,capitalExpenditure,-12474000.0,-22061000.0,-20132000.0,-17543000.0,-7398000.0,-13151000.0,-8137000.0,-5010000.0,-7920000.0,-7694000.0
,freeCashFlow,3922000.0,58323000.0,41061000.0,37234000.0,42244000.0,8611000.0,3453000.0,-20582000.0,-8292000.0,15515000.0
