Date,2018-12-31,2017-12-31
Depreciation & Amortization,38552000.0,117173000.0
Stock-based compensation,0.0,
Operating Cash Flow,47509000.0,21594000.0
Capital Expenditure,-170503000.0,-2096486000.0
Acquisitions and disposals,0.0,
Investment purchases and sales,0.0,
Investing Cash flow,-170503000.0,-2051759000.0
Issuance (repayment) of debt,98330000.0,
Issuance (buybacks) of shares,29055000.0,
Dividend payments,0.0,
Financing Cash Flow,127385000.0,2149544000.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,4391000.0,119379000.0
Free Cash Flow,-122994000.0,
Net Cash/Marketcap,,
