date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-24047000.0,21354000.0,39653000.0,19570000.0,10210000.0,5534000.0,19927000.0,2816000.0
,depreciationAndAmortization,10527000.0,7787000.0,5086000.0,3231000.0,3444000.0,3278000.0,2472000.0,1975000.0
,deferredIncomeTax,-9052000.0,-5821000.0,-642000.0,5197000.0,-2253000.0,5961000.0,-11654000.0,-90000.0
,stockBasedCompensation,1061000.0,1678000.0,1186000.0,711000.0,13687000.0,0.0,2000.0,23000.0
,changeInWorkingCapital,15498000.0,-462000.0,1513000.0,11056000.0,8149000.0,-26525000.0,-7100000.0,4237000.0
,accountsReceivables,6291000.0,-1835000.0,-211000.0,-551000.0,-286000.0,2126000.0,1014000.0,-1928000.0
,inventory,4752000.0,-449000.0,-2754000.0,1193000.0,-2086000.0,-632000.0,275000.0,3336000.0
,accountsPayables,-6874000.0,-2995000.0,2847000.0,-2104000.0,-1697000.0,1788000.0,3595000.0,-169000.0
,otherWorkingCapital,1316000.0,-14182000.0,-13720000.0,-15233000.0,-26289000.0,-34438000.0,-7913000.0,-813000.0
,otherNonCashItems,-92000.0,553000.0,496000.0,361000.0,109000.0,1203000.0,5697000.0,8929000.0
,netCashProvidedByOperatingActivites,30198000.0,55886000.0,49397000.0,26232000.0,30747000.0,25254000.0,21914000.0,15992000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-14241000.0,-14064000.0,-5305000.0,-4135000.0,-3817000.0,-3467000.0,-3421000.0,-2994000.0
,acquisitionsNet,0.0,-82000000.0,-81000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,7000.0,96000.0,0.0,0.0,-10000.0,1040000.0,602000.0
,netCashUsedForInvestingActivites,-14218000.0,-95786000.0,-85720000.0,-4135000.0,-3817000.0,-3477000.0,-2381000.0,-2392000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-40357000.0,-41306000.0,-39320000.0,-17991000.0,-85521000.0,-82764000.0,-39956000.0,-7000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,91071000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,-4502000.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,-79945000.0,-44000000.0,0.0,0.0
,otherFinancingActivites,-130000.0,-877000.0,-1318000.0,-141000.0,-8425000.0,-1573000.0,-609000.0,0.0
,netCashUsedProvidedByFinancingActivities,-5487000.0,37817000.0,40194000.0,-18132000.0,-28024000.0,-33149000.0,-15565000.0,-7000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,10493000.0,-2083000.0,3871000.0,3965000.0,-1094000.0,-11372000.0,3968000.0,6600000.0
,cashAtEndOfPeriod,16319000.0,5826000.0,7909000.0,4038000.0,73000.0,1167000.0,12539000.0,8571000.0
,cashAtBeginningOfPeriod,5826000.0,7909000.0,4038000.0,73000.0,1167000.0,12539000.0,8571000.0,1971000.0
,operatingCashFlow,30198000.0,55886000.0,49397000.0,26232000.0,30747000.0,25254000.0,21914000.0,15992000.0
,capitalExpenditure,-14241000.0,-14064000.0,-5305000.0,-4135000.0,-3817000.0,-3467000.0,-3421000.0,-2994000.0
,freeCashFlow,15957000.0,41822000.0,44092000.0,22097000.0,26930000.0,21787000.0,18493000.0,12998000.0
