date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,revenue,393246000.0,282297000.0,297127000.0,351575000.0,316128000.0,272450000.0,211278000.0
,costOfRevenue,192647000.0,119765000.0,79161000.0,93511000.0,97817000.0,79614000.0,65005000.0
,grossProfit,200599000.0,162532000.0,217966000.0,258064000.0,218311000.0,192836000.0,146273000.0
,grossProfitRatio,0.510110719498736,0.57574823678608,0.733578570779498,0.734022612529332,0.690577867193036,0.707784914663241,0.692324804286296
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,84370000.0,83331000.0,70974000.0,60677000.0,49210000.0,37155000.0,25481000.0
,GeneralAndAdministrativeExpenses,92016000.0,88320000.0,26840000.0,21563000.0,18215000.0,16453000.0,10346000.0
,SellingAndMarketingExpenses,0.0,0.0,41186000.0,39602000.0,36114000.0,36157000.0,21409000.0
,otherExpenses,980000.0,522000.0,1387000.0,737000.0,943000.0,871000.0,-659000.0
,operatingExpenses,176386000.0,171651000.0,139000000.0,121842000.0,103539000.0,89765000.0,57236000.0
,costAndExpenses,369033000.0,291416000.0,218161000.0,215353000.0,201356000.0,169379000.0,122241000.0
,interestExpense,16895000.0,20522000.0,19763000.0,17466000.0,902000.0,214000.0,23000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,17970000.0,14722000.0,9454000.0,7738000.0,6008000.0,5149000.0,3604000.0
,EBITDA,42183000.0,5603000.0,88420000.0,143960000.0,120780000.0,108220000.0,92641000.0
,EBITDARatio,0.107268732549091,0.0198478906966776,0.297583188333608,0.409471663229752,0.382060431217735,0.397210497338961,0.438479160158654
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,24213000.0,-9119000.0,78966000.0,136222000.0,114772000.0,103071000.0,89037000.0
,operatingIncomeRatio,0.0615721456798035,-0.0323028583371414,0.265765144197599,0.387462134679656,0.363055471201539,0.378311616810424,0.421421066083549
,totalOtherIncomeExpensesNet,1432000.0,820000.0,476000.0,1623000.0,615000.0,-2149000.0,-3832000.0
,incomeBeforeTax,9749000.0,-24415000.0,65938000.0,122818000.0,115693000.0,101663000.0,86095000.0
,incomeBeforeTaxRatio,0.0247910976844011,-0.0864869268890566,0.221918573539261,0.349336556922421,0.365968848061545,0.373143696091026,0.407496284516135
,incomeTaxExpense,-15052000.0,23791000.0,-7068000.0,34318000.0,27025000.0,33742000.0,26387000.0
,netIncome,24801000.0,-48206000.0,73006000.0,88500000.0,88668000.0,67921000.0,59708000.0
,netIncomeRatio,0.0630673929296166,-0.170763415835096,0.245706381446318,0.251724383133044,0.28048132402065,0.249297118737383,0.282603962551709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.3,-0.57,0.87,0.34,1.12,0.341109,0.753451
,EPSDiluted,0.29,-0.57,0.79,0.26,1.0,0.339388,0.671382
,weightedAverageShsOut,83465000.0,83853000.0,83539000.0,35359000.0,79246000.0,80039000.0,79246000.0
,weightedAverageShsOutDil,85278000.0,83853000.0,91877000.0,44972000.0,88933000.0,89579000.0,88933000.0
