date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-07-01_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY,1990-06-30_FY,1989-06-30_FY,1988-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,40345000.0,38793000.0,37284000.0,41823000.0,31184000.0,26191000.0,23675000.0,-4929000.0,1624000.0,10600000.0,-1313000.0,8738000.0,-69123000.0,-11742000.0,17600000.0,13995000.0,4004000.0,9468000.0,5154000.0,6259000.0,2660000.0,4890000.0,1300000.0,-2200000.0,100000.0,-3400000.0,3300000.0,15900000.0,16200000.0,13500000.0,11100000.0,8400000.0,13100000.0,10100000.0
,depreciationAndAmortization,12961000.0,11572000.0,11362000.0,11308000.0,11253000.0,12382000.0,12325000.0,12009000.0,11568000.0,5050000.0,8843000.0,8631000.0,11946000.0,15172000.0,14470000.0,12655000.0,16008000.0,15197000.0,14354000.0,14308000.0,13627000.0,13515000.0,13600000.0,13900000.0,14000000.0,13900000.0,8700000.0,7200000.0,6200000.0,7200000.0,6500000.0,6700000.0,6100000.0,5400000.0
,deferredIncomeTax,593000.0,252000.0,1665000.0,-3420000.0,681000.0,1349000.0,1570000.0,-152000.0,0.0,-8340000.0,0.0,0.0,-7217000.0,-4569000.0,230000.0,-1461000.0,579000.0,683000.0,5740000.0,1980000.0,6000.0,1995000.0,0.0,-200000.0,200000.0,600000.0,-600000.0,-500000.0,-700000.0,-700000.0,-300000.0,-100000.0,0.0,0.0
,stockBasedCompensation,3002000.0,3304000.0,3099000.0,2574000.0,2402000.0,1414000.0,1393000.0,932000.0,969000.0,510000.0,1164000.0,491000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-4140000.0,27751000.0,23998000.0,19256000.0,20387000.0,2022000.0,13761000.0,-10584000.0,29433000.0,-3494000.0,-2761000.0,-6100000.0,-15622000.0,-736000.0,3131000.0,3841000.0,817000.0,1284000.0,-9856000.0,893000.0,2401000.0,1989000.0,3300000.0,3200000.0,-500000.0,10100000.0,-5400000.0,-3000000.0,2400000.0,900000.0,-4100000.0,3000000.0,0.0,0.0
,accountsReceivables,0.0,-2134000.0,-4450000.0,-8262000.0,4585000.0,2002000.0,-4851000.0,7511000.0,-7521000.0,4368000.0,0.0,0.0,15684000.0,0.0,-2101000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-3886000.0,-28162000.0,-15620000.0,-14291000.0,-20106000.0,-24260000.0,476000.0,1542000.0,-5450000.0,-4082000.0,-301000.0,2766000.0,42456000.0,-16478000.0,-12216000.0,531000.0,1546000.0,-6020000.0,-6427000.0,-2364000.0,1031000.0,5204000.0,-4000000.0,-5400000.0,4900000.0,-5200000.0,-1500000.0,-2400000.0,-2300000.0,900000.0,-2600000.0,700000.0,0.0,0.0
,accountsPayables,1817000.0,2107000.0,-2542000.0,6191000.0,-2120000.0,2611000.0,-3799000.0,-233000.0,-6461000.0,412000.0,7122000.0,6390000.0,-3063000.0,0.0,3767000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,3347000.0,144911000.0,117160000.0,93162000.0,73906000.0,53519000.0,51497000.0,37736000.0,48320000.0,18887000.0,22381000.0,25142000.0,31242000.0,46864000.0,47600000.0,44469000.0,40628000.0,39811000.0,38527000.0,48383000.0,47490000.0,45089000.0,43100000.0,39800000.0,36600000.0,37100000.0,27000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,494000.0,-116000.0,0.0,61000.0,-230000.0,1867000.0,-8290000.0,932000.0,969000.0,-10650000.0,1164000.0,491000.0,10282000.0,9646000.0,-100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,0.0,-800000.0,-1100000.0,-300000.0,100000.0,-100000.0,0.0,0.0
,netCashProvidedByOperatingActivites,53255000.0,19722000.0,33481000.0,33471000.0,19721000.0,18662000.0,15812000.0,17300000.0,-5026000.0,-9600000.0,3139000.0,32667000.0,3158000.0,-5350000.0,14740000.0,27226000.0,21818000.0,10970000.0,8177000.0,15599000.0,37325000.0,22376000.0,12700000.0,5500000.0,16400000.0,7000000.0,10700000.0,18800000.0,23200000.0,20600000.0,13300000.0,17900000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-19701000.0,-16730000.0,-31046000.0,-21055000.0,-17922000.0,-30526000.0,-6953000.0,-6208000.0,-9229000.0,-1502000.0,-12775000.0,-2062000.0,-2069000.0,-7432000.0,-23188000.0,-18517000.0,-22966000.0,-31781000.0,-15911000.0,-12972000.0,-13384000.0,-8127000.0,-6100000.0,-4800000.0,-3500000.0,-5500000.0,-38900000.0,-45700000.0,-12200000.0,-15000000.0,-6300000.0,-8700000.0,0.0,0.0
,acquisitionsNet,-3000000.0,0.0,0.0,23000000.0,-1000000.0,0.0,0.0,3000000.0,0.0,-11000000.0,-11000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-1201000.0,0.0,0.0,0.0,0.0,0.0,0.0,-500000.0,0.0,0.0,0.0,0.0,-375000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2500000.0,-1000000.0,-2000000.0,0.0,0.0,0.0
