date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-201000000.0,216000000.0,298000000.0,327000000.0,168000000.0,174000000.0,167000000.0,128000000.0
,depreciationAndAmortization,45000000.0,51000000.0,36000000.0,29000000.0,24000000.0,22000000.0,18000000.0,16000000.0
,deferredIncomeTax,-123000000.0,3000000.0,20000000.0,-129000000.0,23000000.0,20000000.0,37000000.0,33000000.0
,stockBasedCompensation,15000000.0,22000000.0,16000000.0,15000000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,83000000.0,84000000.0,28000000.0,75000000.0,-111000000.0,-131000000.0,-42000000.0,-5000000.0
,accountsReceivables,163000000.0,-131000000.0,-159000000.0,-91000000.0,-128000000.0,-94000000.0,-78000000.0,-73000000.0
,inventory,-91000000.0,-4000000.0,16000000.0,47000000.0,7000000.0,-38000000.0,51000000.0,17000000.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,67000000.0,1814000000.0,1730000000.0,1702000000.0,1627000000.0,-17000000.0,-9000000.0,29000000.0
,otherNonCashItems,-19000000.0,-154000000.0,-292000000.0,6000000.0,5000000.0,7000000.0,-4000000.0,17000000.0
,netCashProvidedByOperatingActivites,79000000.0,145000000.0,-159000000.0,356000000.0,158000000.0,131000000.0,213000000.0,196000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,-40000000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0
,netCashUsedForInvestingActivites,-33000000.0,-65000000.0,-62000000.0,-87000000.0,-34000000.0,-18000000.0,-11000000.0,-17000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-640000000.0,-666000000.0,-893000000.0,-469000000.0,-110000000.0,-212000000.0,-503000000.0,-945000000.0
,commonStockIssued,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-10000000.0,-283000000.0,-183000000.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,-2000000.0,0.0,0.0
,otherFinancingActivites,-15000000.0,-12000000.0,-13000000.0,-5000000.0,-581000000.0,103000000.0,-49000000.0,-183000000.0
,netCashUsedProvidedByFinancingActivities,328000000.0,-108000000.0,104000000.0,-123000000.0,-80000000.0,-111000000.0,-202000000.0,-178000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,374000000.0,-28000000.0,-117000000.0,146000000.0,44000000.0,2000000.0,0.0,1000000.0
,cashAtEndOfPeriod,526000000.0,152000000.0,180000000.0,297000000.0,48000000.0,4000000.0,2000000.0,2000000.0
,cashAtBeginningOfPeriod,152000000.0,180000000.0,297000000.0,151000000.0,4000000.0,2000000.0,2000000.0,1000000.0
,operatingCashFlow,79000000.0,145000000.0,-159000000.0,356000000.0,158000000.0,131000000.0,213000000.0,196000000.0
,capitalExpenditure,-31000000.0,-63000000.0,-63000000.0,-47000000.0,-34000000.0,-18000000.0,-17000000.0,-17000000.0
,freeCashFlow,48000000.0,82000000.0,-222000000.0,309000000.0,124000000.0,113000000.0,196000000.0,179000000.0
