date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-111269380.0,-71453718.0,-55672139.0,-32421612.0,-19998675.0,-8850739.0,-2540485.0,-602350.0
,depreciationAndAmortization,1694312.0,1229784.0,493938.0,255652.0,87664.0,43943.0,10405.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,12458229.0,11981655.0,7609508.0,5694489.0,3163534.0,1153302.0,193120.0,6141.0
,changeInWorkingCapital,56909818.0,-22884005.0,-31149073.0,48795715.0,-580417.0,3289796.0,6138307.0,165327.0
,accountsReceivables,960033.0,5000000.0,12500000.0,1000000.0,-1000000.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-3468917.0,4366439.0,3904021.0,-885797.0,1890876.0,972194.0,170239.0,131849.0
,otherWorkingCapital,60176795.0,3266977.0,26150982.0,57300055.0,8504340.0,9084757.0,5794961.0,-343346.0
,otherNonCashItems,291392.0,0.0,422337.0,913563.0,75987.0,0.0,-122611.0,41543.0
,netCashProvidedByOperatingActivites,-99685703.0,-45720728.0,-30067255.0,-27796628.0,-13571227.0,-4647477.0,-2361236.0,-366715.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-484491.0,-2742541.0,-2300416.0,-707429.0,-353032.0,-114037.0,-64448.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-484491.0,-2742541.0,-2300416.0,-707429.0,-353032.0,-114037.0,-64448.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-951876.0,-605535.0,-434440.0,-357993.0,-242187.0,-190120.0,-247006.0,0.0
,commonStockIssued,142200752.0,40677060.0,12052645.0,78891699.0,16699133.0,11328929.0,10305161.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-6039423.0,-2571552.0,-690181.0,-2940685.0,-63830.0,-509215.0,-1865046.0,0.0
,netCashUsedProvidedByFinancingActivities,154874849.0,38463487.0,11419653.0,76008286.0,16741866.0,10837344.0,8385109.0,127252.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,54704655.0,-9999782.0,-20948018.0,47504229.0,2817607.0,6075830.0,5959425.0,-239463.0
,cashAtEndOfPeriod,86453341.0,31748686.0,41748468.0,62696486.0,15192257.0,12338275.0,6262445.0,303020.0
,cashAtBeginningOfPeriod,31748686.0,41748468.0,62696486.0,15192257.0,12374650.0,6262445.0,303020.0,542483.0
,operatingCashFlow,-99685703.0,-45720728.0,-30067255.0,-27796628.0,-13571227.0,-4647477.0,-2361236.0,-366715.0
,capitalExpenditure,-484491.0,-2742541.0,-2300416.0,-707429.0,-353032.0,-114037.0,-64448.0,0.0
,freeCashFlow,-100170194.0,-48463269.0,-32367671.0,-28504057.0,-13924259.0,-4761514.0,-2425684.0,-366715.0
