date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,196212000.0,145463000.0,-4927000.0,-105337000.0
,depreciationAndAmortization,552530000.0,533719000.0,560541000.0,309578000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0
,stockBasedCompensation,17090000.0,18158000.0,29499000.0,81203000.0
,changeInWorkingCapital,-46054000.0,-2296487000.0,64607000.0,-32210000.0
,accountsReceivables,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0
,otherWorkingCapital,-19014000.0,-1886925000.0,409562000.0,344955000.0
,otherNonCashItems,46307000.0,50654000.0,53915000.0,32864000.0
,netCashProvidedByOperatingActivites,696712000.0,662130000.0,561241000.0,259789000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-305539000.0,212071000.0,192575000.0,-65144000.0
,acquisitionsNet,-622000000.0,-586000000.0,-252000000.0,-228000000.0
,purchasesOfInvestments,0.0,0.0,-211737000.0,-95174000.0
,salesMaturitiesOfInvestments,72106000.0,49960000.0,224035000.0,79292000.0
,otherInvestingActivites,-3094000.0,4439000.0,3835000.0,111898000.0
,netCashUsedForInvestingActivites,-425156000.0,102226000.0,62993000.0,53282000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-3254727000.0,-1482421000.0,-4899594000.0,-5372593000.0
,commonStockIssued,686723000.0,55263000.0,0.0,1692058000.0
,commonStockRepurchased,0.0,0.0,0.0,-1153000.0
,dividendsPaid,-332151000.0,-276681000.0,-230072000.0,-68997000.0
,otherFinancingActivites,-65878000.0,-22727000.0,-70622000.0,-77074000.0
,netCashUsedProvidedByFinancingActivities,-146033000.0,-838102000.0,-680805000.0,-331312000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,125523000.0,-73746000.0,-56571000.0,-18241000.0
,cashAtEndOfPeriod,411768000.0,286245000.0,359991000.0,179878000.0
,cashAtBeginningOfPeriod,286245000.0,359991000.0,416562000.0,198119000.0
,operatingCashFlow,696712000.0,662130000.0,561241000.0,259789000.0
,capitalExpenditure,-172284000.0,212071000.0,192575000.0,-65144000.0
,freeCashFlow,524428000.0,497886000.0,415526000.0,197247000.0
