Date,2017-01,2016-01,2015-01,2014-01,2013-01
Cash and cash equivalents,0000000.0,000000.0,1000000.0,1000000.0,2000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,1000000.0,2000000.0,3000000.0,8000000.0,5000000.0
Inventories,101000000.0,114000000.0,115000000.0,125000000.0,123000000.0
Total current assets,40000000.0,52000000.0,61000000.0,74000000.0,88000000.0
Property, Plant & Equipment Net,,,,,
Goodwill and Intangible Assets,3000000,3000000,3000000,4000000,5000000
Long-term investments,,,,,
Tax assets,,,,,
Total non-current assets,42000000.0,72000000.0,52000000.0,23000000.0,33000000.0
Total assets,145000000.0,168000000.0,181000000.0,211000000.0,220000000.0
Payables,11000000.0,11000000.0,9000000.0,10000000.0,11000000.0
Short-term debt,56000000.0,14000000.0,17000000.0,39000000.0,23000000.0
Total current liabilities,79000000.0,36000000.0,37000000.0,62000000.0,47000000.0
Long-term debt,32000000.0,61000000.0,40000000.0,8000000.0,14000000.0
Total debt,32000000.0,61000000.0,40000000.0,8000000.0,14000000.0
Deferred revenue,000000.0,000000.0,000000.0,2000000.0,2000000.0
Tax Liabilities,,,,,
Deposit Liabilities,,,,,
Total non-current liabilities,42000000.0,72000000.0,52000000.0,23000000.0,33000000.0
Total liabilities,121000000.0,108000000.0,89000000.0,86000000.0,80000000.0
Other comprehensive income,000000.0,000000.0,000000.0,0000000.0,0000000.0
Retained earnings (deficit),-33000000.0,4000000.0,40000000.0,78000000.0,94000000.0
Total shareholders equity,24000000.0,60000000.0,92000000.0,125000000.0,140000000.0
Investments,,,,,
Net Debt,88000000,75000000,56000000,46000000,35000000
Other Assets,1000000,1000000,0,0,0
Other Liabilities,13000000,12000000,21000000,18000000,20000000
