Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,17253000.0,17000000.0,12808000.0,13000000.0,9839000.0,10000000.0,9517000.0,10000000.0,25716000.0,26000000.0,34777000.0,43566000.0
Short-term investments,11335000.0,,6325000.0,,6649000.0,,8472000.0,,8179000.0,,9386000.0,6177000.0
Cash and short-term investments,17253000.0,,12808000.0,,9839000.0,,9517000.0,,25716000.0,,34777000.0,43566000.0
Receivables,76633000.0,77000000.0,68667000.0,69000000.0,68562000.0,69000000.0,83069000.0,83000000.0,87952000.0,88000000.0,84456000.0,91784000.0
Inventories,74725000.0,75000000.0,70822000.0,71000000.0,71698000.0,72000000.0,83550000.0,84000000.0,83930000.0,84000000.0,77391000.0,83317000.0
Total current assets,195262000.0,373000000.0,174406000.0,368000000.0,173617000.0,377000000.0,200322000.0,394000000.0,221472000.0,403000000.0,220849000.0,239895000.0
Property Plant & Equipment Net,282378000.0,282000000.0,284101000.0,284000000.0,297083000.0,297000000.0,303617000.0,304000000.0,309664000.0,310000000.0,308806000.0,335256000.0
Goodwill and Intangible Assets,70748000.0,71000000,64113000.0,64000000,60146000.0,61000000,73634000.0,74000000,83445000.0,83000000,79805000.0,81760000.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax assets,10103000.0,10000000.0,10737000.0,11000000.0,9325000.0,9000000.0,10662000.0,11000000.0,8125000.0,000000.0,6213000.0,0.0
Total non-current assets,372587000.0,581000000.0,367507000.0,572000000.0,376757000.0,555000000.0,393722000.0,566000000.0,402592000.0,521000000.0,397994000.0,425826000.0
Total assets,567849000.0,568000000.0,541913000.0,542000000.0,550374000.0,550000000.0,594044000.0,594000000.0,624064000.0,624000000.0,618843000.0,665721000.0
Payables,39856000.0,40000000.0,36158000.0,36000000.0,40696000.0,41000000.0,41827000.0,42000000.0,42220000.0,42000000.0,36884000.0,39743000.0
Short-term debt,10614000.0,19000000.0,8600000.0,16000000.0,5410000.0,12000000.0,4406000.0,5000000.0,2166000.0,10000000.0,2397000.0,3548000.0
Total current liabilities,123023000.0,123000000.0,116618000.0,117000000.0,108738000.0,109000000.0,102586000.0,103000000.0,114021000.0,114000000.0,106949000.0,91096000.0
Long-term debt,473904000.0,474000000.0,472923000.0,473000000.0,462470000.0,462000000.0,460840000.0,461000000.0,432706000.0,433000000.0,434684000.0,465506000.0
Total debt,484518000.0,474000000.0,481523000.0,473000000.0,467880000.0,462000000.0,465246000.0,461000000.0,434872000.0,433000000.0,437081000.0,469054000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax Liabilities,10012000.0,13000000.0,9285000.0,7000000.0,7527000.0,9000000.0,7502000.0,10000000.0,7492000.0,16000000.0,3274000.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,496135000.0,581000000.0,487938000.0,572000000.0,482363000.0,555000000.0,481152000.0,566000000.0,454626000.0,521000000.0,457006000.0,495742000.0
Total liabilities,704315000.0,704000000.0,688818000.0,689000000.0,663444000.0,663000000.0,668154000.0,668000000.0,635513000.0,636000000.0,647904000.0,668026000.0
Other comprehensive income,432489000,-111000000.0,430823000,-135000000.0,430054000,-122000000.0,428880000,-86000000.0,428274000,-17000000.0,426656000,425030000
Retained earnings (deficit),-457712000.0,-458000000.0,-443066000.0,-443000000.0,-421448000.0,-421000000.0,-417068000.0,-417000000.0,-409686000.0,-410000000.0,-413839000.0,-395804000.0
Total shareholders equity,-136466000.0,-136000000.0,-146905000.0,-147000000.0,-113070000.0,-113000000.0,-74110000.0,-74000000.0,-11449000.0,-11000000.0,-29061000.0,-2305000.0
Investments,11335000.0,,6325000.0,,6649000.0,,8472000.0,,8179000.0,,9386000.0,6177000.0
Net Debt,467265000.0,476000000,468715000.0,476000000,458041000.0,464000000,455729000.0,456000000,409156000.0,417000000,402304000.0,425488000.0
Other Assets,0.0,24000000,0.0,25000000,0.0,27000000,0.0,22000000,0.0,25000000,0.0,0.0
Other Liabilities,85157000.0,9000000,84262000.0,8000000,72343000.0,11000000,84416000.0,10000000,66866000.0,6000000,83949000.0,81188000.0
