Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12
Revenue,30836000.0,31000000.0,31677000.0,32000000.0,23231000.0,23000000.0,0.0,000000.0,0.0,000000.0
Revenue Growth,-0.00529032258064516,-0.0213719733560628,-0.01009375,0.37746976023417,0.0100434782608696,0.0,0.0,0.0,0.0,
Cost of Revenue,0.0,,0.0,,0.0,,0.0,,0.0,
Gross Profit,0.0,,0.0,,0.0,,0.0,,0.0,
R&D Expenses,0.0,,1914000.0,,0.0,,0.0,,0.0,
SG&A Expense,15300000.0,,12263000.0,,17064000.0,,120000.0,,93226.0,
Operating Expenses,40287000.0,40000000.0,43992000.0,44000000.0,44971000.0,45000000.0,120000.0,1000000.0,93226.0,1000000.0
Operating Income,-1199000.0,-9000000.0,-3789000.0,-12000000.0,-23707000.0,-22000000.0,-1219796.0,-1000000.0,-617585.0,-1000000.0
Interest Expense,0.0,,0.0,,0.0,,0.0,,0.0,
Earnings before Tax,-1199000.0,-1000000.0,-3789000.0,-4000000.0,-23707000.0,-24000000.0,0.0,-1000000.0,0.0,-1000000.0
Income Tax Expense,22000.0,0000000.0,-5000.0,-0000000.0,155000.0,0000000.0,0.0,000000.0,0.0,000000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income,-4449000.0,-4000000.0,-5160000.0,-5000000.0,-13805000.0,-14000000.0,-1161953.0,-1000000.0,-518565.0,-1000000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,
Net Income Com,-4449000.0,-4000000.0,-5160000.0,-5000000.0,-13805000.0,-14000000.0,-1161953.0,-1000000.0,-518565.0,-1000000.0
EPS,-0.31,-0.31,-0.37,-0.37,-1.26,-1.26,-0.05,-0.05,-0.03,-0.03
EPS Diluted,-0.31,-0.31,-0.37,-0.37,-1.37,-1.37,-0.05,-0.05,-0.03,-0.03
Weighted Average Shs Out,14369295.0,14000000.0,13891245.0,14000000.0,10982726.0,11000000.0,23592150.0,24000000.0,19066447.0,19000000.0
Weighted Average Shs Out (Dil),21369295.0,21000000.0,20891245.0,21000000.0,17982726.0,18000000.0,23592150.0,24000000.0,19066447.0,19000000.0
Dividend per Share,0.0,,0.0,,0.0,,0.0,,0.0,
Gross Margin,0.0,0,0.0,0,0.0,0,0.0,,0.0,
EBITDA Margin,-0.0314243092489,-0.25806451612903,-0.124727720428,-0.375,-0.989066333778,-0.91304347826087,0.0,,0.0,
EBIT Margin,-0.0388831236217,-0.12903225806452,-0.119613599773,-0.15625,-1.02048986268,-0.60869565217391,0.0,,0.0,
Profit Margin,-0.144279413672,-0.12903225806452,-0.162894213467,-0.15625,-0.594249063751,-0.60869565217391,0.0,,0.0,
Free Cash Flow margin,-2.45476066935,,-0.573444454967,,-1.69058585511,,0.0,,0.0,
EBITDA,-969000.0,-8000000.0,-3951000.0,-12000000.0,-22977000.0,-21000000.0,-1219796.0,-1000000.0,-617585.0,-1000000.0
EBIT,-1199000.0,-4000000,-3789000.0,-5000000,-23707000.0,-14000000,-1219796.0,-1000000,-617585.0,-1000000
Consolidated Income,-4449000.0,-4000000.0,-5160000.0,-5000000.0,-13805000.0,-14000000.0,-1161953.0,-1000000.0,-518565.0,-1000000.0
Earnings Before Tax Margin,-0.0388831236217,-0.032258064516129,-0.119613599773,-0.125,-1.02048986268,-1.0434782608696,0.0,,0.0,
Net Profit Margin,-0.144279413672,-0.12903225806452,-0.162894213467,-0.15625,-0.594249063751,-0.60869565217391,0.0,,0.0,
