date,,2020-06-27_FY,2019-06-29_FY,2018-06-30_FY,2017-07-01_FY,2016-07-02_FY,2015-06-27_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-114100000.0,166800000.0,198700000.0,96300000.0,68300000.0,56500000.0,15504000.0,8400000.0,21019000.0,50856000.0,42786000.0,247138000.0,52558000.0,74191000.0,66476000.0,40483000.0,26881000.0,19251000.0,16168000.0,13247000.0,10989000.0
,depreciationAndAmortization,276300000.0,155000000.0,130100000.0,126100000.0,118600000.0,121300000.0,132700000.0,120000000.0,102302000.0,29688000.0,28869000.0,26380000.0,58699000.0,51229000.0,44862000.0,31981000.0,17877000.0,14137000.0,10837000.0,7843000.0,5484000.0
,deferredIncomeTax,10500000.0,11600000.0,1400000.0,6300000.0,-400000.0,-6100000.0,-1425000.0,-6000000.0,-3423000.0,12720000.0,-4566000.0,2919000.0,0.0,24443000.0,6291000.0,13239000.0,-1520000.0,226000.0,1380000.0,1241000.0,53000.0
,stockBasedCompensation,17900000.0,15700000.0,21600000.0,17300000.0,17200000.0,0.0,702000.0,1100000.0,1099000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-136100000.0,237800000.0,31900000.0,79400000.0,-1100000.0,66407000.0,33628000.0,335257000.0,47263000.0,-2449000.0,58370000.0,-28127000.0,31869000.0,11327000.0,-26715000.0,25591000.0,15101000.0,2994000.0,9817000.0,42967000.0,-8211000.0
,accountsReceivables,189000000.0,-50200000.0,-33900000.0,-35700000.0,-1200000.0,-129800000.0,-134435000.0,-18300000.0,-28294000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,101700000.0,-98400000.0,-21800000.0,-63800000.0,-29600000.0,-33600000.0,-107318000.0,-21400000.0,-48053000.0,-20785000.0,-5828000.0,-16054000.0,-57308000.0,-13602000.0,-25710000.0,-21543000.0,-11112000.0,-15519000.0,-9178000.0,-6904000.0,-10161000.0
,accountsPayables,234300000.0,80600000.0,57100000.0,-23200000.0,17800000.0,-69100000.0,102358000.0,133200000.0,-1169000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,835200000.0,971300000.0,733500000.0,701600000.0,622200000.0,623300000.0,556893000.0,523265000.0,188008000.0,140745000.0,143194000.0,84824000.0,112951000.0,81082000.0,69755000.0,96470000.0,70879000.0,55778000.0,52784000.0,42967000.0,0.0
,otherNonCashItems,242000000.0,31500000.0,13100000.0,25000000.0,50600000.0,19000000.0,10464000.0,8800000.0,7658000.0,6860000.0,6947000.0,-200630000.0,6228000.0,-15015000.0,22158000.0,84864000.0,4442000.0,4410000.0,-1440000.0,829000.0,1606000.0
,netCashProvidedByOperatingActivites,623600000.0,317400000.0,367000000.0,201700000.0,228500000.0,127400000.0,119750000.0,140700000.0,97614000.0,56889000.0,65673000.0,76170000.0,115974000.0,127037000.0,118033000.0,165221000.0,14586000.0,47003000.0,21904000.0,24239000.0,9921000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-158000000.0,-139100000.0,-140100000.0,-140200000.0,-119700000.0,-98600000.0,-90625000.0,-66500000.0,-68926000.0,-74931000.0,-53688000.0,-77576000.0,-83471000.0,-112819000.0,-57656000.0,-30136000.0,-30992000.0,-26006000.0,-26176000.0,-8284000.0,-9074000.0
,acquisitionsNet,-1989000000.0,-211600000.0,-71000000.0,-192900000.0,-39000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-5000000.0,-9300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953000.0,0.0,0.0,0.0,4500000.0,0.0,0.0,0.0,1563000.0,0.0,0.0,0.0
,otherInvestingActivites,6000000.0,10600000.0,1800000.0,1100000.0,1100000.0,0.0,-4515000.0,1000000.0,0.0,0.0,0.0,-150000.0,0.0,0.0,0.0,-447000.0,315000.0,0.0,0.0,4200000.0,-416000.0
,netCashUsedForInvestingActivites,-2146000000.0,-349400000.0,-209400000.0,-332000000.0,-157600000.0,-100700000.0,-93423000.0,-150000000.0,-388198000.0,-57918000.0,-53226000.0,-81353000.0,-85274000.0,-121741000.0,-272187000.0,-422862000.0,-153488000.0,-41814000.0,-46620000.0,-59190000.0,-9294000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-24000000.0,-7000000.0,-134600000.0,-3000000.0,-3000000.0,0.0,-30858000.0,-531700000.0,-512000.0,-2654000.0,-576000.0,-697000.0,-202528000.0,-2551000.0,-2503000.0,-2172000.0,-812000.0,-9176000.0,-8056000.0,-673000.0,-32344000.0
,commonStockIssued,828100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165000.0,0.0,0.0,0.0,0.0,0.0,0.0,143391000.0,124397000.0,0.0,0.0,0.0,33329000.0
,commonStockRepurchased,827900000.0,-2700000.0,-28200000.0,4000000.0,227700000.0,0.0,0.0,0.0,-45000.0,0.0,-39617000.0,-361718000.0,0.0,0.0,0.0,0.0,-11907000.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-220000000.0,-100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
