date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,revenue,2649963000.0,3283514000.0,4482702000.0,3060642000.0,1998429000.0,2225602000.0,3223400000.0,3024000000.0,2673000000.0,2608000000.0,1966600000.0,1198200000.0,2314200000.0,2266500000.0,2108300000.0,1658100000.0,1719500000.0,1394500000.0,1008800000.0,1149000000.0,1061300000.0,694900000.0,720900000.0,1299400000.0,945700000.0,1249200000.0
,costOfRevenue,2034022000.0,2503677000.0,3141663000.0,2011802000.0,1492160000.0,1646426000.0,2134500000.0,1930300000.0,1902800000.0,1903100000.0,1699800000.0,1056300000.0,1946900000.0,1614200000.0,1308200000.0,1206400000.0,1285100000.0,1002900000.0,739200000.0,910600000.0,756200000.0,689200000.0,703900000.0,930900000.0,734100000.0,848300000.0
,grossProfit,615941000.0,779837000.0,1341039000.0,1048840000.0,506269000.0,579176000.0,1088900000.0,1093800000.0,770100000.0,705000000.0,266700000.0,141800000.0,367300000.0,652300000.0,800100000.0,451700000.0,434400000.0,391600000.0,269600000.0,238400000.0,305000000.0,5800000.0,17000000.0,368500000.0,211600000.0,400900000.0
,grossProfitRatio,0.232433811340007,0.237500738538042,0.299158632449804,0.342686273010695,0.253333493459112,0.260233411005202,0.33781100701123,0.361706349206349,0.288103254769921,0.270322085889571,0.135614766602258,0.118344182941078,0.158715754904503,0.287800573571586,0.37950007114737,0.272420240033774,0.252631578947368,0.280817497310864,0.267248215701824,0.207484769364665,0.287383397719778,0.00834652467981004,0.0235816340685255,0.283592427274127,0.22374960346833,0.320925392251041
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,246779000.0,184171000.0,182519000.0,243707000.0,204762000.0,113627000.0,124100000.0,274500000.0,184800000.0,130500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,112089000.0,83593000.0,96440000.0,77507000.0,97846000.0,167200000.0,173500000.0,99600000.0,73700000.0,2779000.0,1056342000.0,1946871000.0,1614179000.0,1308175000.0,1206425000.0,1285097000.0,1002853000.0,739156000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,678230000.0,640387000.0,511415000.0,572372000.0,510323000.0,406322000.0,434071000.0,571254000.0,456116000.0,156667000.0,109158000.0,117590000.0,140499000.0,112428000.0,106828000.0,132351000.0,78701000.0,-44245000.0,-4098000.0,124645000.0,109971000.0,111500000.0,106800000.0,117100000.0,114100000.0,97600000.0
,costAndExpenses,2712252000.0,3094064000.0,3653078000.0,2584174000.0,1969983000.0,1987748000.0,2526600000.0,2560200000.0,2720400000.0,2264000000.0,1809000000.0,1173900000.0,2087400000.0,1726600000.0,1415000000.0,1338800000.0,1363800000.0,1277100000.0,965800000.0,1035400000.0,866200000.0,870400000.0,810700000.0,1047900000.0,868500000.0,977900000.0
,interestExpense,164837000.0,-68610000.0,-18149000.0,-5583000.0,-65950000.0,-24504000.0,-35200000.0,-21200000.0,-70800000.0,-60100000.0,24238000.0,27370000.0,38439000.0,43911000.0,44586000.0,41489000.0,30641000.0,38815000.0,28972000.0,-12800000.0,-16100000.0,-10700000.0,3900000.0,-2300000.0,23000000.0,22300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
