date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,12980000.0,17529000.0,-67965000.0,-53297000.0,-2861165.0,-45269000.0
,depreciationAndAmortization,8005000.0,1913000.0,1838000.0,1973000.0,0.0,0.0
,deferredIncomeTax,-514000.0,-337000.0,-235000.0,-124000.0,0.0,-379000.0
,stockBasedCompensation,7461000.0,5532000.0,4394000.0,2963000.0,0.0,2272000.0
,changeInWorkingCapital,20310000.0,43186000.0,-8982000.0,-116142529.0,-1434903.0,43367000.0
,accountsReceivables,-8547000.0,-31221000.0,-18036000.0,-8348000.0,0.0,-8501000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,931000.0,-10513000.0,2875000.0,1200000.0,0.0,2257000.0
,otherWorkingCapital,-62108000.0,-82418000.0,-125604000.0,-116622000.0,-479471.0,955432.0
,otherNonCashItems,47000.0,323000.0,80163000.0,44915000.0,-485356.0,131000.0
,netCashProvidedByOperatingActivites,42103000.0,20386000.0,22382000.0,29163000.0,-3501579.0,1573000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-1483000.0,-1872000.0,-1053000.0,-1392000.0,0.0,-1747000.0
,netCashUsedForInvestingActivites,-1483000.0,-1872000.0,-1053000.0,-1392000.0,0.0,-1747000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-256000.0,-2988000.0,-156804000.0,-47377000.0,0.0,-862000.0
,commonStockIssued,25657000.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-4500000.0,0.0,-2845000.0,0.0,0.0,0.0
,dividendsPaid,-15781000.0,-14742000.0,-2845000.0,0.0,0.0,0.0
,otherFinancingActivites,1255000.0,11993000.0,127720000.0,30887000.0,2535681.0,20000.0
,netCashUsedProvidedByFinancingActivities,6375000.0,-5737000.0,-34774000.0,-16490000.0,2535681.0,-842000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,2526000.0,405000.0,-1376000.0,509000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,49521000.0,13182000.0,-14821000.0,11790000.0,-965898.0,0.0
,cashAtEndOfPeriod,87909000.0,38388000.0,25206000.0,40027000.0,1551.0,12559000.0
,cashAtBeginningOfPeriod,38388000.0,25206000.0,40027000.0,28237000.0,967449.0,0.0
,operatingCashFlow,42103000.0,20386000.0,22382000.0,29163000.0,-3501579.0,1573000.0
,capitalExpenditure,-1483000.0,-1872000.0,-1053000.0,-1392000.0,0.0,-1747000.0
,freeCashFlow,40620000.0,18514000.0,21329000.0,27771000.0,-3501579.0,-174000.0
