Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,34902000.0,45615000.0,29888000.0,22354000.0,36586000.0,9811000.0,19912000.0,23249000.0,19037000.0
Short-term investments,4745000.0,0.0,0.0,0.0,,,,,
Cash and short-term investments,39647000.0,45615000.0,29888000.0,22354000.0,,,,,
Receivables,88596000.0,153926000.0,133914000.0,132617000.0,71664000.0,59297000.0,30054000.0,19837000.0,24616000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,235279000.0,200789000.0,165030000.0,156007000.0,,,,,
Property, Plant & Equipment Net,31363000.0,24439000.0,11770000.0,2589000.0,2819000.0,2500000.0,1137000.0,440000.0,1274000.0
Goodwill and Intangible Assets,11064000.0,6871000.0,7261000.0,7651000.0,740000.0,740000.0,0.0,0.0,0.0
Long-term investments,160963000.0,39549000.0,43316000.0,31745000.0,16693000.0,,,,
Tax assets,16985000.0,18498000.0,17166000.0,17317000.0,9319000.0,6605000.0,6775000.0,6399000.0,
Total non-current assets,,,,,,,,,
Total assets,459764000.0,482503000.0,423577000.0,411292000.0,283911000.0,219278000.0,163067000.0,172173000.0,225438000.0
Payables,234145000.0,8411000.0,8369000.0,10781000.0,2456000.0,2613000.0,3803000.0,5701000.0,9614000.0
Short-term debt,0.0,0.0,0.0,0.0,,,,,
Total current liabilities,368185000.0,348102000.0,260544000.0,245994000.0,,,,,
Long-term debt,24255000.0,30231000.0,25826000.0,23831000.0,0.0,,,,
Total debt,24031000.0,19187000.0,17219000.0,0.0,0.0,0.0,0.0,0.0,
Deferred revenue,0.0,0.0,108202000.0,58950000.0,44232000.0,25457000.0,15691000.0,17061000.0,
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total non-current liabilities,,,,,,,,,
Total liabilities,410939000.0,391858000.0,296235000.0,281670000.0,174512000.0,155580000.0,103203000.0,115919000.0,165269000.0
Other comprehensive income,39000.0,-220000.0,-1032000.0,80000.0,-1429000.0,1753000.0,1425000.0,3056000.0,
Retained earnings (deficit),-147377000.0,-110535000.0,-71718000.0,-74364000.0,-88794000.0,-106496000.0,-112676000.0,-115841000.0,-113371000.0
Total shareholders equity,48825000.0,90645000.0,127342000.0,129622000.0,109399000.0,63698000.0,59864000.0,56254000.0,60169000.0
Investments,0.0,197868000.0,194891000.0,210950000.0,143408000.0,130077000.0,100912000.0,104632000.0,154011000.0
Net Debt,-15392000.0,,,,,,,,
Other Assets,107036000.0,,,,,,,,
Other Liabilities,134040000.0,339691000.0,252175000.0,235213000.0,,,,,
