Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Revenue,2444104.0,1558866.0,1103277.0,690000.0
Revenue Growth,0.5679,0.4129,0.599,
Cost of Revenue,728279.0,505280.0,282164.0,239000.0
Gross Profit,1715825.0,1053586.0,821113.0,445000.0
R&D Expenses,1838633.0,1751731.0,1120951.0,869000.0
SG&A Expense,10405609.0,5849969.0,2975164.0,3979000.0
Operating Expenses,12244242.0,7601700.0,4096115.0,4223174.0
Operating Income,-10528417.0,-6548114.0,-3275002.0,-3534000.0
Interest Expense,-175409.0,358916.0,342020.0,-196059.0
Earnings before Tax,-10316739.0,-12097479.0,-3617022.0,-3730000.0
Income Tax Expense,0.0,0.0,0.0,
Net Income - Non-Controlling int,0.0,0.0,0.0,
Net Income - Discontinued ops,0.0,0.0,0.0,
Net Income,-10316739.0,-12097479.0,-3617022.0,
Preferred Dividends,0.0,561790.0,767032.0,
Net Income Com,-10316739.0,-12659269.0,-4384054.0,-4482000.0
EPS,-0.84,-2.93,-4.13,-4.49
EPS Diluted,-0.84,-2.93,-4.13,-4.49
Weighted Average Shs Out,12435379.0,6108340.0,6410000.0,1000000.0
Weighted Average Shs Out (Dil),12292402.0,4317864.0,1060892.0,
Dividend per Share,0.0,0.0,0.0,
Gross Margin,0.702,0.6759,0.7442,0.6449
EBITDA Margin,-4.264,-7.523,-2.961,
EBIT Margin,-4.2928,-7.5302,-2.9684,-5.121
Profit Margin,-4.221,-8.121,-3.974,
Free Cash Flow margin,-3.9823,-3.9904,-2.9046,
EBITDA,-10422466.0,-11727148.0,-3267271.0,
EBIT,-10492148.0,-11738563.0,-3275002.0,-3533503.0
Consolidated Income,-10316739.0,-12097479.0,-3617022.0,
Earnings Before Tax Margin,-4.2211,-7.7604,-3.2784,-5.4058
Net Profit Margin,-4.2211,-7.7604,-3.2784,
