Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,995590.0,12858873.0,13000000.0,11722102.0,12000000.0,3237384.0,3000000.0,15147837.0,15000000.0,7743107.0,8000000.0,0.0,3670567.0
Short-term investments,23111.0,27884.0,,0.0,,0.0,,0.0,,0.0,,0.0,100000.0
Cash and short-term investments,1018701.0,12886757.0,,11722102.0,,3237384.0,,15147837.0,,7743107.0,,0.0,3770567.0
Receivables,0.0,0.0,000000.0,0.0,000000.0,70145.0,0000000.0,0.0,000000.0,17276.0,0000000.0,0.0,113241.0
Inventories,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total current assets,1672868.0,13893536.0,30000000.0,15111862.0,27000000.0,6456757.0,28000000.0,18196470.0,23000000.0,10592661.0,23000000.0,0.0,4806849.0
Property Plant & Equipment Net,2606855.0,3303366.0,26000000.0,4310980.0,27000000.0,5321895.0,28000000.0,6398221.0,23000000.0,8683500.0,23000000.0,0.0,8031103.0
Goodwill and Intangible Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,37759.0
Tax assets,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current assets,30359754.0,29856967.0,1000000.0,27126776.0,1000000.0,28137691.0,1000000.0,23210133.0,1000000.0,23266436.0,0000000.0,0.0,21178562.0
Total assets,32032622.0,43750503.0,44000000.0,42238638.0,42000000.0,34594448.0,35000000.0,41406603.0,41000000.0,33859097.0,34000000.0,0.0,25985411.0
Payables,999706.0,1651461.0,,2150195.0,,538161.0,,714291.0,,624753.0,,0.0,821111.0
Short-term debt,1924036.0,0.0,000000.0,0.0,000000.0,17319.0,0000000.0,24423.0,0000000.0,23036.0,0000000.0,0.0,6295400.0
Total current liabilities,2926642.0,1657724.0,2000000.0,2156933.0,2000000.0,560697.0,1000000.0,738714.0,1000000.0,647789.0,1000000.0,0.0,7167430.0
Long-term debt,8132.0,0.0,000000.0,4512.0,000000.0,10771.0,000000.0,17319.0,0000000.0,36474.0,0000000.0,0.0,0.0
Total debt,1932168.0,0.0,000000.0,4512.0,000000.0,28090.0,000000.0,41742.0,0000000.0,59510.0,0000000.0,0.0,6295400.0
Deferred revenue,0.0,0.0,,312415.0,,0.0,,0.0,,0.0,,0.0,50919.0
Tax Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Deposit Liabilities,0.0,1750.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,16264.0,0.0,1000000.0,9024.0,1000000.0,21542.0,1000000.0,17319.0,1000000.0,36474.0,0000000.0,0.0,0.0
Total liabilities,4150210.0,2621027.0,3000000.0,3058280.0,3000000.0,1355007.0,1000000.0,1554638.0,2000000.0,684263.0,1000000.0,0.0,8832733.0
Other comprehensive income,212768350,211817073,,195705345,,170529954,,157985177,,0.0,,0.0,32040195
Retained earnings (deficit),-184889306.0,-170690951.0,-171000000.0,-156527826.0,-157000000.0,-137292686.0,-137000000.0,-118168753.0,-118000000.0,33174834.0,-100000000.0,0.0,-14901794.0
Total shareholders equity,27882412.0,41129476.0,41000000.0,39180358.0,39000000.0,33239441.0,33000000.0,39851965.0,40000000.0,33174834.0,33000000.0,0.0,17152678.0
Investments,23111.0,27884.0,,0.0,,0.0,,0.0,,0.0,,0.0,137759.0
Net Debt,936578.0,-12858873.0,-13000000,-11717590.0,-12000000,-3209294.0,-3000000,-15106095.0,-15000000,-7683597.0,-8000000,0.0,2624833.0
Other Assets,0.0,0.0,4000000,0.0,2000000,0.0,2000000,0.0,2000000,0.0,2000000,0.0,0.0
Other Liabilities,1207304.0,963303.0,3000000,892323.0,3000000,772768.0,2000000,798605.0,2000000,0.0,1000000,0.0,1665303.0
