Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,4466000000.0,84862.0,524000000.0,147000000.0
Short-term investments,22000000.0,0.0,11000000.0,15000000.0
Cash and short-term investments,4488000000.0,84862.0,535000000.0,162000000.0
Receivables,4297000000.0,0.0,1641000000.0,1601000000.0
Inventories,1651000000.0,0.0,550000000.0,531000000.0
Total current assets,17272000000.0,84862.0,2880000000.0,2626000000.0
Property Plant & Equipment Net,29717000000.0,0.0,11477000000.0,10998000000.0
Goodwill and Intangible Assets,43097000000.0,0.0,,
Long-term investments,135000000.0,0.0,21000000.0,18000000.0
Tax assets,510000000.0,0.0,,
Total non-current assets,76114000000.0,9129562.0,,
Total assets,93386000000.0,9214424.0,19147000000.0,18201000000.0
Payables,3219000000.0,9501470.0,906000000.0,791000000.0
Short-term debt,1523000000.0,9501470.0,,
Total current liabilities,12956000000.0,19002940.0,2478000000.0,1893000000.0
Long-term debt,12288000000.0,0.0,8917000000.0,8975000000.0
Total debt,13811000000.0,9501470.0,,
Deferred revenue,1546000000.0,0.0,,
Tax Liabilities,657000000.0,0.0,,
Deposit Liabilities,0.0,0.0,,
Total non-current liabilities,30945000000.0,0.0,,
Total liabilities,41790000000.0,11146269.0,13695000000.0,13295000000.0
Other comprehensive income,39522000000,0.0,,
Retained earnings (deficit),16529000000.0,-1882646.0,12879000000.0,12229000000.0
Total shareholders equity,51596000000.0,-1931845.0,5021000000.0,4389000000.0
Investments,157000000.0,0.0,,
Net Debt,9345000000.0,9416608.0,,
Other Assets,0.0,0.0,,
Other Liabilities,-2111000000.0,-7856671.0,,
