Date,2017-08-27,2017-08,2016-08-28,2016-08,2015-08-30,2015-08,2014-08-31,2014-08,2013-08-25,2013-08,2012-08-26
Cash and cash equivalents,5846933.0,6000000.0,3739324.0,4000000.0,4149645.0,4000000.0,3233436.0,3000000.0,1906218.0,2000000.0,2911961.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Cash and short-term investments,5846933.0,,3739324.0,,4149645.0,,3233436.0,,1906218.0,,2911961.0
Receivables,2739087.0,3000000.0,3823545.0,4000000.0,2985256.0,3000000.0,5963498.0,6000000.0,5318285.0,5000000.0,5198987.0
Inventories,3131679.0,3000000.0,3047512.0,3000000.0,5951706.0,6000000.0,3767027.0,4000000.0,3279506.0,3000000.0,2920390.0
Total current assets,11796108.0,13000000.0,10896632.0,15000000.0,13746575.0,15000000.0,13304489.0,16000000.0,10932771.0,18000000.0,11390813.0
Property Plant & Equipment Net,10320808.0,10000000.0,11460818.0,11000000.0,12900900.0,13000000.0,13303514.0,13000000.0,15298713.0,15000000.0,9314826.0
Goodwill and Intangible Assets,0.0,2000000,0.0,2000000,0.0,2000000,0.0,2000000,0.0,2000000,2368452.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax assets,1261591.0,000000.0,1212566.0,000000.0,117904.0,0000000.0,112829.0,0000000.0,118280.0,0000000.0,140843.0
Total non-current assets,12689260.0,6000000.0,15085954.0,8000000.0,15280047.0,10000000.0,15686671.0,11000000.0,17685881.0,11000000.0,11683278.0
Total assets,24485368.0,24000000.0,25982586.0,26000000.0,29026622.0,29000000.0,28991160.0,29000000.0,28618652.0,29000000.0,23074091.0
Payables,2058992.0,2000000.0,1729251.0,2000000.0,2793948.0,3000000.0,2869029.0,3000000.0,2605249.0,3000000.0,2345709.0
Short-term debt,1438057.0,1000000.0,1557801.0,2000000.0,1527688.0,2000000.0,1615041.0,2000000.0,1921708.0,2000000.0,1377295.0
Total current liabilities,4691878.0,5000000.0,3815186.0,4000000.0,4918770.0,5000000.0,5337970.0,5000000.0,4989682.0,5000000.0,4974285.0
Long-term debt,5441848.0,5000000.0,6785432.0,7000000.0,8342926.0,8000000.0,8555243.0,9000000.0,10168597.0,10000000.0,5462854.0
Total debt,6879905.0,5000000.0,8343233.0,7000000.0,9870614.0,8000000.0,10170284.0,9000000.0,12090305.0,10000000.0,6840149.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax Liabilities,0.0,1000000.0,0.0,1000000.0,0.0,2000000.0,0.0,2000000.0,0.0,1000000.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,6356916.0,6000000.0,8188167.0,8000000.0,10233120.0,10000000.0,10538915.0,11000000.0,11491040.0,11000000.0,6433106.0
Total liabilities,11048794.0,11000000.0,12003353.0,12000000.0,15151890.0,15000000.0,15876885.0,16000000.0,16480722.0,16000000.0,11407391.0
Other comprehensive income,4116078,-0000000.0,3848484,000000.0,3683471,000000.0,3455806,-0000000.0,3240319,-0000000.0,3035978
Retained earnings (deficit),9024502.0,9000000.0,9838799.0,10000000.0,9899311.0,10000000.0,9367580.0,9000000.0,8607227.0,9000000.0,8339381.0
Total shareholders equity,13436574.0,13000000.0,13979233.0,14000000.0,13874732.0,14000000.0,13114275.0,13000000.0,12137930.0,12000000.0,11666700.0
Investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Debt,1032972.0,0,4603909.0,5000000,5720969.0,6000000,6936848.0,8000000,10184087.0,10000000,3928188.0
Other Assets,0.0,0,0.0,1000000,0.0,0,0.0,0,0.0,0,0.0
Other Liabilities,0.0,1000000,0.0,0,0.0,0,0.0,1000000,0.0,0,0.0
