date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,revenue,30111000.0,29564000.0,18564000.0,49170000.0,14025000.0,19124000.0,19401000.0,15326000.0,53070000.0,33487000.0,31591000.0,24293000.0,27101000.0,30675000.0,21894000.0,28571000.0,13853000.0,11835000.0,7185000.0,6524000.0,3155000.0,86000.0
,costOfRevenue,1406000.0,4143000.0,4263000.0,6633000.0,5290000.0,3905000.0,5686000.0,4837000.0,4654000.0,4713000.0,4275000.0,5311000.0,3365000.0,3225000.0,3248000.0,2815000.0,2729000.0,2427000.0,3086000.0,3398000.0,1291000.0,-272000.0
,grossProfit,28705000.0,25421000.0,14301000.0,42537000.0,8735000.0,15219000.0,13715000.0,10489000.0,48416000.0,28774000.0,27316000.0,18982000.0,23736000.0,27450000.0,18646000.0,25756000.0,11124000.0,9408000.0,4099000.0,3126000.0,1864000.0,358000.0
,grossProfitRatio,0.953306100760519,0.859863347314301,0.770361990950226,0.86510067114094,0.622816399286988,0.795806316670153,0.706922323591567,0.684392535560485,0.912304503485962,0.859258816854302,0.864676648412523,0.781377351500432,0.875834840042803,0.894865525672372,0.851648853567187,0.901473522102831,0.80300295964773,0.794930291508238,0.570494084899095,0.479153893316983,0.59080824088748,4.16279069767442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,27709000.0,30209000.0,25501000.0,31609000.0,29274000.0,24317000.0,22429000.0,18945000.0,20265000.0,34053000.0,36214000.0,34634000.0,39411000.0,38342000.0,37241000.0,28904000.0,24233000.0,20948000.0,29554000.0,24570000.0,13335000.0,6363000.0
,GeneralAndAdministrativeExpenses,13611000.0,14363000.0,12419000.0,13165000.0,11825000.0,11566000.0,12284000.0,12706000.0,12095000.0,13574000.0,14937000.0,15020000.0,15462000.0,13618000.0,12417000.0,11271000.0,9951000.0,8396000.0,12174000.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,5.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,41320000.0,44572000.0,37920000.0,44774000.0,41099000.0,35883000.0,34713000.0,31651000.0,32360000.0,47627000.0,51151000.0,49654000.0,54921000.0,51991000.0,50082000.0,41384000.0,35433000.0,30687000.0,43068000.0,0.0,0.0,0.0
,costAndExpenses,42726000.0,48715000.0,42183000.0,51407000.0,46389000.0,39788000.0,40399000.0,36488000.0,37014000.0,52340000.0,55426000.0,54965000.0,58286000.0,55216000.0,53330000.0,44199000.0,38162000.0,33114000.0,46154000.0,41896000.0,25978000.0,9445000.0
,interestExpense,2237000.0,2501000.0,2573000.0,2425000.0,2288000.0,2236000.0,1151000.0,290000.0,7000.0,46000.0,6000.0,36000.0,789000.0,0.0,3436000.0,4363000.0,0.0,2460000.0,0.0,0.0,131000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,297000.0,291000.0,254000.0,437000.0,416000.0,425000.0,601000.0,558000.0,964000.0,1176000.0,2251000.0,2506000.0,48000.0,31000.0,424000.0,1209000.0,1249000.0,1343000.0,1340000.0,1844000.0,1500000.0,311000.0
,EBITDA,-12318000.0,-18860000.0,-23365000.0,-1800000.0,-31948000.0,-20239000.0,-20397000.0,-20604000.0,17020000.0,-17677000.0,-21584000.0,-28166000.0,-31137000.0,-24510000.0,-31012000.0,-14419000.0,-23060000.0,-19936000.0,-37629000.0,-33528000.0,-21323000.0,-9048000.0
