date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,80084000.0,51559000.0,88677000.0,21673000.0,-96492000.0,13432000.0,57109000.0,25110000.0,16624000.0,8918000.0,5222000.0,4102000.0,-42380000.0,14340000.0,12500000.0,7447000.0,3718000.0,1071000.0
,depreciationAndAmortization,3758000.0,5227000.0,5528000.0,5980000.0,6385000.0,5933000.0,5734000.0,5742000.0,4431000.0,4026000.0,4074000.0,3881000.0,3641000.0,1130000.0,1996000.0,912000.0,685000.0,793000.0
,deferredIncomeTax,-1350000.0,1607000.0,15824000.0,20799000.0,-14381000.0,84000.0,-13590000.0,-2412000.0,-2899000.0,-1961000.0,-2494000.0,1239000.0,-19254000.0,171000.0,552000.0,111000.0,-1043000.0,-250000.0
,stockBasedCompensation,6429000.0,5689000.0,3450000.0,3245000.0,2761000.0,1975000.0,2641000.0,3157000.0,2595000.0,1800000.0,590000.0,153000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,3157484000.0,-666610000.0,-58726000.0,-89566000.0,173301000.0,-162915000.0,-205865000.0,-175324000.0,-1922105000.0,73968000.0,-46136000.0,57917000.0,43261000.0,-5478000.0,13967000.0,580520000.0,-449500000.0,366000.0
,accountsReceivables,-6839000.0,-866000.0,-1853000.0,-311000.0,-1118000.0,1780000.0,-2729000.0,-3274000.0,-1381000.0,402000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24000.0,-20000.0,-1000.0,-238000.0,-2113000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,318193000.0,-2839291000.0,-2172681000.0,-2113955000.0,-2024389000.0,-2197690000.0,-2034775000.0,-1828910000.0,-1653586000.0,268519000.0,194551000.0,240687000.0,182770000.0,139509000.0,144987000.0,131020000.0,-449500000.0,0.0
,otherNonCashItems,-629296000.0,-560926000.0,-227050000.0,-62971000.0,-176103000.0,-262778000.0,-134634000.0,-8543000.0,-9456000.0,0.0,0.0,0.0,84374000.0,5731000.0,3222000.0,2038000.0,1632000.0,685000.0
,netCashProvidedByOperatingActivites,-512178000.0,-493083000.0,-174156000.0,-34068000.0,-217954000.0,-234880000.0,-49993000.0,49030000.0,33042000.0,37640000.0,5631000.0,47171000.0,2576000.0,20412000.0,18132000.0,9304000.0,2146000.0,1878000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3738000.0,-2012000.0,-2379000.0,-515000.0,-8024000.0,-8999000.0,-6611000.0,-9098000.0,-5098000.0,-2106000.0,-3622000.0,-2496000.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,-3920000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50000000.0,0.0,-1000000.0,0.0,0.0
,purchasesOfInvestments,-34658000.0,-157478000.0,-134758000.0,-579925000.0,-549502000.0,-346227000.0,-533168000.0,-936949000.0,-473828000.0,-345809000.0,-273227000.0,-151398000.0,-13514000.0,-21129000.0,-13529000.0,-30208000.0,-123135000.0,-25218000.0
,salesMaturitiesOfInvestments,233794000.0,173916000.0,213232000.0,569663000.0,361986000.0,749945000.0,300596000.0,336240000.0,182533000.0,139621000.0,133504000.0,143097000.0,11631000.0,13539000.0,1416000.0,45171000.0,27774000.0,34518000.0
,otherInvestingActivites,20283000.0,5503000.0,7765000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423000.0,0.0,-167894000.0,-225156000.0,-383325000.0,-248745000.0,-195514000.0,-69133000.0
,netCashUsedForInvestingActivites,-595795000.0,-233310000.0,84663000.0,-78337000.0,-98956000.0,501323000.0,-418812000.0,-745930000.0,-472372000.0,-355668000.0,-254747000.0,-93340000.0,-173881000.0,-285023000.0,-396987000.0,-236194000.0,-292277000.0,-60264000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,23040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-136000000.0,0.0,0.0,0.0,0.0,0.0,-10276000.0,0.0,0.0
,commonStockIssued,866000.0,0.0,0.0,0.0,74812000.0,0.0,0.0,1629000.0,0.0,54501000.0,0.0,62099000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-866000.0,-45220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-433000.0,-2293000.0,-184000.0,-68000.0,-75000.0,-942000.0,-169000.0,0.0
,otherFinancingActivites,0.0,0.0,60000000.0,-200000.0,263099000.0,0.0,0.0,1020000.0,41753000.0,0.0,31246000.0,0.0,0.0,267000.0,279000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,509016000.0,1116563000.0,-265140000.0,22281000.0,160807000.0,-225516000.0,347091000.0,966743000.0,658248000.0,594883000.0,366976000.0,221122000.0,268653000.0,209648000.0,398883000.0,324480000.0,267451000.0,70421000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
