date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,100560000.0,223426000.0,227343000.0,163460000.0,101588000.0,210687000.0,275906000.0,276430000.0,201777000.0,196251000.0,115477000.0,105088000.0,212691000.0,240631000.0,217320000.0,103526000.0,64932000.0,30006000.0,23123000.0,20225000.0,33438000.0,24600000.0,-7700000.0
,depreciationAndAmortization,121600000.0,62107000.0,62997000.0,64017000.0,66858000.0,64968000.0,68017000.0,67642000.0,37561000.0,31607000.0,23935000.0,26045000.0,26731000.0,40951000.0,31180000.0,18002000.0,21371000.0,23273000.0,20712000.0,32140000.0,25601000.0,21500000.0,16100000.0
,deferredIncomeTax,-33538000.0,13205000.0,9137000.0,-50396000.0,-45174000.0,42850000.0,4979000.0,20635000.0,17685000.0,14373000.0,20982000.0,-7959000.0,1772000.0,11147000.0,18523000.0,3560000.0,2504000.0,3647000.0,13918000.0,12035000.0,2760000.0,13700000.0,2400000.0
,stockBasedCompensation,19279000.0,19062000.0,16445000.0,14809000.0,12493000.0,12899000.0,14766000.0,15917000.0,15088000.0,15407000.0,15752000.0,13324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1063631000.0,132658000.0,-44186000.0,92220000.0,-34073000.0,23267000.0,132514000.0,60110000.0,202268000.0,86121000.0,155283000.0,98516000.0,163080000.0,-75766000.0,275363000.0,-101694000.0,114093000.0,-2004000.0,-9974000.0,-51827000.0,41383000.0,83400000.0,220800000.0
,accountsReceivables,47879000.0,11453000.0,-22934000.0,-112977000.0,56767000.0,40102000.0,-89029000.0,-30464000.0,36415000.0,-143491000.0,-118478000.0,179662000.0,28352000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,203827000.0,-47297000.0,-8702000.0,-119002000.0,-1612000.0,2410000.0,-36847000.0,-9339000.0,-29339000.0,-33769000.0,-33956000.0,107848000.0,26556000.0,-33632000.0,-27673000.0,-60220000.0,-63767000.0,25238000.0,41241000.0,48511000.0,-16047000.0,-45000000.0,-5600000.0
,accountsPayables,-54127000.0,23505000.0,9193000.0,102870000.0,-40607000.0,-55914000.0,37587000.0,37789000.0,-24346000.0,101677000.0,53902000.0,-114289000.0,-31198000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,2519983000.0,1456352000.0,1323694000.0,1367880000.0,1275660000.0,1309733000.0,1286466000.0,1153952000.0,1093842000.0,891574000.0,805453000.0,650170000.0,551654000.0,388574000.0,464340000.0,188977000.0,290671000.0,176578000.0,178582000.0,188556000.0,240383000.0,199000000.0,115600000.0
,otherNonCashItems,6366000.0,-11175000.0,-3652000.0,4063000.0,7836000.0,3456000.0,9526000.0,10140000.0,1544000.0,1901000.0,4980000.0,969000.0,13252000.0,-2860000.0,-23232000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0
,netCashProvidedByOperatingActivites,543931000.0,224367000.0,296721000.0,149122000.0,300235000.0,283049000.0,251156000.0,315141000.0,288184000.0,167533000.0,127283000.0,291664000.0,279861000.0,262278000.0,207083000.0,295097000.0,21944000.0,35758000.0,20428000.0,161092000.0,46911000.0,66400000.0,276900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-44067000.0,-36210000.0,-21507000.0,-17957000.0,-21658000.0,-20548000.0,-27825000.0,-23084000.0,-33347000.0,-15132000.0,-12970000.0,-35284000.0,-16118000.0,-18359000.0,-14154000.0,-12149000.0,-8379000.0,-9349000.0,-13820000.0,-21552000.0,-81200000.0,-184700000.0
,acquisitionsNet,0.0,-28000000.0,0.0,0.0,-51000000.0,-152000000.0,-139000000.0,0.0,-1289000000.0,-48000000.0,-225000000.0,0.0,48000000.0,-32000000.0,-540000000.0,-279000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19054000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,29097000.0,16795000.0,12461000.0,6766000.0,8361000.0,3023000.0,14991000.0,10807000.0,1558000.0,100000.0,20000000.0,2540000.0,0.0,0.0,-1745000.0,2014000.0,0.0,0.0,0.0,0.0,224000.0,8600000.0,-1400000.0
,netCashUsedForInvestingActivites,-3735149000.0,-60800000.0,-34142000.0,-5295000.0,-70486000.0,-170230000.0,-144187000.0,-18223000.0,-1311006000.0,-81343000.0,-220543000.0,-10692000.0,16430000.0,-48029000.0,-555927000.0,-290969000.0,-46263000.0,-9230000.0,-23060000.0,-69156000.0,-60689000.0,-71900000.0,-184100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1524306000.0,-1247214000.0,-1482074000.0,-1720666000.0,-2455069000.0,-1540831000.0,-1304832000.0,-1743919000.0,-1264813000.0,-732648000.0,-1425624000.0,-659282000.0,-1105952000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300000.0,0.0,4300000.0,0.0,0.0,6043000.0,6862000.0,8173000.0,113422000.0,438000.0,620000.0,489000.0,1273000.0,187500000.0,332800000.0
