Date,2018-12-30,2017-12-31,2016-12-25,2015-12-27,2014-12-28,2013-12-29,2012-12-30,2012-11-10,2012-11-04,2012-08-09,2012-05-10,2012-05-09,2012-03-02,2012-03-01,2011-12-25,2011-11-10,2011-11-04,2011-08-09,2011-05-10,2011-05-09,2011-03-02,2011-03-01,2010-12-31,2010-11-10,2010-11-04,2010-08-09,2010-05-10,2010-05-09,2010-03-02,2010-03-01
Revenue,422638000.0,428111000.0,407131000.0,372849000.0,326979000.0,299712000.0,274914000.0,,,,,274914000.0,,,237966000.0,,,,,237966000.0,,,220573000.0,,,,,220573000.0,,
Revenue Growth,-0.0128,0.0515,0.0919,0.1403,0.091,0.0902,0.0,,,,,0.1553,,,0.0,,,,,0.0789,,,0.0,,,,,,,
Cost of Revenue,111083000.0,113426000.0,111026000.0,105614000.0,93688000.0,87380000.0,79847000.0,,,,,79847000.0,,,68491000.0,,,,,68491000.0,,,63009000.0,,,,,63009000.0,,
Gross Profit,311555000.0,314685000.0,296105000.0,267235000.0,233291000.0,212332000.0,195067000.0,195067000.0,195067000.0,169475000.0,169475000.0,195067000.0,169475000.0,169475000.0,195067000.0,169475000.0,169475000.0,169475000.0,169475000.0,195067000.0,157564000.0,157564000.0,195067000.0,157564000.0,157564000.0,157564000.0,157564000.0,195067000.0,157564000.0,157564000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,0.0,,,0.0,,,,,0.0,,
SG&A Expense,234613000.0,229517000.0,210693000.0,190712000.0,166974000.0,159629000.0,139119000.0,,,,,139119000.0,,,120458000.0,,,,,120458000.0,,,115307000.0,,,,,115307000.0,,
Operating Expenses,322157000.0,316608000.0,283092000.0,257806000.0,226020000.0,210859000.0,186508000.0,186508000.0,186508000.0,161278000.0,161278000.0,186508000.0,161278000.0,161278000.0,186508000.0,161278000.0,161278000.0,161278000.0,161278000.0,186508000.0,156802000.0,156802000.0,186508000.0,156802000.0,156802000.0,156802000.0,156802000.0,186508000.0,156802000.0,156802000.0
Operating Income,-10602000.0,-1923000.0,13013000.0,9429000.0,7271000.0,1473000.0,8559000.0,8559000.0,8559000.0,8197000.0,8197000.0,8559000.0,8197000.0,8197000.0,8559000.0,8197000.0,8197000.0,8197000.0,8197000.0,8559000.0,762000.0,762000.0,8559000.0,762000.0,762000.0,762000.0,762000.0,8559000.0,762000.0,762000.0
Interest Expense,142000.0,124000.0,134000.0,221000.0,179000.0,387000.0,541000.0,541000.0,541000.0,495000.0,495000.0,541000.0,495000.0,495000.0,541000.0,495000.0,495000.0,495000.0,495000.0,541000.0,519000.0,519000.0,541000.0,519000.0,519000.0,519000.0,519000.0,541000.0,519000.0,519000.0
Earnings before Tax,-11073000.0,-2313000.0,12655000.0,9094000.0,7106000.0,1054000.0,8052000.0,,,,,8052000.0,,,7702000.0,,,,,7702000.0,,,243000.0,,,,,243000.0,,
