date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,revenue,383864000.0,447100000.0,460018000.0,466997000.0,447448000.0,412177000.0,383925000.0,350362000.0,310536000.0,263502000.0,211929000.0,191991000.0,193274000.0,189052000.0,159070000.0,105230000.0,93262000.0,66325000.0,61482000.0,70543000.0,59654000.0,64000000.0,42800000.0,30700000.0
,costOfRevenue,0.0,306786000.0,294661000.0,290662000.0,273899000.0,248736000.0,233605000.0,213831000.0,187300000.0,160077000.0,132503000.0,122817000.0,107315000.0,120585000.0,106037000.0,68707000.0,57801000.0,40208000.0,33118000.0,38181000.0,29035000.0,24000000.0,16900000.0,17500000.0
,grossProfit,383864000.0,140314000.0,165357000.0,176335000.0,173549000.0,163441000.0,150320000.0,136531000.0,123236000.0,103425000.0,79426000.0,69174000.0,85959000.0,68467000.0,53033000.0,36523000.0,35461000.0,26117000.0,28364000.0,32362000.0,30619000.0,40000000.0,25900000.0,13200000.0
,grossProfitRatio,1.0,0.313831357638112,0.359457673395389,0.377593432077722,0.387864064651088,0.396531101929511,0.39153480497493,0.389685525256734,0.396849318597522,0.392501764692488,0.374776458153438,0.360298138975264,0.444752010099651,0.362159617459747,0.333394103224995,0.347077829516298,0.380229889987347,0.39377308707124,0.461338277869946,0.458755652580695,0.513276561504677,0.625,0.605140186915888,0.429967426710098
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,57737000.0,87048000.0,91940000.0,87688000.0,97034000.0,90397000.0,86216000.0,81546000.0,73702000.0,66928000.0,46707000.0,38956000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12002000.0,15434000.0,25100000.0,6600000.0,6300000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,226726000.0,7000.0,3000.0,7000.0,233000.0,1000.0,23000.0,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
