date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-58128000.0,-9019000.0,-341439000.0,-295167000.0,-176419050.170808,-82945039.480885,-67530952.128385,-23807126.384513,-7353939.668272,4018851.480035,4287073.281038,7330827.067669,2408462.424786,-14674378.748929,-21656676.41824,-24805809.796545,-13264153.607229,-24785302.750299,-13412769.634726
,depreciationAndAmortization,12757000.0,9240000.0,11744000.0,9290000.0,7396342.688727,4778099.184322,3488460.197912,2270438.821581,1598823.110996,1216953.420059,916987.664333,1146774.499273,729740.110101,740859.754356,756940.324461,1347633.219159,1358887.477058,953002.137914,741183.900023
,deferredIncomeTax,-2654000.0,-9698000.0,-1265000.0,-317000.0,-27754035.769308,-29337033.851927,-18939520.223067,-7975768.993406,-9387629.732613,-2014267.729752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,58359000.0,48030000.0,9683000.0,31627000.0,15888539.085002,10622051.96362,3755171.316432,2010588.884919,995829.157102,1628522.547532,1239804.750246,995134.896064,1014594.802202,1296058.269066,2311736.666598,2779493.514515,0.0,0.0,0.0
,changeInWorkingCapital,-12351000.0,-18309000.0,268342000.0,17541000.0,1993435.59515,5790529.799599,9404597.735986,5648487.998181,-1380581.331437,69401.852868,-2368884.799526,-3053326.593795,-4296824.990398,489145.958298,21697592.111454,20738577.872611,-995340.957222,-460194.948726,2000864.160601
,accountsReceivables,-22104000.0,-44623000.0,-2125000.0,-804000.0,-3654631.924442,-981158.62716,-1530558.123324,-230616.818787,-174593.423648,982923.916201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-39873000.0,-51125000.0,-14460000.0,-13646000.0,-128608.748074,568107.784119,-18184.84899,474226.134407,-960263.830062,-1312179.21818,-1004319.82284,-361723.636823,-76814.748432,57126.535276,327325.545713,-72996.799371,-1157701.538896,0.0,0.0
,accountsPayables,9862000.0,805000.0,-1211000.0,2238000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,569724000.0,582075000.0,600384000.0,813000.0,0.0,0.0,0.0,0.0,0.0,690790.535524,0.0,0.0,0.0,0.0,0.0,666329.758362,628264.859523,646809.435808,591617.642171
,otherNonCashItems,528000.0,-53339000.0,39282000.0,241000.0,-3002210.462858,-2091314.205301,-256103.289942,-112060.285185,-184293.058295,369605.216437,0.0,0.0,0.0,0.0,0.0,2779493.514515,1265353.663702,0.0,0.0
,netCashProvidedByOperatingActivites,-27385000.0,-123469000.0,-301419000.0,-231868000.0,-147692410.744189,-110225940.114143,-70422343.117792,-20505408.126807,-12072811.924084,2906807.837567,3666391.1545,6830100.461237,1939572.3979,-13205155.669809,1164051.471942,-1269021.281375,-13105322.603417,-24605935.427764,-11885531.957324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-18585000.0,-40386000.0,-18687000.0,-31362000.0,-21513832.13879,-11307429.703177,-27148464.137962,-11780946.503394,-3626046.752239,-2127247.490235,-1389517.021973,-685537.372844,-1697926.001792,-785489.86004,-1022892.330353,-1109925.693002,-206480.304956,-1425879.624597,-475288.330508
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,102015000.0,591497000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8080184.17654,5350840.039531,28794796.535855,-17904742.912221
,netCashUsedForInvestingActivites,-28007000.0,61629000.0,-41421000.0,-32887000.0,-20446111.594882,-11409063.664556,-26960554.031733,-11522720.628837,-3356073.587895,-1710836.373027,-1008998.331332,-527579.452834,-1481884.521828,680162.810626,941060.943925,-9190109.869542,5153183.679232,27410588.107403,-18376707.54811
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-882000.0,-389000.0,-40000.0,-798000.0,-279991.961953,-165480.937117,-386428.041037,-162406.210413,-17782.66352,-11297.976048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92401.347973,0.0
,commonStockIssued,0.0,0.0,0.0,297931000.0,0.0,269134547.728872,193720165.482126,206851918.017345,31960296.162178,0.0,2237886.561764,1074113.856069,10597234.669056,185661.239646,126838.648964,15185205.981994,4888465.339545,311628.075515,31973942.234188
,commonStockRepurchased,-1826000.0,2878000.0,623190000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,538879000.0,591497000.0,0.0,-1306182.597629,-113360.956923,-410674.506357,10970539.513431,-2699731.643441,0.0,0.0,-28432.425602,-470490.334144,0.0,0.0,15185205.981994,4877876.605958,195673.442766,32040416.126566
,netCashUsedProvidedByFinancingActivities,-1129000.0,1946000.0,620790000.0,297754000.0,-2750351.664546,269469418.601621,194606676.870387,234298567.577224,29507905.202237,117821.750218,2177065.951375,991975.737663,10019523.74856,185661.239646,126838.648964,15185205.981994,4877876.605958,195673.442766,32040416.126566
