Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,50185000.0,57682000.0,45000000.0,62103000.0,50000000.0,59111000.0,55000000.0,47741000.0,39000000.0,52007000.0,52000000.0,52722000.0,54913000.0
Stock-based compensation,52000.0,242000.0,000000.0,252000.0,000000.0,439000.0,0000000.0,4559000.0,5000000.0,1441000.0,1000000.0,1262000.0,1077000.0
Operating Cash Flow,11026000.0,39696000.0,40000000.0,41082000.0,41000000.0,31994000.0,32000000.0,24385000.0,24000000.0,9676000.0,10000000.0,31776000.0,44534000.0
Capital Expenditure,6187000.0,8446000.0,-8000000.0,11566000.0,-12000000.0,20056000.0,-20000000.0,15903000.0,-16000000.0,17773000.0,-22000000.0,19122000.0,34120000.0
Acquisitions and disposals,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,0.0,0.0,-1000000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Investing Cash flow,-4764000.0,-9881000.0,-10000000.0,-14690000.0,-15000000.0,-134878000.0,-135000000.0,-8253000.0,-8000000.0,-12873000.0,-13000000.0,-8059000.0,-41444000.0
Issuance (repayment) of debt,-5793000.0,-5886000.0,-6000000.0,-4996000.0,-5000000.0,-10136000.0,-10000000.0,-18626000.0,-38000000.0,-56072000.0,-192000000.0,-10921000.0,-6231000.0
Issuance (buybacks) of shares,-38798000.0,-36739000.0,,-15094000.0,,-3710000.0,,-5921000.0,,-3089000.0,,-3977000.0,-3032000.0
Dividend payments,-0.0,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-22777000.0,-4901000.0
Financing Cash Flow,-5793000.0,-8170000.0,-8000000.0,-15008000.0,-15000000.0,100590000.0,101000000.0,-19221000.0,-19000000.0,2309000.0,2000000.0,0.0,-947000.0
Effect of forex changes on cash,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net cash flow / Change in cash,38798000.0,21645000.0,22000000.0,11384000.0,11000000.0,-2294000.0,-2000000.0,-3089000.0,-3000000.0,-888000.0,-1000000.0,945000.0,3032000.0
Free Cash Flow,4839000.0,31250000.0,31000000.0,29516000.0,30000000.0,11938000.0,12000000.0,8482000.0,8000000.0,-8097000.0,-13000000.0,12654000.0,10414000.0
Net Cash/Marketcap,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
